,lga_name,lga_code,distance_to_melbourne_km,travel_time_to_melbourne_minutes,commercial_land_use_perc,industrial_land_use_perc,actual_ann_pop_chg_perc_2004_2014,proj_ann_pop_chg_2014_2024_rank,ppl_born_overseas_perc,new_settler_arrivals_per_100000_pop,ppl_who_feel_safe_on_streets_alone_perc,unemployment_rate_perc,median_household_income_aud,households_with_mortgage_stress_perc,rental_housing_that_is_affordable_perc,homeless_ppl_est_per_1000_pop,ppl_who_completed_a_higher_edu_qual_perc
19,Frankston (C),22170,42,40,1.3,3.6,1.4,46,23.1,161.9,53.1,7.6,1140,11.5,18.4,3.6,28.3
20,Gannawarra (S),22250,279,206,0.0,0.0,-1.3,79,5.3,39.4,73.4,4.6,764,14.1,94.3,1.7,23.1
21,Glen Eira (C),22310,17,21,3.3,0.5,1.4,41,36.8,835.1,64.7,4.5,1445,7.7,2.3,2.7,63.6
22,Glenelg (S),22410,355,298,0.0,0.2,-0.3,69,8.2,36.2,66.4,4.2,899,11.5,92.0,1.6,23.4
23,Golden Plains (S),22490,86,64,0.0,0.0,2.6,14,10.8,9.7,73.5,3.8,1217,12.9,50.0,0.8,27.4
24,Greater Bendigo (C),22620,145,92,0.1,0.4,1.5,18,7.3,178.6,69.6,7.2,991,10.3,66.4,3.0,33.4
25,Greater Dandenong (C),22670,28,28,5.4,20.4,1.6,23,59.6,1512.2,39.6,12.0,953,20.5,9.5,10.3,38.2
26,Greater Geelong (C),22750,78,58,0.3,2.1,1.3,22,16.7,278.8,63.8,7.4,1049,9.8,30.8,2.9,35.8
27,Greater Shepparton (C),22830,178,127,0.1,0.2,0.8,29,14.0,412.5,54.9,6.9,980,13.3,70.6,5.7,29.7
28,Hepburn (S),22910,108,78,0.0,0.0,0.5,30,13.7,154.5,73.6,4.2,850,15.3,40.3,2.5,39.5
29,Hindmarsh (S),22980,369,285,0.0,0.0,-1.1,76,7.1,194.9,73.7,5.4,785,10.9,95.8,0.6,26.7
30,Hobsons Bay (C),23110,22,21,1.2,10.6,1.0,31,32.7,585.9,60.1,5.8,1286,9.7,6.6,2.4,47.5
31,Horsham (RC),23190,294,223,0.0,0.1,0.7,53,6.0,147.3,65.2,4.7,946,9.4,68.1,3.7,28.6
32,Hume (C),23270,40,33,2.0,3.6,2.7,10,34.2,942.1,47.7,8.8,1214,18.6,23.8,4.7,31.2
33,Indigo (S),23350,272,196,0.0,0.1,0.4,59,8.7,64.9,81.1,4.7,1066,10.7,73.8,1.5,34.9
34,Kingston (C),23430,20,22,1.9,12.5,1.2,36,31.7,448.1,60.8,5.9,1292,9.4,1.6,2.4,44.2
35,Knox (C),23670,31,26,3.7,5.7,0.4,40,28.7,333.1,59.1,5.0,1401,10.4,4.3,1.6,38.4
36,Latrobe (C),23810,161,110,0.1,1.2,0.5,55,14.6,105.9,56.5,7.8,942,9.5,79.3,2.4,24.8
37,Loddon (S),23940,248,194,0.0,0.0,-1.0,70,8.3,54.3,69.4,7.3,686,13.3,100.0,3.9,24.8
