,Year,Region,Suburb,Median
437,2000,Inner Melbourne,armadale,210.0
438,2000,Inner Melbourne,carlton north,270.0
442,2000,Inner Melbourne,east melbourne,273.0
443,2000,Inner Melbourne,st kilda,185.0
444,2000,Inner Melbourne,elwood,210.0
445,2000,Inner Melbourne,fitzroy,260.0
449,2000,Inner Melbourne,port melbourne,340.0
452,2000,Inner Melbourne,south melbourne,295.0
453,2000,Inner Melbourne,south yarra,240.0
454,2000,Inner Melbourne,southbank,335.0
455,2000,Inner Melbourne,st kilda,208.0
456,2000,Inner Melbourne,toorak,250.0
457,2000,Inner Eastern Melbourne,balwyn,250.0
458,2000,Inner Eastern Melbourne,blackburn,200.0
459,2000,Inner Eastern Melbourne,box hill,190.0
465,2000,Inner Eastern Melbourne,clayton,180.0
467,2000,Inner Eastern Melbourne,hawthorn east,215.0
469,2000,Inner Eastern Melbourne,hawthorn,200.0
470,2000,Inner Eastern Melbourne,kew,250.0
471,2000,Inner Eastern Melbourne,mount waverley,210.0
475,2000,Southern Melbourne,bentleigh,215.0
476,2000,Southern Melbourne,brighton,310.0
477,2000,Southern Melbourne,brighton east,285.0
478,2000,Southern Melbourne,carnegie,165.0
479,2000,Southern Melbourne,caulfield,200.0
480,2000,Southern Melbourne,cheltenham,200.0
481,2000,Southern Melbourne,elsternwick,195.0
483,2000,Southern Melbourne,malvern,235.0
484,2000,Southern Melbourne,malvern east,225.0
487,2000,Outer Western Melbourne,altona,170.0
488,2000,Outer Western Melbourne,footscray,138.0
490,2000,Outer Western Melbourne,melton,155.0
493,2000,Outer Western Melbourne,sunshine,145.0
494,2000,Outer Western Melbourne,sydenham,200.0
496,2000,Outer Western Melbourne,west footscray,145.0
497,2000,Outer Western Melbourne,williamstown,240.0
500,2000,North Western Melbourne,brunswick,180.0
502,2000,North Western Melbourne,craigieburn,180.0
503,2000,North Western Melbourne,brunswick,230.0
504,2000,North Western Melbourne,essendon,180.0
506,2000,North Western Melbourne,keilor,215.0
510,2000,North Western Melbourne,sunbury,170.0
511,2000,North Western Melbourne,brunswick west,150.0
518,2000,North Eastern Melbourne,northcote,200.0
519,2000,North Eastern Melbourne,preston,175.0
520,2000,North Eastern Melbourne,reservoir,165.0
522,2000,North Eastern Melbourne,thornbury,160.0
523,2000,North Eastern Melbourne,whittlesea,170.0
524,2000,Outer Eastern Melbourne,bayswater,165.0
525,2000,Outer Eastern Melbourne,boronia,170.0
527,2000,Outer Eastern Melbourne,ferntree gully,178.0
528,2000,Outer Eastern Melbourne,ringwood,170.0
529,2000,Outer Eastern Melbourne,rowville,210.0
532,2000,South Eastern Melbourne,berwick,190.0
533,2000,South Eastern Melbourne,cranbourne,155.0
534,2000,South Eastern Melbourne,dandenong,130.0
537,2000,South Eastern Melbourne,noble park,145.0
538,2000,South Eastern Melbourne,pakenham,160.0
539,2000,South Eastern Melbourne,springvale,150.0
541,2000,Mornington Peninsula,frankston,155.0
546,2000,Geelong,corio,130.0
549,2000,Geelong,lara,165.0
550,2000,Geelong,newtown,150.0
551,2000,Geelong,north geelong,138.0
552,2000,Ballarat,ballarat east,140.0
556,2000,Bendigo,bendigo,135.0
559,2000,Bendigo,north bendigo,135.0
560,2000,Other Regional Centres,bairnsdale,130.0
561,2000,Other Regional Centres,benalla,130.0
562,2000,Other Regional Centres,castlemaine,130.0
563,2000,Other Regional Centres,echuca,160.0
564,2000,Other Regional Centres,hamilton,110.0
565,2000,Other Regional Centres,horsham,125.0
566,2000,Other Regional Centres,mildura,145.0
568,2000,Other Regional Centres,morwell,100.0
570,2000,Other Regional Centres,portland,110.0
572,2000,Other Regional Centres,seymour,125.0
573,2000,Other Regional Centres,shepparton,145.0
574,2000,Other Regional Centres,swan hill,140.0
