,Year,Region,Suburb,Median
575,2000,Other Regional Centres,torquay,170.0
576,2000,Other Regional Centres,traralgon,125.0
577,2000,Other Regional Centres,wangaratta,130.0
578,2000,Other Regional Centres,warragul,135.0
579,2000,Other Regional Centres,warrnambool,135.0
580,2000,Other Regional Centres,wodonga,150.0
1017,2001,Inner Melbourne,armadale,230.0
1018,2001,Inner Melbourne,carlton north,280.0
1022,2001,Inner Melbourne,east melbourne,320.0
1023,2001,Inner Melbourne,st kilda,195.0
1024,2001,Inner Melbourne,elwood,230.0
1025,2001,Inner Melbourne,fitzroy,280.0
1029,2001,Inner Melbourne,port melbourne,360.0
1032,2001,Inner Melbourne,south melbourne,315.0
1033,2001,Inner Melbourne,south yarra,250.0
1034,2001,Inner Melbourne,southbank,350.0
1035,2001,Inner Melbourne,st kilda,220.0
1036,2001,Inner Melbourne,toorak,250.0
1037,2001,Inner Eastern Melbourne,balwyn,260.0
1038,2001,Inner Eastern Melbourne,blackburn,210.0
1039,2001,Inner Eastern Melbourne,box hill,200.0
1045,2001,Inner Eastern Melbourne,clayton,190.0
1047,2001,Inner Eastern Melbourne,hawthorn east,235.0
1049,2001,Inner Eastern Melbourne,hawthorn,220.0
1050,2001,Inner Eastern Melbourne,kew,251.0
1051,2001,Inner Eastern Melbourne,mount waverley,220.0
1055,2001,Southern Melbourne,bentleigh,220.0
1056,2001,Southern Melbourne,brighton,320.0
1057,2001,Southern Melbourne,brighton east,310.0
1058,2001,Southern Melbourne,carnegie,180.0
1059,2001,Southern Melbourne,caulfield,220.0
1060,2001,Southern Melbourne,cheltenham,215.0
1061,2001,Southern Melbourne,elsternwick,210.0
1063,2001,Southern Melbourne,malvern,250.0
1064,2001,Southern Melbourne,malvern east,240.0
1067,2001,Outer Western Melbourne,altona,180.0
1068,2001,Outer Western Melbourne,footscray,150.0
1070,2001,Outer Western Melbourne,melton,160.0
1073,2001,Outer Western Melbourne,sunshine,150.0
1074,2001,Outer Western Melbourne,sydenham,210.0
1076,2001,Outer Western Melbourne,west footscray,150.0
1077,2001,Outer Western Melbourne,williamstown,263.0
1080,2001,North Western Melbourne,brunswick,200.0
1082,2001,North Western Melbourne,craigieburn,185.0
1083,2001,North Western Melbourne,brunswick,240.0
1084,2001,North Western Melbourne,essendon,190.0
1086,2001,North Western Melbourne,keilor,220.0
1090,2001,North Western Melbourne,sunbury,175.0
1091,2001,North Western Melbourne,brunswick west,165.0
1098,2001,North Eastern Melbourne,northcote,215.0
1099,2001,North Eastern Melbourne,preston,180.0
1100,2001,North Eastern Melbourne,reservoir,170.0
1102,2001,North Eastern Melbourne,thornbury,170.0
1103,2001,North Eastern Melbourne,whittlesea,170.0
1104,2001,Outer Eastern Melbourne,bayswater,170.0
1105,2001,Outer Eastern Melbourne,boronia,180.0
1107,2001,Outer Eastern Melbourne,ferntree gully,180.0
1108,2001,Outer Eastern Melbourne,ringwood,180.0
1109,2001,Outer Eastern Melbourne,rowville,220.0
1112,2001,South Eastern Melbourne,berwick,200.0
1113,2001,South Eastern Melbourne,cranbourne,160.0
1114,2001,South Eastern Melbourne,dandenong,140.0
1117,2001,South Eastern Melbourne,noble park,145.0
1118,2001,South Eastern Melbourne,pakenham,165.0
1119,2001,South Eastern Melbourne,springvale,155.0
1121,2001,Mornington Peninsula,frankston,160.0
1126,2001,Geelong,corio,135.0
1129,2001,Geelong,lara,175.0
1130,2001,Geelong,newtown,155.0
1131,2001,Geelong,north geelong,150.0
1132,2001,Ballarat,ballarat east,145.0
1136,2001,Bendigo,bendigo,140.0
1139,2001,Bendigo,north bendigo,140.0
1140,2001,Other Regional Centres,bairnsdale,135.0
1141,2001,Other Regional Centres,benalla,130.0
1142,2001,Other Regional Centres,castlemaine,140.0
1143,2001,Other Regional Centres,echuca,160.0
1144,2001,Other Regional Centres,hamilton,110.0
1145,2001,Other Regional Centres,horsham,125.0
1146,2001,Other Regional Centres,mildura,150.0
1148,2001,Other Regional Centres,morwell,100.0
1150,2001,Other Regional Centres,portland,120.0
1152,2001,Other Regional Centres,seymour,130.0
1153,2001,Other Regional Centres,shepparton,150.0
1154,2001,Other Regional Centres,swan hill,140.0
1155,2001,Other Regional Centres,torquay,180.0
1156,2001,Other Regional Centres,traralgon,125.0
1157,2001,Other Regional Centres,wangaratta,135.0
1158,2001,Other Regional Centres,warragul,145.0
1159,2001,Other Regional Centres,warrnambool,145.0
1160,2001,Other Regional Centres,wodonga,150.0
1600,2002,Inner Melbourne,armadale,230.0
1601,2002,Inner Melbourne,carlton north,290.0
1605,2002,Inner Melbourne,docklands,350.0
1606,2002,Inner Melbourne,east melbourne,300.0
1607,2002,Inner Melbourne,st kilda,200.0
1608,2002,Inner Melbourne,elwood,230.0
1609,2002,Inner Melbourne,fitzroy,280.0
1613,2002,Inner Melbourne,port melbourne,350.0
1616,2002,Inner Melbourne,south melbourne,330.0
1617,2002,Inner Melbourne,south yarra,255.0
1618,2002,Inner Melbourne,southbank,350.0
1619,2002,Inner Melbourne,st kilda,230.0
1620,2002,Inner Melbourne,toorak,260.0
1621,2002,Inner Eastern Melbourne,balwyn,275.0
1622,2002,Inner Eastern Melbourne,blackburn,220.0
1623,2002,Inner Eastern Melbourne,box hill,210.0
1629,2002,Inner Eastern Melbourne,clayton,200.0
1631,2002,Inner Eastern Melbourne,hawthorn east,235.0
1633,2002,Inner Eastern Melbourne,hawthorn,225.0
1634,2002,Inner Eastern Melbourne,kew,260.0
1635,2002,Inner Eastern Melbourne,mount waverley,230.0
1639,2002,Southern Melbourne,bentleigh,235.0
1640,2002,Southern Melbourne,brighton,330.0
1641,2002,Southern Melbourne,brighton east,300.0
1642,2002,Southern Melbourne,carnegie,185.0
1643,2002,Southern Melbourne,caulfield,220.0
1644,2002,Southern Melbourne,cheltenham,220.0
1645,2002,Southern Melbourne,elsternwick,215.0
1647,2002,Southern Melbourne,malvern,260.0
1648,2002,Southern Melbourne,malvern east,245.0
1651,2002,Outer Western Melbourne,altona,185.0
1652,2002,Outer Western Melbourne,footscray,160.0
1654,2002,Outer Western Melbourne,melton,165.0
1657,2002,Outer Western Melbourne,sunshine,155.0
1658,2002,Outer Western Melbourne,sydenham,210.0
1660,2002,Outer Western Melbourne,west footscray,160.0
1661,2002,Outer Western Melbourne,williamstown,265.0
1664,2002,North Western Melbourne,brunswick,200.0
1666,2002,North Western Melbourne,craigieburn,195.0
1667,2002,North Western Melbourne,brunswick,253.0
1668,2002,North Western Melbourne,essendon,200.0
1670,2002,North Western Melbourne,keilor,230.0
1674,2002,North Western Melbourne,sunbury,190.0
1675,2002,North Western Melbourne,brunswick west,170.0
1682,2002,North Eastern Melbourne,northcote,230.0
1683,2002,North Eastern Melbourne,preston,190.0
1684,2002,North Eastern Melbourne,reservoir,180.0
1686,2002,North Eastern Melbourne,thornbury,175.0
1687,2002,North Eastern Melbourne,whittlesea,190.0
1688,2002,Outer Eastern Melbourne,bayswater,175.0
1689,2002,Outer Eastern Melbourne,boronia,185.0
1691,2002,Outer Eastern Melbourne,ferntree gully,190.0
1692,2002,Outer Eastern Melbourne,ringwood,190.0
1693,2002,Outer Eastern Melbourne,rowville,230.0
1696,2002,South Eastern Melbourne,berwick,210.0
1697,2002,South Eastern Melbourne,cranbourne,165.0
1698,2002,South Eastern Melbourne,dandenong,150.0
1701,2002,South Eastern Melbourne,noble park,150.0
1702,2002,South Eastern Melbourne,pakenham,170.0
1703,2002,South Eastern Melbourne,springvale,160.0
1705,2002,Mornington Peninsula,frankston,170.0
1710,2002,Geelong,corio,140.0
1713,2002,Geelong,lara,180.0
1714,2002,Geelong,newtown,165.0
1715,2002,Geelong,north geelong,160.0
1716,2002,Ballarat,ballarat east,155.0
1720,2002,Bendigo,bendigo,150.0
1723,2002,Bendigo,north bendigo,150.0
1724,2002,Other Regional Centres,bairnsdale,140.0
1725,2002,Other Regional Centres,benalla,150.0
1726,2002,Other Regional Centres,castlemaine,150.0
1727,2002,Other Regional Centres,echuca,170.0
1728,2002,Other Regional Centres,hamilton,110.0
1729,2002,Other Regional Centres,horsham,135.0
1730,2002,Other Regional Centres,mildura,160.0
1732,2002,Other Regional Centres,morwell,110.0
1734,2002,Other Regional Centres,portland,125.0
1736,2002,Other Regional Centres,seymour,135.0
1737,2002,Other Regional Centres,shepparton,160.0
1738,2002,Other Regional Centres,swan hill,145.0
1739,2002,Other Regional Centres,torquay,200.0
1740,2002,Other Regional Centres,traralgon,140.0
1741,2002,Other Regional Centres,wangaratta,135.0
1742,2002,Other Regional Centres,warragul,155.0
1743,2002,Other Regional Centres,warrnambool,155.0
1744,2002,Other Regional Centres,wodonga,160.0
2184,2003,Inner Melbourne,armadale,240.0
2185,2003,Inner Melbourne,carlton north,290.0
2189,2003,Inner Melbourne,docklands,350.0
2190,2003,Inner Melbourne,east melbourne,300.0
2191,2003,Inner Melbourne,st kilda,210.0
2192,2003,Inner Melbourne,elwood,240.0
2193,2003,Inner Melbourne,fitzroy,300.0
2197,2003,Inner Melbourne,port melbourne,360.0
2200,2003,Inner Melbourne,south melbourne,323.0
2201,2003,Inner Melbourne,south yarra,260.0
2202,2003,Inner Melbourne,southbank,355.0
2203,2003,Inner Melbourne,st kilda,240.0
2204,2003,Inner Melbourne,toorak,260.0
2205,2003,Inner Eastern Melbourne,balwyn,280.0
2206,2003,Inner Eastern Melbourne,blackburn,225.0
2207,2003,Inner Eastern Melbourne,box hill,220.0
2213,2003,Inner Eastern Melbourne,clayton,210.0
2215,2003,Inner Eastern Melbourne,hawthorn east,250.0
2217,2003,Inner Eastern Melbourne,hawthorn,230.0
2218,2003,Inner Eastern Melbourne,kew,270.0
2219,2003,Inner Eastern Melbourne,mount waverley,240.0
2223,2003,Southern Melbourne,bentleigh,240.0
2224,2003,Southern Melbourne,brighton,350.0
2225,2003,Southern Melbourne,brighton east,315.0
2226,2003,Southern Melbourne,carnegie,190.0
2227,2003,Southern Melbourne,caulfield,230.0
2228,2003,Southern Melbourne,cheltenham,230.0
2229,2003,Southern Melbourne,elsternwick,235.0
2231,2003,Southern Melbourne,malvern,270.0
2232,2003,Southern Melbourne,malvern east,250.0
2235,2003,Outer Western Melbourne,altona,190.0
2236,2003,Outer Western Melbourne,footscray,165.0
2238,2003,Outer Western Melbourne,melton,175.0
2241,2003,Outer Western Melbourne,sunshine,160.0
2242,2003,Outer Western Melbourne,sydenham,210.0
2244,2003,Outer Western Melbourne,west footscray,168.0
2245,2003,Outer Western Melbourne,williamstown,265.0
2248,2003,North Western Melbourne,brunswick,219.0
2250,2003,North Western Melbourne,craigieburn,200.0
2251,2003,North Western Melbourne,brunswick,260.0
2252,2003,North Western Melbourne,essendon,200.0
2254,2003,North Western Melbourne,keilor,228.0
2258,2003,North Western Melbourne,sunbury,200.0
2259,2003,North Western Melbourne,brunswick west,185.0
2266,2003,North Eastern Melbourne,northcote,230.0
2267,2003,North Eastern Melbourne,preston,195.0
2268,2003,North Eastern Melbourne,reservoir,180.0
2270,2003,North Eastern Melbourne,thornbury,185.0
2271,2003,North Eastern Melbourne,whittlesea,200.0
2272,2003,Outer Eastern Melbourne,bayswater,185.0
2273,2003,Outer Eastern Melbourne,boronia,190.0
2275,2003,Outer Eastern Melbourne,ferntree gully,195.0
2276,2003,Outer Eastern Melbourne,ringwood,190.0
2277,2003,Outer Eastern Melbourne,rowville,240.0
2280,2003,South Eastern Melbourne,berwick,210.0
2281,2003,South Eastern Melbourne,cranbourne,175.0
2282,2003,South Eastern Melbourne,dandenong,150.0
2285,2003,South Eastern Melbourne,noble park,160.0
2286,2003,South Eastern Melbourne,pakenham,180.0
2287,2003,South Eastern Melbourne,springvale,170.0
2289,2003,Mornington Peninsula,frankston,180.0
2294,2003,Geelong,corio,145.0
2297,2003,Geelong,lara,190.0
2298,2003,Geelong,newtown,175.0
2299,2003,Geelong,north geelong,165.0
2300,2003,Ballarat,ballarat east,165.0
2304,2003,Bendigo,bendigo,165.0
2307,2003,Bendigo,north bendigo,165.0
2308,2003,Other Regional Centres,bairnsdale,155.0
2309,2003,Other Regional Centres,benalla,156.0
2310,2003,Other Regional Centres,castlemaine,160.0
2311,2003,Other Regional Centres,echuca,180.0
2312,2003,Other Regional Centres,hamilton,130.0
2313,2003,Other Regional Centres,horsham,145.0
2314,2003,Other Regional Centres,mildura,160.0
2316,2003,Other Regional Centres,morwell,120.0
2318,2003,Other Regional Centres,portland,145.0
2320,2003,Other Regional Centres,seymour,140.0
2321,2003,Other Regional Centres,shepparton,165.0
2322,2003,Other Regional Centres,swan hill,150.0
2323,2003,Other Regional Centres,torquay,210.0
2324,2003,Other Regional Centres,traralgon,155.0
2325,2003,Other Regional Centres,wangaratta,145.0
2326,2003,Other Regional Centres,warragul,170.0
2327,2003,Other Regional Centres,warrnambool,170.0
2328,2003,Other Regional Centres,wodonga,175.0
2768,2004,Inner Melbourne,armadale,240.0
2769,2004,Inner Melbourne,carlton north,300.0
2773,2004,Inner Melbourne,docklands,370.0
2774,2004,Inner Melbourne,east melbourne,295.0
2775,2004,Inner Melbourne,st kilda,215.0
2776,2004,Inner Melbourne,elwood,245.0
2777,2004,Inner Melbourne,fitzroy,300.0
2781,2004,Inner Melbourne,port melbourne,350.0
2784,2004,Inner Melbourne,south melbourne,320.0
2785,2004,Inner Melbourne,south yarra,265.0
2786,2004,Inner Melbourne,southbank,360.0
2787,2004,Inner Melbourne,st kilda,245.0
2788,2004,Inner Melbourne,toorak,265.0
2789,2004,Inner Eastern Melbourne,balwyn,285.0
2790,2004,Inner Eastern Melbourne,blackburn,235.0
2791,2004,Inner Eastern Melbourne,box hill,230.0
2797,2004,Inner Eastern Melbourne,clayton,220.0
2799,2004,Inner Eastern Melbourne,hawthorn east,250.0
2801,2004,Inner Eastern Melbourne,hawthorn,235.0
2802,2004,Inner Eastern Melbourne,kew,270.0
2803,2004,Inner Eastern Melbourne,mount waverley,240.0
2807,2004,Southern Melbourne,bentleigh,250.0
2808,2004,Southern Melbourne,brighton,350.0
2809,2004,Southern Melbourne,brighton east,340.0
2810,2004,Southern Melbourne,carnegie,200.0
2811,2004,Southern Melbourne,caulfield,240.0
2812,2004,Southern Melbourne,cheltenham,240.0
2813,2004,Southern Melbourne,elsternwick,225.0
2815,2004,Southern Melbourne,malvern,273.0
2816,2004,Southern Melbourne,malvern east,241.0
2819,2004,Outer Western Melbourne,altona,200.0
2820,2004,Outer Western Melbourne,footscray,180.0
2822,2004,Outer Western Melbourne,melton,180.0
2825,2004,Outer Western Melbourne,sunshine,165.0
2826,2004,Outer Western Melbourne,sydenham,220.0
2828,2004,Outer Western Melbourne,west footscray,170.0
2829,2004,Outer Western Melbourne,williamstown,273.0
2832,2004,North Western Melbourne,brunswick,220.0
2834,2004,North Western Melbourne,craigieburn,205.0
2835,2004,North Western Melbourne,brunswick,260.0
2836,2004,North Western Melbourne,essendon,205.0
2838,2004,North Western Melbourne,keilor,228.0
2842,2004,North Western Melbourne,sunbury,200.0
2843,2004,North Western Melbourne,brunswick west,185.0
2850,2004,North Eastern Melbourne,northcote,250.0
2851,2004,North Eastern Melbourne,preston,200.0
2852,2004,North Eastern Melbourne,reservoir,190.0
2854,2004,North Eastern Melbourne,thornbury,180.0
2855,2004,North Eastern Melbourne,whittlesea,210.0
2856,2004,Outer Eastern Melbourne,bayswater,185.0
2857,2004,Outer Eastern Melbourne,boronia,200.0
2859,2004,Outer Eastern Melbourne,ferntree gully,200.0
2860,2004,Outer Eastern Melbourne,ringwood,200.0
2861,2004,Outer Eastern Melbourne,rowville,250.0
2864,2004,South Eastern Melbourne,berwick,220.0
2865,2004,South Eastern Melbourne,cranbourne,180.0
2866,2004,South Eastern Melbourne,dandenong,155.0
2869,2004,South Eastern Melbourne,noble park,165.0
2870,2004,South Eastern Melbourne,pakenham,190.0
2871,2004,South Eastern Melbourne,springvale,175.0
2873,2004,Mornington Peninsula,frankston,180.0
2878,2004,Geelong,corio,150.0
2881,2004,Geelong,lara,200.0
2882,2004,Geelong,newtown,180.0
2883,2004,Geelong,north geelong,175.0
2884,2004,Ballarat,ballarat east,175.0
2888,2004,Bendigo,bendigo,175.0
2891,2004,Bendigo,north bendigo,170.0
2892,2004,Other Regional Centres,bairnsdale,170.0
2893,2004,Other Regional Centres,benalla,170.0
2894,2004,Other Regional Centres,castlemaine,175.0
2895,2004,Other Regional Centres,echuca,185.0
2896,2004,Other Regional Centres,hamilton,160.0
2897,2004,Other Regional Centres,horsham,155.0
2898,2004,Other Regional Centres,mildura,170.0
2900,2004,Other Regional Centres,morwell,125.0
2902,2004,Other Regional Centres,portland,155.0
2904,2004,Other Regional Centres,seymour,148.0
2905,2004,Other Regional Centres,shepparton,170.0
2906,2004,Other Regional Centres,swan hill,150.0
2907,2004,Other Regional Centres,torquay,225.0
2908,2004,Other Regional Centres,traralgon,160.0
2909,2004,Other Regional Centres,wangaratta,155.0
2910,2004,Other Regional Centres,warragul,180.0
2911,2004,Other Regional Centres,warrnambool,185.0
2912,2004,Other Regional Centres,wodonga,185.0
3352,2005,Inner Melbourne,armadale,245.0
3353,2005,Inner Melbourne,carlton north,305.0
3357,2005,Inner Melbourne,docklands,370.0
3358,2005,Inner Melbourne,east melbourne,300.0
3359,2005,Inner Melbourne,st kilda,220.0
3360,2005,Inner Melbourne,elwood,250.0
3361,2005,Inner Melbourne,fitzroy,310.0
3365,2005,Inner Melbourne,port melbourne,350.0
3368,2005,Inner Melbourne,south melbourne,330.0
3369,2005,Inner Melbourne,south yarra,270.0
3370,2005,Inner Melbourne,southbank,370.0
3371,2005,Inner Melbourne,st kilda,250.0
3372,2005,Inner Melbourne,toorak,265.0
3373,2005,Inner Eastern Melbourne,balwyn,290.0
3374,2005,Inner Eastern Melbourne,blackburn,250.0
3375,2005,Inner Eastern Melbourne,box hill,235.0
3381,2005,Inner Eastern Melbourne,clayton,230.0
3383,2005,Inner Eastern Melbourne,hawthorn east,260.0
3385,2005,Inner Eastern Melbourne,hawthorn,250.0
3386,2005,Inner Eastern Melbourne,kew,280.0
3387,2005,Inner Eastern Melbourne,mount waverley,260.0
3391,2005,Southern Melbourne,bentleigh,260.0
3392,2005,Southern Melbourne,brighton,375.0
3393,2005,Southern Melbourne,brighton east,320.0
3394,2005,Southern Melbourne,carnegie,200.0
3395,2005,Southern Melbourne,caulfield,240.0
3396,2005,Southern Melbourne,cheltenham,240.0
3397,2005,Southern Melbourne,elsternwick,240.0
3399,2005,Southern Melbourne,malvern,280.0
3400,2005,Southern Melbourne,malvern east,250.0
3403,2005,Outer Western Melbourne,altona,210.0
3404,2005,Outer Western Melbourne,footscray,190.0
3406,2005,Outer Western Melbourne,melton,185.0
3409,2005,Outer Western Melbourne,sunshine,170.0
3410,2005,Outer Western Melbourne,sydenham,220.0
3412,2005,Outer Western Melbourne,west footscray,175.0
3413,2005,Outer Western Melbourne,williamstown,280.0
3416,2005,North Western Melbourne,brunswick,230.0
3418,2005,North Western Melbourne,craigieburn,215.0
3419,2005,North Western Melbourne,brunswick,270.0
3420,2005,North Western Melbourne,essendon,220.0
3422,2005,North Western Melbourne,keilor,230.0
3426,2005,North Western Melbourne,sunbury,205.0
3427,2005,North Western Melbourne,brunswick west,190.0
3434,2005,North Eastern Melbourne,northcote,250.0
3435,2005,North Eastern Melbourne,preston,215.0
3436,2005,North Eastern Melbourne,reservoir,190.0
3438,2005,North Eastern Melbourne,thornbury,190.0
3439,2005,North Eastern Melbourne,whittlesea,225.0
3440,2005,Outer Eastern Melbourne,bayswater,200.0
3441,2005,Outer Eastern Melbourne,boronia,210.0
3443,2005,Outer Eastern Melbourne,ferntree gully,210.0
3444,2005,Outer Eastern Melbourne,ringwood,210.0
3445,2005,Outer Eastern Melbourne,rowville,260.0
3448,2005,South Eastern Melbourne,berwick,230.0
3449,2005,South Eastern Melbourne,cranbourne,190.0
3450,2005,South Eastern Melbourne,dandenong,165.0
3453,2005,South Eastern Melbourne,noble park,170.0
3454,2005,South Eastern Melbourne,pakenham,195.0
3455,2005,South Eastern Melbourne,springvale,180.0
3457,2005,Mornington Peninsula,frankston,190.0
3462,2005,Geelong,corio,155.0
3465,2005,Geelong,lara,210.0
3466,2005,Geelong,newtown,195.0
3467,2005,Geelong,north geelong,185.0
3468,2005,Ballarat,ballarat east,180.0
3472,2005,Bendigo,bendigo,175.0
3475,2005,Bendigo,north bendigo,180.0
3476,2005,Other Regional Centres,bairnsdale,180.0
3477,2005,Other Regional Centres,benalla,170.0
3478,2005,Other Regional Centres,castlemaine,180.0
3479,2005,Other Regional Centres,echuca,190.0
3480,2005,Other Regional Centres,hamilton,185.0
3481,2005,Other Regional Centres,horsham,155.0
3482,2005,Other Regional Centres,mildura,175.0
3484,2005,Other Regional Centres,morwell,125.0
3486,2005,Other Regional Centres,portland,160.0
3488,2005,Other Regional Centres,seymour,150.0
3489,2005,Other Regional Centres,shepparton,180.0
3490,2005,Other Regional Centres,swan hill,160.0
3491,2005,Other Regional Centres,torquay,250.0
3492,2005,Other Regional Centres,traralgon,170.0
3493,2005,Other Regional Centres,wangaratta,165.0
3494,2005,Other Regional Centres,warragul,185.0
3495,2005,Other Regional Centres,warrnambool,200.0
3496,2005,Other Regional Centres,wodonga,200.0
3936,2006,Inner Melbourne,armadale,270.0
3937,2006,Inner Melbourne,carlton north,330.0
3941,2006,Inner Melbourne,docklands,390.0
3942,2006,Inner Melbourne,east melbourne,320.0
3943,2006,Inner Melbourne,st kilda,235.0
3944,2006,Inner Melbourne,elwood,270.0
3945,2006,Inner Melbourne,fitzroy,337.0
3949,2006,Inner Melbourne,port melbourne,370.0
3952,2006,Inner Melbourne,south melbourne,350.0
3953,2006,Inner Melbourne,south yarra,290.0
3954,2006,Inner Melbourne,southbank,395.0
3955,2006,Inner Melbourne,st kilda,269.0
3956,2006,Inner Melbourne,toorak,280.0
3957,2006,Inner Eastern Melbourne,balwyn,300.0
3958,2006,Inner Eastern Melbourne,blackburn,260.0
3959,2006,Inner Eastern Melbourne,box hill,255.0
3965,2006,Inner Eastern Melbourne,clayton,248.0
3967,2006,Inner Eastern Melbourne,hawthorn east,280.0
3969,2006,Inner Eastern Melbourne,hawthorn,250.0
3970,2006,Inner Eastern Melbourne,kew,300.0
3971,2006,Inner Eastern Melbourne,mount waverley,270.0
3975,2006,Southern Melbourne,bentleigh,275.0
3976,2006,Southern Melbourne,brighton,418.0
3977,2006,Southern Melbourne,brighton east,369.0
3978,2006,Southern Melbourne,carnegie,220.0
3979,2006,Southern Melbourne,caulfield,250.0
3980,2006,Southern Melbourne,cheltenham,265.0
3981,2006,Southern Melbourne,elsternwick,250.0
3983,2006,Southern Melbourne,malvern,300.0
3984,2006,Southern Melbourne,malvern east,260.0
3987,2006,Outer Western Melbourne,altona,225.0
3988,2006,Outer Western Melbourne,footscray,210.0
3990,2006,Outer Western Melbourne,melton,185.0
3993,2006,Outer Western Melbourne,sunshine,180.0
3994,2006,Outer Western Melbourne,sydenham,230.0
3996,2006,Outer Western Melbourne,west footscray,190.0
3997,2006,Outer Western Melbourne,williamstown,300.0
4000,2006,North Western Melbourne,brunswick,250.0
4002,2006,North Western Melbourne,craigieburn,225.0
4003,2006,North Western Melbourne,brunswick,283.0
4004,2006,North Western Melbourne,essendon,225.0
4006,2006,North Western Melbourne,keilor,240.0
4010,2006,North Western Melbourne,sunbury,210.0
4011,2006,North Western Melbourne,brunswick west,205.0
4018,2006,North Eastern Melbourne,northcote,270.0
4019,2006,North Eastern Melbourne,preston,230.0
4020,2006,North Eastern Melbourne,reservoir,201.0
4022,2006,North Eastern Melbourne,thornbury,205.0
4023,2006,North Eastern Melbourne,whittlesea,240.0
4024,2006,Outer Eastern Melbourne,bayswater,205.0
4025,2006,Outer Eastern Melbourne,boronia,225.0
4027,2006,Outer Eastern Melbourne,ferntree gully,220.0
4028,2006,Outer Eastern Melbourne,ringwood,220.0
4029,2006,Outer Eastern Melbourne,rowville,281.0
4032,2006,South Eastern Melbourne,berwick,245.0
4033,2006,South Eastern Melbourne,cranbourne,210.0
