,Year,Quarter,Region,Suburb,Median
0,2000,1,Inner Melbourne,Albert Park-Middle Park-West St Kilda,260.0
1,2000,1,Inner Melbourne,Armadale,200.0
2,2000,1,Inner Melbourne,Carlton North,260.0
3,2000,1,Inner Melbourne,Carlton-Parkville,260.0
4,2000,1,Inner Melbourne,CBD-St Kilda Rd,320.0
5,2000,1,Inner Melbourne,Collingwood-Abbotsford,230.0
7,2000,1,Inner Melbourne,East Melbourne,265.0
8,2000,1,Inner Melbourne,East St Kilda,180.0
9,2000,1,Inner Melbourne,Elwood,200.0
10,2000,1,Inner Melbourne,Fitzroy,250.0
11,2000,1,Inner Melbourne,Fitzroy North-Clifton Hill,240.0
12,2000,1,Inner Melbourne,Flemington-Kensington,210.0
13,2000,1,Inner Melbourne,North Melbourne-West Melbourne,230.0
14,2000,1,Inner Melbourne,Port Melbourne,335.0
15,2000,1,Inner Melbourne,Prahran-Windsor,220.0
16,2000,1,Inner Melbourne,Richmond-Burnley,240.0
17,2000,1,Inner Melbourne,South Melbourne,285.0
18,2000,1,Inner Melbourne,South Yarra,230.0
19,2000,1,Inner Melbourne,Southbank,330.0
20,2000,1,Inner Melbourne,St Kilda,200.0
21,2000,1,Inner Melbourne,Toorak,250.0
22,2000,1,Inner Eastern Melbourne,Balwyn,240.0
23,2000,1,Inner Eastern Melbourne,Blackburn,195.0
24,2000,1,Inner Eastern Melbourne,Box Hill,185.0
25,2000,1,Inner Eastern Melbourne,Bulleen-Templestowe-Doncaster,220.0
26,2000,1,Inner Eastern Melbourne,Burwood-Ashburton,208.0
27,2000,1,Inner Eastern Melbourne,Camberwell-Glen Iris,220.0
28,2000,1,Inner Eastern Melbourne,Canterbury-Surrey Hills-Mont Albert,235.0
29,2000,1,Inner Eastern Melbourne,Chadstone-Oakleigh,190.0
30,2000,1,Inner Eastern Melbourne,Clayton,175.0
31,2000,1,Inner Eastern Melbourne,Doncaster East-Donvale,220.0
32,2000,1,Inner Eastern Melbourne,East Hawthorn,200.0
33,2000,1,Inner Eastern Melbourne,Glen Waverley-Mulgrave,210.0
34,2000,1,Inner Eastern Melbourne,Hawthorn,190.0
35,2000,1,Inner Eastern Melbourne,Kew,245.0
36,2000,1,Inner Eastern Melbourne,Mount Waverley,205.0
37,2000,1,Inner Eastern Melbourne,Nunawading-Mitcham,175.0
38,2000,1,Inner Eastern Melbourne,Vermont-Forest Hill-Burwood East,200.0
39,2000,1,Southern Melbourne,Aspendale-Chelsea-Carrum,170.0
40,2000,1,Southern Melbourne,Bentleigh,200.0
