,Year,Quarter,Region,Suburb,Median
41,2000,1,Southern Melbourne,Brighton,300.0
42,2000,1,Southern Melbourne,Brighton East,283.0
43,2000,1,Southern Melbourne,Carnegie,160.0
44,2000,1,Southern Melbourne,Caulfield,195.0
45,2000,1,Southern Melbourne,Cheltenham,190.0
46,2000,1,Southern Melbourne,Elsternwick,185.0
47,2000,1,Southern Melbourne,Hampton-Beaumaris,270.0
48,2000,1,Southern Melbourne,Malvern,213.0
49,2000,1,Southern Melbourne,Malvern East,220.0
50,2000,1,Southern Melbourne,Mentone-Parkdale-Mordialloc,165.0
51,2000,1,Southern Melbourne,Murrumbeena-Hughesdale,170.0
52,2000,1,Outer Western Melbourne,Altona,165.0
53,2000,1,Outer Western Melbourne,Footscray,130.0
54,2000,1,Outer Western Melbourne,Keilor East-Avondale Heights,185.0
55,2000,1,Outer Western Melbourne,Melton,150.0
56,2000,1,Outer Western Melbourne,Newport-Spotswood,170.0
57,2000,1,Outer Western Melbourne,St Albans-Deer Park,150.0
58,2000,1,Outer Western Melbourne,Sunshine,135.0
59,2000,1,Outer Western Melbourne,Sydenham,200.0
60,2000,1,Outer Western Melbourne,Werribee-Hoppers Crossing,160.0
61,2000,1,Outer Western Melbourne,West Footscray,140.0
62,2000,1,Outer Western Melbourne,Williamstown,240.0
63,2000,1,Outer Western Melbourne,Yarraville-Seddon,175.0
64,2000,1,North Western Melbourne,Broadmeadows-Roxburgh Park,162.0
65,2000,1,North Western Melbourne,Brunswick,180.0
66,2000,1,North Western Melbourne,Coburg-Pascoe Vale South,180.0
67,2000,1,North Western Melbourne,Craigieburn,175.0
68,2000,1,North Western Melbourne,East Brunswick,190.0
69,2000,1,North Western Melbourne,Essendon,170.0
70,2000,1,North Western Melbourne,Gladstone Park-Tullamarine,175.0
71,2000,1,North Western Melbourne,Keilor,224.0
72,2000,1,North Western Melbourne,Moonee Ponds-Ascot Vale,185.0
73,2000,1,North Western Melbourne,Oak Park-Glenroy-Fawkner,160.0
74,2000,1,North Western Melbourne,Pascoe Vale-Coburg North,170.0
75,2000,1,North Western Melbourne,Sunbury,165.0
76,2000,1,North Western Melbourne,West Brunswick,140.0
77,2000,1,North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,180.0
78,2000,1,North Eastern Melbourne,Eltham-Research-Montmorency,195.0
79,2000,1,North Eastern Melbourne,Fairfield-Alphington,150.0
80,2000,1,North Eastern Melbourne,Heidelberg-Heidelberg West,180.0
81,2000,1,North Eastern Melbourne,Ivanhoe-Ivanhoe East,185.0
82,2000,1,North Eastern Melbourne,Mill Park-Epping,180.0
83,2000,1,North Eastern Melbourne,Northcote,190.0
84,2000,1,North Eastern Melbourne,Preston,165.0
85,2000,1,North Eastern Melbourne,Reservoir,160.0
86,2000,1,North Eastern Melbourne,Thomastown-Lalor,160.0
87,2000,1,North Eastern Melbourne,Thornbury,150.0
88,2000,1,North Eastern Melbourne,Whittlesea,150.0
89,2000,1,Outer Eastern Melbourne,Bayswater,155.0
90,2000,1,Outer Eastern Melbourne,Boronia,165.0
91,2000,1,Outer Eastern Melbourne,Croydon-Lilydale,166.0
92,2000,1,Outer Eastern Melbourne,Ferntree Gully,170.0
93,2000,1,Outer Eastern Melbourne,Ringwood,165.0
94,2000,1,Outer Eastern Melbourne,Rowville,200.0
95,2000,1,Outer Eastern Melbourne,Wantirna-Scoresby,200.0
96,2000,1,Outer Eastern Melbourne,Yarra Ranges,150.0
97,2000,1,South Eastern Melbourne,Berwick,185.0
98,2000,1,South Eastern Melbourne,Cranbourne,155.0
99,2000,1,South Eastern Melbourne,Dandenong,130.0
100,2000,1,South Eastern Melbourne,Dandenong North-Endeavour Hills,160.0
101,2000,1,South Eastern Melbourne,Narre Warren-Hampton Park,165.0
102,2000,1,South Eastern Melbourne,Noble Park,140.0
103,2000,1,South Eastern Melbourne,Pakenham,155.0
104,2000,1,South Eastern Melbourne,Springvale,145.0
105,2000,1,Mornington Peninsula,Dromana-Portsea,135.0
106,2000,1,Mornington Peninsula,Frankston,150.0
107,2000,1,Mornington Peninsula,Hastings-Flinders,140.0
108,2000,1,Mornington Peninsula,Mt Eliza-Mornington-Mt Martha,170.0
109,2000,1,Mornington Peninsula,Seaford-Carrum Downs,150.0
110,2000,1,Geelong,Belmont-Grovedale,150.0
111,2000,1,Geelong,Corio,128.0
112,2000,1,Geelong,Geelong-Newcombe,135.0
113,2000,1,Geelong,Herne Hill-Geelong West,120.0
114,2000,1,Geelong,Lara,160.0
115,2000,1,Geelong,Newtown,140.0
116,2000,1,Geelong,North Geelong,135.0
117,2000,1,Ballarat,Ballarat,135.0
118,2000,1,Ballarat,Mount Clear-Buninyong,140.0
119,2000,1,Ballarat,Sebastopol-Delacombe,130.0
120,2000,1,Ballarat,Wendouree-Alfredton,130.0
121,2000,1,Bendigo,Bendigo,130.0
122,2000,1,Bendigo,Flora Hill-Bendigo East,140.0
123,2000,1,Bendigo,Golden Square-Kangaroo Flat,145.0
124,2000,1,Bendigo,North Bendigo,130.0
125,2000,1,Other Regional Centres,Bairnsdale,125.0
126,2000,1,Other Regional Centres,Benalla,120.0
127,2000,1,Other Regional Centres,Castlemaine,125.0
128,2000,1,Other Regional Centres,Echuca,150.0
129,2000,1,Other Regional Centres,Hamilton,110.0
130,2000,1,Other Regional Centres,Horsham,120.0
131,2000,1,Other Regional Centres,Mildura,140.0
132,2000,1,Other Regional Centres,Moe-Newborough,95.0
133,2000,1,Other Regional Centres,Morwell,100.0
134,2000,1,Other Regional Centres,Ocean Grove-Barwon Heads,150.0
135,2000,1,Other Regional Centres,Portland,110.0
136,2000,1,Other Regional Centres,Sale-Maffra,120.0
137,2000,1,Other Regional Centres,Seymour,125.0
138,2000,1,Other Regional Centres,Shepparton,140.0
139,2000,1,Other Regional Centres,Swan Hill,130.0
140,2000,1,Other Regional Centres,Torquay,155.0
141,2000,1,Other Regional Centres,Traralgon,125.0
142,2000,1,Other Regional Centres,Wanagaratta,125.0
143,2000,1,Other Regional Centres,Warragul,130.0
144,2000,1,Other Regional Centres,Warrnambool,130.0
145,2000,1,Other Regional Centres,Wodonga,145.0
146,2000,2,Inner Melbourne,Albert Park-Middle Park-West St Kilda,260.0
147,2000,2,Inner Melbourne,Armadale,200.0
148,2000,2,Inner Melbourne,Carlton North,260.0
149,2000,2,Inner Melbourne,Carlton-Parkville,260.0
150,2000,2,Inner Melbourne,CBD-St Kilda Rd,320.0
151,2000,2,Inner Melbourne,Collingwood-Abbotsford,230.0
152,2000,2,Inner Melbourne,Docklands,340.0
153,2000,2,Inner Melbourne,East Melbourne,268.0
154,2000,2,Inner Melbourne,East St Kilda,180.0
155,2000,2,Inner Melbourne,Elwood,200.0
156,2000,2,Inner Melbourne,Fitzroy,250.0
157,2000,2,Inner Melbourne,Fitzroy North-Clifton Hill,245.0
158,2000,2,Inner Melbourne,Flemington-Kensington,200.0
159,2000,2,Inner Melbourne,North Melbourne-West Melbourne,240.0
160,2000,2,Inner Melbourne,Port Melbourne,350.0
161,2000,2,Inner Melbourne,Prahran-Windsor,225.0
162,2000,2,Inner Melbourne,Richmond-Burnley,250.0
163,2000,2,Inner Melbourne,South Melbourne,285.0
164,2000,2,Inner Melbourne,South Yarra,230.0
165,2000,2,Inner Melbourne,Southbank,335.0
166,2000,2,Inner Melbourne,St Kilda,200.0
167,2000,2,Inner Melbourne,Toorak,250.0
168,2000,2,Inner Eastern Melbourne,Balwyn,245.0
169,2000,2,Inner Eastern Melbourne,Blackburn,200.0
170,2000,2,Inner Eastern Melbourne,Box Hill,185.0
171,2000,2,Inner Eastern Melbourne,Bulleen-Templestowe-Doncaster,225.0
172,2000,2,Inner Eastern Melbourne,Burwood-Ashburton,201.0
173,2000,2,Inner Eastern Melbourne,Camberwell-Glen Iris,225.0
174,2000,2,Inner Eastern Melbourne,Canterbury-Surrey Hills-Mont Albert,240.0
175,2000,2,Inner Eastern Melbourne,Chadstone-Oakleigh,190.0
176,2000,2,Inner Eastern Melbourne,Clayton,180.0
177,2000,2,Inner Eastern Melbourne,Doncaster East-Donvale,225.0
178,2000,2,Inner Eastern Melbourne,East Hawthorn,205.0
179,2000,2,Inner Eastern Melbourne,Glen Waverley-Mulgrave,210.0
180,2000,2,Inner Eastern Melbourne,Hawthorn,190.0
181,2000,2,Inner Eastern Melbourne,Kew,250.0
182,2000,2,Inner Eastern Melbourne,Mount Waverley,210.0
183,2000,2,Inner Eastern Melbourne,Nunawading-Mitcham,180.0
184,2000,2,Inner Eastern Melbourne,Vermont-Forest Hill-Burwood East,205.0
185,2000,2,Southern Melbourne,Aspendale-Chelsea-Carrum,170.0
186,2000,2,Southern Melbourne,Bentleigh,200.0
187,2000,2,Southern Melbourne,Brighton,300.0
188,2000,2,Southern Melbourne,Brighton East,285.0
189,2000,2,Southern Melbourne,Carnegie,160.0
190,2000,2,Southern Melbourne,Caulfield,200.0
191,2000,2,Southern Melbourne,Cheltenham,190.0
192,2000,2,Southern Melbourne,Elsternwick,190.0
193,2000,2,Southern Melbourne,Hampton-Beaumaris,275.0
194,2000,2,Southern Melbourne,Malvern,220.0
195,2000,2,Southern Melbourne,Malvern East,220.0
196,2000,2,Southern Melbourne,Mentone-Parkdale-Mordialloc,165.0
197,2000,2,Southern Melbourne,Murrumbeena-Hughesdale,170.0
198,2000,2,Outer Western Melbourne,Altona,170.0
199,2000,2,Outer Western Melbourne,Footscray,130.0
200,2000,2,Outer Western Melbourne,Keilor East-Avondale Heights,185.0
201,2000,2,Outer Western Melbourne,Melton,150.0
202,2000,2,Outer Western Melbourne,Newport-Spotswood,175.0
203,2000,2,Outer Western Melbourne,St Albans-Deer Park,155.0
204,2000,2,Outer Western Melbourne,Sunshine,140.0
205,2000,2,Outer Western Melbourne,Sydenham,200.0
206,2000,2,Outer Western Melbourne,Werribee-Hoppers Crossing,165.0
207,2000,2,Outer Western Melbourne,West Footscray,140.0
208,2000,2,Outer Western Melbourne,Williamstown,240.0
209,2000,2,Outer Western Melbourne,Yarraville-Seddon,180.0
210,2000,2,North Western Melbourne,Broadmeadows-Roxburgh Park,165.0
211,2000,2,North Western Melbourne,Brunswick,180.0
212,2000,2,North Western Melbourne,Coburg-Pascoe Vale South,180.0
213,2000,2,North Western Melbourne,Craigieburn,180.0
214,2000,2,North Western Melbourne,East Brunswick,210.0
215,2000,2,North Western Melbourne,Essendon,175.0
216,2000,2,North Western Melbourne,Gladstone Park-Tullamarine,175.0
217,2000,2,North Western Melbourne,Keilor,222.0
218,2000,2,North Western Melbourne,Moonee Ponds-Ascot Vale,185.0
219,2000,2,North Western Melbourne,Oak Park-Glenroy-Fawkner,160.0
220,2000,2,North Western Melbourne,Pascoe Vale-Coburg North,170.0
221,2000,2,North Western Melbourne,Sunbury,165.0
222,2000,2,North Western Melbourne,West Brunswick,140.0
223,2000,2,North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,185.0
224,2000,2,North Eastern Melbourne,Eltham-Research-Montmorency,200.0
225,2000,2,North Eastern Melbourne,Fairfield-Alphington,146.0
226,2000,2,North Eastern Melbourne,Heidelberg-Heidelberg West,180.0
227,2000,2,North Eastern Melbourne,Ivanhoe-Ivanhoe East,185.0
228,2000,2,North Eastern Melbourne,Mill Park-Epping,180.0
229,2000,2,North Eastern Melbourne,Northcote,190.0
230,2000,2,North Eastern Melbourne,Preston,170.0
231,2000,2,North Eastern Melbourne,Reservoir,160.0
232,2000,2,North Eastern Melbourne,Thomastown-Lalor,160.0
233,2000,2,North Eastern Melbourne,Thornbury,150.0
234,2000,2,North Eastern Melbourne,Whittlesea,150.0
235,2000,2,Outer Eastern Melbourne,Bayswater,160.0
236,2000,2,Outer Eastern Melbourne,Boronia,165.0
237,2000,2,Outer Eastern Melbourne,Croydon-Lilydale,170.0
238,2000,2,Outer Eastern Melbourne,Ferntree Gully,175.0
239,2000,2,Outer Eastern Melbourne,Ringwood,165.0
240,2000,2,Outer Eastern Melbourne,Rowville,200.0
241,2000,2,Outer Eastern Melbourne,Wantirna-Scoresby,200.0
242,2000,2,Outer Eastern Melbourne,Yarra Ranges,150.0
243,2000,2,South Eastern Melbourne,Berwick,185.0
244,2000,2,South Eastern Melbourne,Cranbourne,155.0
245,2000,2,South Eastern Melbourne,Dandenong,130.0
246,2000,2,South Eastern Melbourne,Dandenong North-Endeavour Hills,160.0
247,2000,2,South Eastern Melbourne,Narre Warren-Hampton Park,165.0
248,2000,2,South Eastern Melbourne,Noble Park,140.0
249,2000,2,South Eastern Melbourne,Pakenham,155.0
250,2000,2,South Eastern Melbourne,Springvale,145.0
251,2000,2,Mornington Peninsula,Dromana-Portsea,140.0
252,2000,2,Mornington Peninsula,Frankston,150.0
253,2000,2,Mornington Peninsula,Hastings-Flinders,145.0
254,2000,2,Mornington Peninsula,Mt Eliza-Mornington-Mt Martha,175.0
255,2000,2,Mornington Peninsula,Seaford-Carrum Downs,150.0
256,2000,2,Geelong,Belmont-Grovedale,150.0
257,2000,2,Geelong,Corio,130.0
258,2000,2,Geelong,Geelong-Newcombe,140.0
259,2000,2,Geelong,Herne Hill-Geelong West,120.0
260,2000,2,Geelong,Lara,165.0
261,2000,2,Geelong,Newtown,140.0
262,2000,2,Geelong,North Geelong,135.0
263,2000,2,Ballarat,Ballarat,135.0
264,2000,2,Ballarat,Mount Clear-Buninyong,140.0
265,2000,2,Ballarat,Sebastopol-Delacombe,130.0
266,2000,2,Ballarat,Wendouree-Alfredton,135.0
267,2000,2,Bendigo,Bendigo,130.0
268,2000,2,Bendigo,Flora Hill-Bendigo East,140.0
269,2000,2,Bendigo,Golden Square-Kangaroo Flat,145.0
270,2000,2,Bendigo,North Bendigo,135.0
271,2000,2,Other Regional Centres,Bairnsdale,125.0
272,2000,2,Other Regional Centres,Benalla,120.0
273,2000,2,Other Regional Centres,Castlemaine,125.0
274,2000,2,Other Regional Centres,Echuca,155.0
275,2000,2,Other Regional Centres,Hamilton,110.0
276,2000,2,Other Regional Centres,Horsham,120.0
277,2000,2,Other Regional Centres,Mildura,145.0
278,2000,2,Other Regional Centres,Moe-Newborough,90.0
279,2000,2,Other Regional Centres,Morwell,100.0
280,2000,2,Other Regional Centres,Ocean Grove-Barwon Heads,150.0
281,2000,2,Other Regional Centres,Portland,110.0
282,2000,2,Other Regional Centres,Sale-Maffra,120.0
283,2000,2,Other Regional Centres,Seymour,125.0
284,2000,2,Other Regional Centres,Shepparton,145.0
285,2000,2,Other Regional Centres,Swan Hill,135.0
286,2000,2,Other Regional Centres,Torquay,160.0
287,2000,2,Other Regional Centres,Traralgon,120.0
288,2000,2,Other Regional Centres,Wanagaratta,125.0
289,2000,2,Other Regional Centres,Warragul,135.0
290,2000,2,Other Regional Centres,Warrnambool,135.0
291,2000,2,Other Regional Centres,Wodonga,145.0
292,2000,3,Inner Melbourne,Albert Park-Middle Park-West St Kilda,270.0
293,2000,3,Inner Melbourne,Armadale,205.0
294,2000,3,Inner Melbourne,Carlton North,265.0
295,2000,3,Inner Melbourne,Carlton-Parkville,260.0
296,2000,3,Inner Melbourne,CBD-St Kilda Rd,320.0
297,2000,3,Inner Melbourne,Collingwood-Abbotsford,240.0
299,2000,3,Inner Melbourne,East Melbourne,280.0
300,2000,3,Inner Melbourne,East St Kilda,180.0
301,2000,3,Inner Melbourne,Elwood,200.0
302,2000,3,Inner Melbourne,Fitzroy,255.0
303,2000,3,Inner Melbourne,Fitzroy North-Clifton Hill,245.0
304,2000,3,Inner Melbourne,Flemington-Kensington,210.0
305,2000,3,Inner Melbourne,North Melbourne-West Melbourne,240.0
306,2000,3,Inner Melbourne,Port Melbourne,350.0
307,2000,3,Inner Melbourne,Prahran-Windsor,230.0
308,2000,3,Inner Melbourne,Richmond-Burnley,255.0
309,2000,3,Inner Melbourne,South Melbourne,286.0
310,2000,3,Inner Melbourne,South Yarra,230.0
311,2000,3,Inner Melbourne,Southbank,335.0
312,2000,3,Inner Melbourne,St Kilda,200.0
313,2000,3,Inner Melbourne,Toorak,250.0
314,2000,3,Inner Eastern Melbourne,Balwyn,250.0
315,2000,3,Inner Eastern Melbourne,Blackburn,200.0
316,2000,3,Inner Eastern Melbourne,Box Hill,190.0
317,2000,3,Inner Eastern Melbourne,Bulleen-Templestowe-Doncaster,230.0
318,2000,3,Inner Eastern Melbourne,Burwood-Ashburton,210.0
319,2000,3,Inner Eastern Melbourne,Camberwell-Glen Iris,230.0
320,2000,3,Inner Eastern Melbourne,Canterbury-Surrey Hills-Mont Albert,235.0
321,2000,3,Inner Eastern Melbourne,Chadstone-Oakleigh,195.0
322,2000,3,Inner Eastern Melbourne,Clayton,180.0
323,2000,3,Inner Eastern Melbourne,Doncaster East-Donvale,230.0
324,2000,3,Inner Eastern Melbourne,East Hawthorn,210.0
325,2000,3,Inner Eastern Melbourne,Glen Waverley-Mulgrave,210.0
326,2000,3,Inner Eastern Melbourne,Hawthorn,195.0
327,2000,3,Inner Eastern Melbourne,Kew,245.0
328,2000,3,Inner Eastern Melbourne,Mount Waverley,210.0
329,2000,3,Inner Eastern Melbourne,Nunawading-Mitcham,180.0
330,2000,3,Inner Eastern Melbourne,Vermont-Forest Hill-Burwood East,210.0
331,2000,3,Southern Melbourne,Aspendale-Chelsea-Carrum,175.0
332,2000,3,Southern Melbourne,Bentleigh,210.0
333,2000,3,Southern Melbourne,Brighton,300.0
334,2000,3,Southern Melbourne,Brighton East,280.0
335,2000,3,Southern Melbourne,Carnegie,160.0
336,2000,3,Southern Melbourne,Caulfield,200.0
337,2000,3,Southern Melbourne,Cheltenham,200.0
338,2000,3,Southern Melbourne,Elsternwick,195.0
339,2000,3,Southern Melbourne,Hampton-Beaumaris,280.0
340,2000,3,Southern Melbourne,Malvern,230.0
341,2000,3,Southern Melbourne,Malvern East,221.0
342,2000,3,Southern Melbourne,Mentone-Parkdale-Mordialloc,170.0
343,2000,3,Southern Melbourne,Murrumbeena-Hughesdale,175.0
344,2000,3,Outer Western Melbourne,Altona,170.0
345,2000,3,Outer Western Melbourne,Footscray,135.0
346,2000,3,Outer Western Melbourne,Keilor East-Avondale Heights,190.0
347,2000,3,Outer Western Melbourne,Melton,155.0
348,2000,3,Outer Western Melbourne,Newport-Spotswood,180.0
349,2000,3,Outer Western Melbourne,St Albans-Deer Park,155.0
350,2000,3,Outer Western Melbourne,Sunshine,140.0
351,2000,3,Outer Western Melbourne,Sydenham,200.0
352,2000,3,Outer Western Melbourne,Werribee-Hoppers Crossing,165.0
353,2000,3,Outer Western Melbourne,West Footscray,140.0
354,2000,3,Outer Western Melbourne,Williamstown,240.0
355,2000,3,Outer Western Melbourne,Yarraville-Seddon,180.0
356,2000,3,North Western Melbourne,Broadmeadows-Roxburgh Park,165.0
357,2000,3,North Western Melbourne,Brunswick,180.0
358,2000,3,North Western Melbourne,Coburg-Pascoe Vale South,180.0
359,2000,3,North Western Melbourne,Craigieburn,180.0
360,2000,3,North Western Melbourne,East Brunswick,210.0
361,2000,3,North Western Melbourne,Essendon,180.0
362,2000,3,North Western Melbourne,Gladstone Park-Tullamarine,175.0
363,2000,3,North Western Melbourne,Keilor,215.0
364,2000,3,North Western Melbourne,Moonee Ponds-Ascot Vale,190.0
365,2000,3,North Western Melbourne,Oak Park-Glenroy-Fawkner,160.0
366,2000,3,North Western Melbourne,Pascoe Vale-Coburg North,170.0
367,2000,3,North Western Melbourne,Sunbury,165.0
368,2000,3,North Western Melbourne,West Brunswick,145.0
369,2000,3,North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,190.0
370,2000,3,North Eastern Melbourne,Eltham-Research-Montmorency,200.0
371,2000,3,North Eastern Melbourne,Fairfield-Alphington,150.0
372,2000,3,North Eastern Melbourne,Heidelberg-Heidelberg West,180.0
373,2000,3,North Eastern Melbourne,Ivanhoe-Ivanhoe East,190.0
374,2000,3,North Eastern Melbourne,Mill Park-Epping,180.0
375,2000,3,North Eastern Melbourne,Northcote,200.0
376,2000,3,North Eastern Melbourne,Preston,170.0
377,2000,3,North Eastern Melbourne,Reservoir,165.0
378,2000,3,North Eastern Melbourne,Thomastown-Lalor,160.0
379,2000,3,North Eastern Melbourne,Thornbury,160.0
380,2000,3,North Eastern Melbourne,Whittlesea,155.0
381,2000,3,Outer Eastern Melbourne,Bayswater,165.0
382,2000,3,Outer Eastern Melbourne,Boronia,170.0
383,2000,3,Outer Eastern Melbourne,Croydon-Lilydale,170.0
384,2000,3,Outer Eastern Melbourne,Ferntree Gully,175.0
385,2000,3,Outer Eastern Melbourne,Ringwood,165.0
386,2000,3,Outer Eastern Melbourne,Rowville,210.0
387,2000,3,Outer Eastern Melbourne,Wantirna-Scoresby,200.0
388,2000,3,Outer Eastern Melbourne,Yarra Ranges,155.0
389,2000,3,South Eastern Melbourne,Berwick,190.0
390,2000,3,South Eastern Melbourne,Cranbourne,155.0
391,2000,3,South Eastern Melbourne,Dandenong,130.0
392,2000,3,South Eastern Melbourne,Dandenong North-Endeavour Hills,160.0
393,2000,3,South Eastern Melbourne,Narre Warren-Hampton Park,170.0
394,2000,3,South Eastern Melbourne,Noble Park,140.0
395,2000,3,South Eastern Melbourne,Pakenham,160.0
396,2000,3,South Eastern Melbourne,Springvale,145.0
397,2000,3,Mornington Peninsula,Dromana-Portsea,140.0
398,2000,3,Mornington Peninsula,Frankston,150.0
399,2000,3,Mornington Peninsula,Hastings-Flinders,145.0
400,2000,3,Mornington Peninsula,Mt Eliza-Mornington-Mt Martha,180.0
401,2000,3,Mornington Peninsula,Seaford-Carrum Downs,155.0
402,2000,3,Geelong,Belmont-Grovedale,150.0
403,2000,3,Geelong,Corio,130.0
404,2000,3,Geelong,Geelong-Newcombe,140.0
405,2000,3,Geelong,Herne Hill-Geelong West,125.0
406,2000,3,Geelong,Lara,165.0
407,2000,3,Geelong,Newtown,145.0
408,2000,3,Geelong,North Geelong,137.0
409,2000,3,Ballarat,Ballarat,138.0
410,2000,3,Ballarat,Mount Clear-Buninyong,140.0
411,2000,3,Ballarat,Sebastopol-Delacombe,130.0
412,2000,3,Ballarat,Wendouree-Alfredton,135.0
413,2000,3,Bendigo,Bendigo,135.0
414,2000,3,Bendigo,Flora Hill-Bendigo East,140.0
415,2000,3,Bendigo,Golden Square-Kangaroo Flat,145.0
416,2000,3,Bendigo,North Bendigo,135.0
417,2000,3,Other Regional Centres,Bairnsdale,130.0
418,2000,3,Other Regional Centres,Benalla,125.0
419,2000,3,Other Regional Centres,Castlemaine,125.0
420,2000,3,Other Regional Centres,Echuca,155.0
421,2000,3,Other Regional Centres,Hamilton,110.0
422,2000,3,Other Regional Centres,Horsham,120.0
423,2000,3,Other Regional Centres,Mildura,145.0
424,2000,3,Other Regional Centres,Moe-Newborough,90.0
425,2000,3,Other Regional Centres,Morwell,100.0
426,2000,3,Other Regional Centres,Ocean Grove-Barwon Heads,150.0
427,2000,3,Other Regional Centres,Portland,110.0
428,2000,3,Other Regional Centres,Sale-Maffra,120.0
429,2000,3,Other Regional Centres,Seymour,125.0
430,2000,3,Other Regional Centres,Shepparton,145.0
431,2000,3,Other Regional Centres,Swan Hill,135.0
432,2000,3,Other Regional Centres,Torquay,165.0
433,2000,3,Other Regional Centres,Traralgon,125.0
434,2000,3,Other Regional Centres,Wanagaratta,130.0
435,2000,3,Other Regional Centres,Warragul,135.0
436,2000,3,Other Regional Centres,Warrnambool,135.0
437,2000,3,Other Regional Centres,Wodonga,150.0
438,2000,4,Inner Melbourne,Albert Park-Middle Park-West St Kilda,275.0
439,2000,4,Inner Melbourne,Armadale,210.0
440,2000,4,Inner Melbourne,Carlton North,270.0
441,2000,4,Inner Melbourne,Carlton-Parkville,260.0
442,2000,4,Inner Melbourne,CBD-St Kilda Rd,320.0
443,2000,4,Inner Melbourne,Collingwood-Abbotsford,240.0
445,2000,4,Inner Melbourne,East Melbourne,273.0
446,2000,4,Inner Melbourne,East St Kilda,185.0
447,2000,4,Inner Melbourne,Elwood,210.0
448,2000,4,Inner Melbourne,Fitzroy,260.0
449,2000,4,Inner Melbourne,Fitzroy North-Clifton Hill,250.0
450,2000,4,Inner Melbourne,Flemington-Kensington,215.0
451,2000,4,Inner Melbourne,North Melbourne-West Melbourne,242.0
452,2000,4,Inner Melbourne,Port Melbourne,340.0
453,2000,4,Inner Melbourne,Prahran-Windsor,240.0
454,2000,4,Inner Melbourne,Richmond-Burnley,260.0
455,2000,4,Inner Melbourne,South Melbourne,295.0
456,2000,4,Inner Melbourne,South Yarra,240.0
457,2000,4,Inner Melbourne,Southbank,335.0
458,2000,4,Inner Melbourne,St Kilda,208.0
459,2000,4,Inner Melbourne,Toorak,250.0
460,2000,4,Inner Eastern Melbourne,Balwyn,250.0
461,2000,4,Inner Eastern Melbourne,Blackburn,200.0
462,2000,4,Inner Eastern Melbourne,Box Hill,190.0
463,2000,4,Inner Eastern Melbourne,Bulleen-Templestowe-Doncaster,230.0
464,2000,4,Inner Eastern Melbourne,Burwood-Ashburton,210.0
465,2000,4,Inner Eastern Melbourne,Camberwell-Glen Iris,230.0
466,2000,4,Inner Eastern Melbourne,Canterbury-Surrey Hills-Mont Albert,235.0
467,2000,4,Inner Eastern Melbourne,Chadstone-Oakleigh,200.0
468,2000,4,Inner Eastern Melbourne,Clayton,180.0
