,coordinates,cost_text,name,rooms
0,"[-37.9032708, 145.0770553]",680.0,15 Fintonia Street Hughesdale VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
1,"[-37.9077745, 145.092738]",650.0,41 Bishop Street Oakleigh VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
2,"[-37.8922004, 145.0899378]",500.0,109/6 Dalgety Street Oakleigh VIC 3166,"['1 Bed', '1 Bath', '1 Parking']"
3,"[-37.8972564, 145.0871089]",570.0,16/30 Swindon Road Oakleigh VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
4,"[-37.894307, 145.082706]",475.0,1/14 Bletchley Road Hughesdale VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
5,"[-37.9068017, 145.0786493]",550.0,26 Austin Street Hughesdale VIC 3166,"['3 Beds', '1 Bath', '2 Parking']"
6,"[-37.8947925, 145.087094]",500.0,2/67 Euston Road Hughesdale VIC 3166,"['2 Beds', '1 Bath', '2 Parking']"
7,"[-37.9005662, 145.0810834]",400.0,5/158 Kangaroo Road Hughesdale VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
8,"[-37.9001334, 145.1076911]",600.0,3/13 State Street Oakleigh East VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
9,"[-37.8943242, 145.0795109]",675.0,24 Euston Road Hughesdale VIC 3166,"['4 Beds', '2 Baths', '3 Parking']"
10,"[-37.9029684, 145.1135954]",430.0,1/61 Macrina Street Oakleigh East VIC 3166,"['3 Beds', '1 Bath', '1 Parking']"
11,"[-37.8972997, 145.0983472]",545.0,2A Grant Street Oakleigh VIC 3166,"['3 Beds', '1 Bath', '2 Parking']"
12,"[-37.905378999999996, 145.10301]",520.0,2/52 William Street Oakleigh VIC 3166,"['3 Beds', '1 Bath', '1 Parking']"
13,"[-37.9070769, 145.1149659]",475.0,1652 Dandenong Road Oakleigh East VIC 3166,"['2 Beds', '2 Baths', '1 Parking']"
14,"[-37.8978456, 145.1082131]",615.0,4/13 Elizabeth Street Oakleigh East VIC 3166,"['3 Beds', '2 Baths', '1 Parking']"
15,"[-37.8991923, 145.0943323]",530.0,406/89 Atherton Road Oakleigh VIC 3166,"['2 Beds', '2 Baths', '1 Parking']"
16,"[-37.905481, 145.1123118]",640.0,1/1622 Dandenong Road Huntingdale VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
17,"[-37.9008385, 145.1216553]",480.0,11 Patrick Street Oakleigh VIC 3166,"['3 Beds', '1 Bath', '2 Parking']"
18,"[-37.90827549999999, 145.0782616]",650.0,48 Austin Street Hughesdale VIC 3166,"['3 Beds', '2 Baths', '1 Parking']"
19,"[-37.9008042, 145.0783908]",520.0,1/9 Hotham Street Hughesdale VIC 3166,"['4 Beds', '2 Baths', '1 Parking']"
