,coordinates,cost_text,name,rooms
20,"[-37.9062499, 145.1174744]",580.0,1/58 Highland Avenue Oakleigh East VIC 3166,"['4 Beds', '2 Baths', '2 Parking']"
21,"[-37.905395, 145.1189399]",490.0,40B Leumear Street Oakleigh East VIC 3166,"['3 Beds', '1 Bath', '2 Parking']"
22,"[-37.8971021, 145.085241]",650.0,10 Swindon Road Hughesdale VIC 3166,"['4 Beds', '2 Baths', '2 Parking']"
23,"[-37.90327130000001, 145.108122]",440.0,1 Shafton Street Oakleigh East VIC 3166,"['3 Beds', '1 Bath', '2 Parking']"
24,"[-37.8944064, 145.0916178]",750.0,1/21 Logie Street Oakleigh VIC 3166,"['4 Beds', '2 Baths', '4 Parking']"
25,"[-37.8967485, 145.091757]",510.0,12A Palmer Street Oakleigh VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
26,"[-37.8944209, 145.0916608]",599.0,2/21 Logie Street Oakleigh VIC 3166,"['3 Beds', '1 Bath', '2 Parking']"
27,"[-37.9010428, 145.091833]",370.0,501/19-21 Hanover Street Oakleigh VIC 3166,"['1 Bed', '1 Bath', '1 Parking']"
28,"[-37.9006591, 145.0944616]",550.0,19 Regent Street Oakleigh VIC 3166,"['3 Beds', '2 Baths', '1 Parking']"
29,"[-37.9012582, 145.0929966]",1150.0,30 Oxford St Oakleigh VIC 3166,"['4 Beds', '1 Bath', '4 Parking']"
30,"[-37.90993, 145.121535]",590.0,1/20 Dover St Oakleigh East VIC 3166,"['4 Beds', '3 Baths', '2 Parking']"
31,"[-37.9002473, 145.1119146]",430.0,13 Elysium Crescent Oakleigh East VIC 3166,"['3 Beds', '1 Bath', '3 Parking']"
32,"[-37.9017134, 145.1015716]",650.0,14 John Street Oakleigh VIC 3166,"['3 Beds', '1 Bath']"
33,"[-37.8991836, 145.1171785]",700.0,4/44 Nonna Street Oakleigh East VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
34,"[-37.9110692, 145.1007871]",500.0,2/1267 North Road Oakleigh VIC 3166,"['2 Beds', '2 Baths', '1 Parking']"
35,"[-37.8951382, 145.1010114]",620.0,13 Hilbert Court Oakleigh VIC 3166,"['3 Beds', '1 Bath', '2 Parking']"
36,"[-37.90095549999999, 145.0839054]",750.0,188 Kangaroo Road Hughesdale VIC 3166,"['4 Beds', '2 Baths', '2 Parking']"
37,"[-37.8927676, 145.0906267]",600.0,502/1525 Dandenong Road Oakleigh VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
38,"[-37.8988807, 145.0868909]",400.0,309/59-63 Warrigal Road Hughesdale VIC 3166,"['2 Beds', '2 Baths', '1 Parking']"
39,"[-37.8928843, 145.0905924]",370.0,407/1525 Dandenong Road Oakleigh VIC 3166,"['1 Bed', '1 Bath', '1 Parking']"
40,"[-37.8928843, 145.0905924]",370.0,407/1525 Dandenong Road Oakleigh VIC 3166,"['1 Bed', '1 Bath', '1 Parking']"
41,"[-37.899503, 145.111631]",480.0,7 Gamble Street Oakleigh East VIC 3166,"['3 Beds', '3 Baths', '1 Parking']"
42,"[-37.8999186, 145.1123456]",550.0,16 Gamble Street Oakleigh East VIC 3166,"['4 Beds', '1 Bath', '2 Parking']"
43,"[-37.90775500000001, 145.1155326]",350.0,26/1656 Dandenong Road Oakleigh East VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
44,"[-37.907946, 145.1132075]",420.0,5 Franklyn Street Huntingdale VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
45,"[-37.90557889999999, 145.1138856]",550.0,1/1805 Dandenong Road Oakleigh East VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
46,"[-37.9001612, 145.1079788]",360.0,2/15 State Street Oakleigh East VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
47,"[-37.8976107, 145.0923337]",450.0,22/119-123 Atkinson Street Oakleigh VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
48,"[-37.8992276, 145.1088977]",600.0,3/27 Oakleigh Road Oakleigh East VIC 3166,"['3 Beds', '1 Bath', '1 Parking']"
49,"[-37.9055716, 145.1055363]",360.0,1/5 Greville Street Huntingdale VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
50,"[-37.897209, 145.092442]",450.0,1/117 Atkinson Street Oakleigh VIC 3166,"['3 Beds', '1 Bath', '1 Parking']"
51,"[-37.8990055, 145.0885255]",400.0,102/7-9 Station Street Oakleigh VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
52,"[-37.8899556, 145.0818589]",395.0,106/1344 Dandenong Road Hughesdale VIC 3166,"['1 Bed', '1 Bath', '1 Parking']"
53,"[-37.9036873, 145.1093983]",730.0,1/1594 Dandenong Road Huntingdale VIC 3166,"['4 Beds', '3 Baths', '1 Parking']"
54,"[-37.9058831, 145.1157336]",595.0,2/11 Oberon Avenue Oakleigh East VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
55,"[-37.9054176, 145.1069153]",695.0,20 Leigh Street Huntingdale VIC 3166,"['3 Beds', '2 Baths', '3 Parking']"
56,"[-37.899044, 145.077172]",630.0,110 Kangaroo Road Hughesdale VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
57,"[-37.8924137, 145.0906619]",400.0,5/83 Drummond Street Oakleigh VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
58,"[-37.9043863, 145.0798125]",750.0,56 Darling Street Hughesdale VIC 3166,"['4 Beds', '3 Baths', '1 Parking']"
59,"[-37.9021584, 145.0782068]",500.0,25 Hotham Street Hughesdale VIC 3166,"['3 Beds', '1 Bath']"
60,"[-37.894618, 145.087313]",450.0,2/9 Warrigal Rd Hughesdale VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
61,"[-37.8973011, 145.0803295]",850.0,26 Carlisle Crescent Hughesdale VIC 3166,"['4 Beds', '2 Baths', '1 Parking']"
62,"[-37.9104928, 145.1002358]",440.0,4/3 Moroney Street Oakleigh VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
63,"[-37.9053695, 145.0854133]",415.0,71 Dallas Avenue Hughesdale VIC 3166,"['2 Beds', '1 Bath']"
64,"[-37.9034564, 145.1105018]",560.0,1/1773 Dandenong Road Oakleigh East VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
65,"[-37.901625, 145.1030368]",490.0,9 William Street Oakleigh VIC 3166,"['3 Beds', '2 Baths', '1 Parking']"
66,"[-37.89319920000001, 145.0870456]",430.0,3/1378 Dandenong Road Hughesdale VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
67,"[-37.8941495, 145.0781323]",615.0,8 Euston Road Hughesdale VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
68,"[-37.9119292, 145.119709]",215.0,3.3/7 White Street Oakleigh East VIC 3166,"['5 Beds', '1 Bath']"
69,"[-37.9119292, 145.119709]",230.0,7 White Street Oakleigh East VIC 3166,"['1 Bed', '1 Bath']"
70,"[-37.894668, 145.087443]",600.0,4/9 Warrigal Rd Hughesdale VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
71,"[-37.9028214, 145.099769]",700.0,1/81 Burlington Street Oakleigh VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
72,"[-37.898896, 145.086888]",530.0,302/59-63 Warrigal Rd Hughesdale VIC 3166,"['2 Beds', '2 Baths', '1 Parking']"
73,"[-37.9129792, 145.1161421]",1300.0,34 Coane Street Oakleigh East VIC 3166,"['4 Beds', '3 Baths', '2 Parking']"
74,"[-37.8978561, 145.1021965]",600.0,2/1 Howden Street Oakleigh East VIC 3166,"['4 Beds', '2 Baths', '1 Parking']"
75,"[-37.8924137, 145.0906619]",370.0,110/83-85 Drummond Street Oakleigh VIC 3166,"['1 Bed', '1 Bath', '1 Parking']"
76,"[-37.8927676, 145.0906267]",460.0,204/1525 Dandenong Road Oakleigh VIC 3166,"['2 Beds', '2 Baths', '1 Parking']"
77,"[-37.900917, 145.079321]",545.0,3/8 Hotham Street Hughesdale VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
78,"[-37.8927591, 145.0789293]",675.0,2/11 Paget Street Hughesdale VIC 3166,"['3 Beds', '2 Baths', '2 Parking']"
79,"[-37.898889, 145.0869463]",400.0,Apartment 304/59-63 Warrigal Road Hughesdale VIC 3166,"['1 Bed', '1 Bath', '1 Parking']"
80,"[-37.8920371, 145.0890831]",490.0,112/2 Dalgety Street Oakleigh VIC 3166,"['2 Beds', '1 Bath', '1 Parking']"
81,"[-37.9043949, 145.0752029]",895.0,2 Argyle Close Hughesdale VIC 3166,"['4 Beds', '3 Baths', '2 Parking']"
82,"[-37.9048476, 145.1019379]",490.0,42 George Street Oakleigh VIC 3166,"['3 Beds', '1 Bath', '1 Parking']"
83,"[-37.9353034, 145.0372681]",440.0,402/6 Station St Moorabbin VIC 3189,"['2 Beds', '1 Bath', '1 Parking']"
84,"[-37.9353034, 145.0372681]",420.0,412/6 Station Street Moorabbin VIC 3189,"['2 Beds', '1 Bath', '1 Parking']"
85,"[-37.93505080000001, 145.0399065]",525.0,19 Central Ave Moorabbin VIC 3189,"['3 Beds', '1 Bath', '2 Parking']"
86,"[-37.9350735, 145.0397392]",485.0,1/17 Central Ave Moorabbin VIC 3189,"['2 Beds', '1 Bath', '2 Parking']"
87,"[-37.9372389, 145.0540534]",590.0,26 Franklin Street Moorabbin VIC 3189,"['3 Beds', '1 Bath']"
88,"[-37.9409401, 145.0451817]",660.0,4A Biscop Road Moorabbin VIC 3189,"['3 Beds', '2 Baths', '2 Parking']"
89,"[-37.9443381, 145.0468182]",650.0,3 Nette Court Moorabbin VIC 3189,"['3 Beds', '1 Bath', '2 Parking']"
90,"[-37.9353034, 145.0372681]",430.0,205/6 Station St Moorabbin VIC 3189,"['2 Beds', '1 Bath', '1 Parking']"
91,"[-37.935487, 145.048514]",450.0,1/17 Baker Street Moorabbin VIC 3189,"['2 Beds', '1 Bath', '2 Parking']"
92,"[-37.9350472, 145.0400572]",490.0,21 Central Avenue Moorabbin VIC 3189,"['2 Beds', '1 Bath', '2 Parking']"
93,"[-37.9362384, 145.0466945]",700.0,1/42 Clay Street Moorabbin VIC 3189,"['4 Beds', '2 Baths', '1 Parking']"
94,"[-37.9358414, 145.0486778]",590.0,16A Baker Street Moorabbin VIC 3189,"['3 Beds', '1 Bath', '2 Parking']"
95,"[-37.9352415, 145.0489392]",500.0,7/121 Chapel Road Moorabbin VIC 3189,"['2 Beds', '2 Baths', '2 Parking']"
96,"[-37.9362384, 145.0466945]",500.0,2/42 Clay Street Moorabbin VIC 3189,"['3 Beds', '1 Bath']"
97,"[-37.94141760000001, 145.0410994]",485.0,1057B Nepean Highway Moorabbin VIC 3189,"['4 Beds', '1 Bath']"
98,"[-37.9406381, 145.059575]",500.0,18 Marrbridge Road Moorabbin VIC 3189,"['3 Beds', '1 Bath', '2 Parking']"
100,"[-37.935288, 145.0406601]",490.0,30 Healey St Moorabbin VIC 3189,"['4 Beds', '1 Bath', '2 Parking']"
101,"[-37.9460531, 145.0517708]",560.0,4/235 Wickham Road Moorabbin VIC 3189,"['2 Beds', '2 Baths', '1 Parking']"
102,"[-37.7574237, 144.7910777]",390.0,403/118 Cairnlea Drive Cairnlea VIC 3023,"['2 Beds', '2 Baths', '1 Parking']"
103,"[-37.7263794, 144.7387364]",465.0,38C The Avenue Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
104,"[-37.7572838, 144.7903479]",400.0,403/93 Furlong Road Cairnlea VIC 3023,"['2 Beds', '2 Baths', '1 Parking']"
105,"[-37.725495, 144.739616]",500.0,3 Fawkner Place Caroline Springs VIC 3023,"['5 Beds', '2 Baths', '2 Parking']"
106,"[-37.7370422, 144.7480477]",440.0,36 Arroyo Place Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
107,"[-37.7517562, 144.7289757]",600.0,8 Mt Eccles Place Caroline Springs VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
108,"[-37.7375044, 144.7492921]",450.0,44 Mimosa Way Burnside Heights VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
109,"[-37.7104089, 144.7374234]",395.0,29/79-89 Lancefield Drive Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
110,"[-37.7242556, 144.7418768]",440.0,7/39 Studley Park Way Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
111,"[-37.748436, 144.7419116]",385.0,16 Goulburn Circuit Caroline Springs VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
112,"[-37.7632446, 144.7704935]",340.0,3 Salmond Street Deer Park VIC 3023,"['3 Beds', '1 Bath', '3 Parking']"
113,"[-37.7569445, 144.7594305]",325.0,Deer Park VIC 3023,"['3 Beds', '1 Bath']"
114,"[-37.73044429999999, 144.7481121]",700.0,3 Beaconsfield Lane Caroline Springs VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
115,"[-37.7572769, 144.7461167]",385.0,14 Maitland Place Caroline Springs VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
116,"[-37.7475761, 144.7267234]",440.0,18 Tamborine Way Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
117,"[-37.77914639999999, 144.7693346]",510.0,3 Eagle Way Deer Park VIC 3023,"['4 Beds', '2 Baths', '4 Parking']"
119,"[-37.7045068, 144.7354755]",430.0,2 Strutt Place Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
120,"[-37.7347394, 144.7562442]",470.0,24 Ironbark Grove Burnside Heights VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
121,"[-37.7731617, 144.773584]",290.0,3/1 Tulloch Street Deer Park VIC 3023,"['1 Bed', '1 Bath', '1 Parking']"
122,"[-37.7674197, 144.7670812]",410.0,17 Eymard Street Deer Park VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
123,"[-37.7689337, 144.771749]",330.0,1/10 Miles Street Deer Park VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
124,"[-37.7719687, 144.7582613]",390.0,6 Lee Street Deer Park VIC 3023,"['3 Beds', '1 Bath', '2 Parking']"
125,"[-37.7418455, 144.7272382]",460.0,10 Betchworth Close Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
126,"[-37.772698, 144.7681757]",375.0,15 Quinn Street Deer Park VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
127,"[-37.7385877, 144.7344458]",395.0,10 Beacon Lane Caroline Springs VIC 3023,"['2 Beds', '1 Bath', '2 Parking']"
128,"[-37.7574237, 144.7910777]",375.0,315A/118 Cairnlea Drive Cairnlea VIC 3023,"['2 Beds', '2 Baths', '1 Parking']"
129,"[-37.7113088, 144.7326625]",380.0,13/40 McCubbin Way Caroline Springs VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
130,"[-37.7245163, 144.7515236]",480.0,16 Giverny Close Burnside Heights VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
131,"[-37.7411319, 144.7277101]",470.0,36 Edgbaston Parade Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
132,"[-37.7496472, 144.7268092]",430.0,26 Wyperfeld Circuit Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
133,"[-37.7293769, 144.7487772]",640.0,8 Tatterson Way Caroline Springs VIC 3023,"['4 Beds', '2 Baths', '4 Parking']"
134,"[-37.7761445, 144.75736]",430.0,14 Meakin Way Deer Park VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
135,"[-37.729579, 144.7586475]",390.0,36 Lyons Avenue Burnside Heights VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
136,"[-37.7584424, 144.7725538]",450.0,12 Laming Road Deer Park VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
137,"[-37.7722269, 144.7628535]",350.0,1/73 Quinn Street Deer Park VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
138,"[-37.7703343, 144.7610509]",340.0,2/21 Leila Street Deer Park VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
139,"[-37.7553489, 144.7631325]",390.0,79 Redditch Crescent Deer Park VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
140,"[-37.7253351, 144.734832]",425.0,48 Lawson Way Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
141,"[-37.748848100000004, 144.7435421]",399.0,12 Flemming Avenue Burnside VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
142,"[-37.7389131, 144.7269808]",420.0,12 Hunts Cross Way Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
143,"[-37.7494919, 144.7289113]",400.0,38 Grampians Way Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
144,"[-37.7722446, 144.7726612]",380.0,17 Christie Street Deer Park VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
145,"[-37.7615689, 144.7678323]",300.0,32 Salmond Street Deer Park VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
146,"[-37.7403764, 144.745001]",420.0,35 Clarendon Wynd Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
147,"[-37.775923399999996, 144.7692917]",350.0,56 Railway Parade Deer Park VIC 3023,"['3 Beds', '1 Bath', '2 Parking']"
148,"[-37.7711312, 144.7619951]",350.0,11 Carroll Street Deer Park VIC 3023,"['3 Beds', '2 Baths']"
149,"[-37.7046839, 144.7401523]",430.0,21 Dickerson way Caroline Springs VIC 3023,"['4 Beds', '2 Baths', '1 Parking']"
150,"[-37.7289599, 144.7280533]",550.0,10 Ridgegreen View Caroline Springs VIC 3023,"['4 Beds', '3 Baths', '2 Parking']"
151,"[-37.7088494, 144.7396374]",440.0,34 Cassan Way Caroline Springs VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
153,"[-37.770032, 144.7703755]",420.0,845A Ballarat Road Deer Park VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
154,"[-37.7730936, 144.7724251]",330.0,9/17 Tulloch Street Deer Park VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
155,"[-37.7386862, 144.7297265]",410.0,2 Calthorpe Green Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
156,"[-37.7450637, 144.7471895]",435.0,20 Fydler Avenue Burnside VIC 3023,"['4 Beds', '2 Baths', '1 Parking']"
157,"[-37.7272438, 144.7583134]",500.0,1/27 Katrina Drive Burnside Heights VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
158,"[-37.7604152, 144.7742708]",380.0,77 Welwyn Parade Deer Park VIC 3023,"['3 Beds', '1 Bath', '3 Parking']"
159,"[-37.7552355, 144.7595488]",350.0,10 Peterborough Crescent Deer Park VIC 3023,"['3 Beds', '1 Bath', '2 Parking']"
160,"[-37.76508, 144.759459]",360.0,2/947 Ballarat Road Deer Park VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
161,"[-37.7740025, 144.7678323]",350.0,23 Wakool Avenue Deer Park VIC 3023,"['3 Beds', '1 Bath', '3 Parking']"
162,"[-37.7405715, 144.7408818]",440.0,25 Blakeville Drive Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '2 Parking']"
163,"[-37.724442, 144.739495]",380.0,2 Edinburgh Lane Caroline Springs VIC 3023,"['2 Beds', '1 Bath', '2 Parking']"
164,"[-37.74238740000001, 144.728182]",450.0,44 Broadhurst Way Caroline Springs VIC 3023,"['3 Beds', '1 Bath', '2 Parking']"
165,"[-37.7799401, 144.7562978]",400.0,44B Clairview Road Deer Park VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
166,"[-37.7775545, 144.7649995]",440.0,8 Bunker Circuit Deer Park VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
167,"[-37.7316459, 144.7446886]",793.2692307692307,"Level 1, 301/13-15 Lake Street Caroline Springs VIC 3023",[]
168,"[-37.7535803, 144.7937612]",520.0,71 Ken Jordan Road Cairnlea VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
169,"[-37.761321, 144.7705646]",350.0,2/4 Winnington Street Deer Park VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
170,"[-37.7691171, 144.7780388]",360.0,6 Glencairn Avenue Deer Park VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
171,"[-37.774468, 144.7575746]",390.0,36 Meakin Way Deer Park VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
172,"[-37.7291692, 144.7471036]",420.0,14/11 Monckton Place Caroline Springs VIC 3023,"['2 Beds', '2 Baths', '1 Parking']"
173,"[-37.7322409, 144.7544847]",510.0,10 Wylie Circuit Burnside Heights VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
174,"[-37.7346359, 144.7520546]",360.0,4/93 Arbour Boulevard Burnside Heights VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
175,"[-37.7606227, 144.7759449]",350.0,97 Welwyn Parade Deer Park VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
176,"[-37.7353245, 144.74985]",485.0,175 Tenterfield Drive Burnside Heights VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
177,"[-37.777475, 144.758905]",395.0,48 Hatchlands Drive Deer Park VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
178,"[-37.7303934, 144.7473504]",520.0,149 The Esplanade Caroline Springs VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
179,"[-37.7574237, 144.7910777]",375.0,110/118 Cairnlea Drive Cairnlea VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
180,"[-37.7367327, 144.7500216]",480.0,17 Cooma Place Burnside Heights VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
181,"[-37.7803848, 144.7561155]",420.0,23 Loxwood Drive Deer Park VIC 3023,"['4 Beds', '2 Baths', '2 Parking']"
182,"[-37.7348353, 144.7520999]",360.0,9/93 Arbour Boulevard Burnside Heights VIC 3023,"['2 Beds', '1 Bath', '1 Parking']"
183,"[-37.7444723, 144.7550418]",580.0,4 Carnaby Grove Burnside VIC 3023,"['4 Beds', '3 Baths', '2 Parking']"
184,"[-37.7621202, 144.7596346]",280.0,1/1 Tinto Close Deer Park VIC 3023,"['2 Beds', '1 Bath', '2 Parking']"
185,"[-37.7610254, 144.7592055]",380.0,33 Winslow Crst Deer Park VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
186,"[-37.7731088, 144.7726826]",400.0,1/15 Tulloch Street Deer Park VIC 3023,"['2 Beds', '2 Baths', '1 Parking']"
187,"[-37.7316459, 144.7446886]",4125000.0,"Level 3, 302/13-15 Lake Street Caroline Springs VIC 3023",[]
188,"[-37.7266957, 144.7617376]",460.0,1 Chifley Circuit Burnside Heights VIC 3023,"['4 Beds', '3 Baths', '2 Parking']"
189,"[-37.7635963, 144.7677894]",360.0,23 Runcorn Crescent Deer Park VIC 3023,"['3 Beds', '1 Bath', '1 Parking']"
190,"[-37.7598937, 144.7689054]",220.0,2/5 Earlsfield Court Deer Park VIC 3023,"['1 Bed', '1 Bath', '1 Parking']"
191,"[-37.75239699999999, 144.748585]",390.0,20 Castlemaine Way Caroline Springs VIC 3023,"['3 Beds', '2 Baths', '1 Parking']"
192,"[-37.766062, 144.771268]",340.0,2 WELWYN PARADE Deer Park VIC 3023,"['3 Beds', '1 Bath']"
193,"[-38.1379709, 144.3142905]",480.0,11 Maskell Court Fyansford VIC 3218,"['3 Beds', '2 Baths', '1 Parking']"
194,"[-38.1372307, 144.339435]",460.0,36 McDougall Street Geelong West VIC 3218,"['2 Beds', '1 Bath', '1 Parking']"
195,"[-38.1313207, 144.3263322]",380.0,1/3 Colville Court Herne Hill VIC 3218,"['2 Beds', '1 Bath', '1 Parking']"
196,"[-38.1436838, 144.3484725]",450.0,6/48 Gordon Avenue Geelong West VIC 3218,"['2 Beds', '1 Bath', '1 Parking']"
197,"[-38.1434927, 144.346459]",450.0,9/50 Bowlers Avenue Geelong West VIC 3218,"['1 Bed', '1 Bath', '1 Parking']"
199,"[-38.1395417, 144.3443026]",550.0,45 Clarence Street Geelong West VIC 3218,"['3 Beds', '1 Bath', '2 Parking']"
200,"[-38.1394352, 144.3402851]",700.0,32a Elizabeth Street Geelong West VIC 3218,"['1 Bed', '1 Bath']"
201,"[-38.1394352, 144.3402851]",700.0,32 Elizabeth Street Geelong West VIC 3218,"['1 Bed', '1 Bath']"
202,"[-38.1420495, 144.3350385]",410.0,1/14 Airey Street Manifold Heights VIC 3218,"['2 Beds', '1 Bath', '1 Parking']"
203,"[-38.133224, 144.334141]",430.0,3/36 Orr Street Manifold Heights VIC 3218,"['3 Beds', '1 Bath', '1 Parking']"
204,"[-38.1353085, 144.3424848]",395.0,1/6 Ann Street Geelong West VIC 3218,"['2 Beds', '1 Bath', '1 Parking']"
205,"[-38.1380334, 144.3291884]",400.0,4 Murchison Court Herne Hill VIC 3218,"['3 Beds', '1 Bath', '1 Parking']"
