,LGA Name,Facility Name,Suburb/Town,Pcode,Latitude,Longitude,Sports Played
27,Alpine Shire Council ,Mummery Road Oval,Myrtleford,3737,-36.54996,146.724992,Cricket
28,Alpine Shire Council,Pioneer Park Recreation Reserve,Bright,3741,-36.737199,146.973353,Cricket
29,Alpine Shire Council ,RC McNamara Reserve,Myrtleford,3737,-36.567524,146.723777,Cricket
30,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Cricket (Indoor)
32,Alpine Shire Council,Myrtleford Recreation Reserve,Myrtleford,3737,-36.543428,146.738124,Equestrian
33,Alpine Shire Council,Pioneer Park Recreation Reserve,Bright,3741,-36.737199,146.973353,Equestrian
34,Alpine Shire Council ,Bright Sports Centre,Bright,3741,-36.728695,146.958053,Fitness / Gymnasium Workouts
35,Alpine Shire Council ,Bright Golf Club,Bright,3741,-36.711338,146.935086,Golf
36,Alpine Shire Council ,Dederang Golf Course,Dederang,3691,-36.478094,147.02098,Golf
37,Alpine Shire Council ,Mount Beauty Golf Club,Mount Beauty,3699,-36.737378,147.179398,Golf
38,Alpine Shire Council ,Myrtleford Golf Course,Myrtleford,3737,-36.541407,146.728312,Golf
41,Alpine Shire Council ,Bright Bowls Club,Bright,3741,-36.731007,146.969729,Lawn Bowls
42,Alpine Shire Council ,Dederang Bowls Club,Dederang,3691,-36.476276,147.021519,Lawn Bowls
43,Alpine Shire Council,Myrtleford Bowls Club,Myrtleford,3737,-36.56297,146.72498,Lawn Bowls
44,Alpine Shire Council ,Tawonga Bowls Club,Tawonga,3697,-36.698664,147.143918,Lawn Bowls
47,Alpine Shire Council ,Myrtleford Race Track,Myrtleford,3737,-36.541364,146.767159,Motor Sports
48,Alpine Shire Council ,Dederang Recreation reserve,Dederang,3691,-36.475264,147.020525,Netball
49,Alpine Shire Council ,Mount Beauty recreation Reserve,Mount Beauty,3699,-36.739256,147.172162,Netball
50,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Netball (Indoor)
51,Alpine Shire Council ,Bright Skate Park (lions Park),Bright,3741,-36.728932,146.970354,Skating
52,Alpine Shire Council ,Cundy Park,Myrtleford,3737,-36.556305,146.728418,Skating
53,Alpine Shire Council ,Mount Beauty recreation Reserve,Mount Beauty,3699,-36.739256,147.172162,Skating
54,Alpine Shire Council ,Bright p-12 College,Bright,3741,-36.733701,146.962508,Soccer
55,Alpine Shire Council ,Lakeside Football Reserve,Mount Beauty,3699,-36.740988,147.168502,Soccer
56,Alpine Shire Council ,Myrtleford Savoy Sports Club,Myrtleford,3737,-36.553518,146.715794,Soccer
57,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Soccer (Indoor Soccer / Futsal)
58,Alpine Shire Council ,Bright Sports Centre,Bright,3741,-36.728695,146.958053,Squash / Racquetball
59,Alpine Shire Council ,Myrtleford Indoor Sports Complex,Myrtleford,3737,-36.552593,146.725872,Squash / Racquetball
60,Alpine Shire Council ,Jubilee Park & Swimming Pool,Myrtleford,3737,-36.562971,146.724982,Swimming
61,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Swimming
62,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Table Tennis
63,Alpine Shire Council ,Dederang Recreation reserve,Dederang,3691,-36.475264,147.020525,Tennis (Outdoor)
64,Alpine Shire Council ,Gundowring Recreation reserve,Gundowring,3691,-36.422159,147.061754,Tennis (Outdoor)
65,Alpine Shire Council ,Jubilee Park & Swimming Pool,Myrtleford,3737,-36.562971,146.724982,Tennis (Outdoor)
66,Alpine Shire Council ,Mount Beauty recreation Reserve,Mount Beauty,3699,-36.739256,147.172162,Tennis (Outdoor)
67,Alpine Shire Council,Pioneer Park Recreation Reserve,Bright,3741,-36.737199,146.973353,Tennis (Outdoor)
68,Alpine Shire Council ,Porepunkah Recreation Reserve,Porepunkah,3740,-36.698109,146.910729,Tennis (Outdoor)
69,Alpine Shire Council ,RC McNamara Reserve,Myrtleford,3737,-36.567524,146.723777,Tennis (Outdoor)
70,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Volleyball
71,Alpine Shire Council ,Myrtleford Indoor Sports Complex,Myrtleford,3737,-36.552593,146.725872,Volleyball
72,Ararat Rural City Council,Gordon Street Recreation Reserve,Ararat,3377,-37.290964,142.944466,Athletics
73,Ararat Rural City Council,Alexandra Oval Reserve,Ararat,3377,-37.279414,142.927461,Australian Rules Football
74,Ararat Rural City Council,Gordon Street Recreation Reserve,Ararat,3377,-37.290964,142.944466,Australian Rules Football
75,Ararat Rural City Council,Lake Bolac Recreation Reserve,Lake Bolac,3351,-37.718696,142.842711,Australian Rules Football
76,Ararat Rural City Council,Maroona Recreation Reserve,Maroona,3377,-37.439012,142.860913,Australian Rules Football
77,Ararat Rural City Council,Mininera Recreation Reserve,Mininera,3351,-37.602218,142.963743,Australian Rules Football
78,Ararat Rural City Council,Moyston Recreation Reserve,Moyston,3377,-37.299648,142.765968,Australian Rules Football
79,Ararat Rural City Council,Tatyoon Recreation Reserve,Tatyoon,3378,-37.52441,142.943444,Australian Rules Football
80,Ararat Rural City Council,Willaura Recreation Reserve,Willlaura,3379,-37.545101,142.744682,Australian Rules Football
81,Ararat Rural City Council,Alexandra Hall,Ararat,3377,-37.281984,142.92884,Badminton
82,Ararat Rural City Council,Ararat Rural City Recreation and Aquatics Centre,Ararat,3377,-37.28209,142.932911,Basketball
83,Ararat Rural City Council,Alexandra Oval Reserve,Ararat,3377,-37.279414,142.927461,Cricket
84,Ararat Rural City Council,Aradale Cricket Ground,Ararat,3377,-37.275846,142.959809,Cricket
85,Ararat Rural City Council,Buangor Recreation Reserve,Buangor,3375,-37.365352,143.172993,Cricket
86,Ararat Rural City Council,Elmhurst Recreation Reserve,Elmhurst,3469,-37.183506,143.243133,Cricket
87,Ararat Rural City Council,Gordon Street Recreation Reserve,Ararat,3377,-37.290964,142.944466,Cricket
88,Ararat Rural City Council,Lake Bolac Recreation Reserve,Lake Bolac,3351,-37.718696,142.842711,Cricket
89,Ararat Rural City Council,Mininera Recreation Reserve,Mininera,3351,-37.602218,142.963743,Cricket
90,Ararat Rural City Council,Moyston Recreation Reserve,Moyston,3377,-37.299648,142.765968,Cricket
91,Ararat Rural City Council,Pomonal Recreation Reserve,Pomonal,3381,-37.195245,142.610113,Cricket
92,Ararat Rural City Council,Richardson Oval,Ararat,3377,-37.270497,142.916201,Cricket
93,Ararat Rural City Council,Tatyoon Recreation Reserve,Tatyoon,3378,-37.52441,142.943444,Cricket
94,Ararat Rural City Council,Wickliffe Recreation Reserve,Wickliffe,3379,-37.685497,142.722645,Cricket
95,Ararat Rural City Council,Willaura Recreation Reserve,Willlaura,3379,-37.545101,142.744682,Cricket
96,Ararat Rural City Council,Alexandra Croquet Club,Ararat,3377,-37.282005,142.93149,Croquet
100,Ararat Rural City Council,David Blackie Velodrome,Ararat,3377,-37.270736,142.941584,Cycling
103,Ararat Rural City Council ,Ararat Pony Club Grounds,Ararat,3377,-37.292104,142.935676,Equestrian
104,Ararat Rural City Council,Ararat Rural City Recreation and Aquatics Centre,Ararat,3377,-37.28209,142.932911,Fitness / Gymnasium Workouts
105,Ararat Rural City Council,Aradale Golf Course,Ararat,3377,-37.282422,142.95468,Golf
106,Ararat Rural City Council,Chalambar Bowls & Golf Club,Ararat,3377,-37.269793,142.909362,Golf
107,Ararat Rural City Council,Elmhurst Golf Club,Elmhurst,3469,-37.186553,143.245971,Golf
108,Ararat Rural City Council,Lake Bolac Golf Club,Lake Bolac,3351,-37.715756,142.844007,Golf
109,Ararat Rural City Council,Streatham Golf Club,Streatham,3351,-37.681405,143.05791,Golf
110,Ararat Rural City Council,Willaura Golf Club,Willlaura,3379,-37.578737,142.752396,Golf
111,Ararat Rural City Council,Gordon Street Recreation Reserve,Ararat,3377,-37.290964,142.944466,Hockey
112,Ararat Rural City Council,Aradale Bowls Club,Ararat,3377,-37.276349,142.958473,Lawn Bowls
113,Ararat Rural City Council,Ararat Bowls,Ararat,3377,-37.281886,142.93024,Lawn Bowls
114,Ararat Rural City Council,Ararat VRI Bowls Club,Ararat,3377,-37.279948,142.933877,Lawn Bowls
115,Ararat Rural City Council,Chalambar Bowls & Golf Club,Ararat,3377,-37.269793,142.909362,Lawn Bowls
116,Ararat Rural City Council,Lake Bolac & District Bowling Club,Lake Bolac,3351,-37.720296,142.842156,Lawn Bowls
117,Ararat Rural City Council,Willaura Bowls Club,Willlaura,3379,-37.546223,142.744596,Lawn Bowls
119,Ararat Rural City Council,Alexandra Oval Reserve,Ararat,3377,-37.279414,142.927461,Netball
120,Ararat Rural City Council,Lake Bolac Recreation Reserve,Lake Bolac,3351,-37.718696,142.842711,Netball
121,Ararat Rural City Council,Mininera Recreation Reserve,Mininera,3351,-37.602218,142.963743,Netball
122,Ararat Rural City Council,Moyston Recreation Reserve,Moyston,3377,-37.299648,142.765968,Netball
123,Ararat Rural City Council,Tatyoon Recreation Reserve,Tatyoon,3378,-37.52441,142.943444,Netball
124,Ararat Rural City Council,Ararat Rural City Recreation and Aquatics Centre,Ararat,3377,-37.28209,142.932911,Netball (Indoor)
126,Ararat Rural City Council,Ararat Rural City Recreation and Aquatics Centre,Ararat,3377,-37.28209,142.932911,Squash / Racquetball
127,Ararat Rural City Council,Ararat Rural City Recreation and Aquatics Centre,Ararat,3377,-37.28209,142.932911,Swimming
128,Ararat Rural City Council,Ararat Solar Olympic Swimming Pool,Ararat,3377,-37.28075,142.928877,Swimming
129,Ararat Rural City Council,Lake Bolac Swimming Pool,Lake Bolac,3351,-37.719091,142.840212,Swimming
130,Ararat Rural City Council,Willaura Swimming Pool,Willlaura,3379,-37.546062,142.745701,Swimming
131,Ararat Rural City Council,Alexandra Hall,Ararat,3377,-37.281984,142.92884,Table Tennis
132,Ararat Rural City Council,Ararat City Lawn Tennis,Ararat,3377,-37.277621,142.928738,Tennis (Outdoor)
133,Ararat Rural City Council,Buangor Recreation Reserve,Buangor,3375,-37.365352,143.172993,Tennis (Outdoor)
134,Ararat Rural City Council,Cathcart Tennis Club,Cathcart,3377,-37.295351,142.878367,Tennis (Outdoor)
135,Ararat Rural City Council,Elmhurst Recreation Reserve,Elmhurst,3469,-37.183506,143.243133,Tennis (Outdoor)
136,Ararat Rural City Council,Lake Bolac Recreation Reserve,Lake Bolac,3351,-37.718696,142.842711,Tennis (Outdoor)
137,Ararat Rural City Council,Maroona Recreation Reserve,Maroona,3377,-37.439012,142.860913,Tennis (Outdoor)
138,Ararat Rural City Council,Mininera Recreation Reserve,Mininera,3351,-37.602218,142.963743,Tennis (Outdoor)
139,Ararat Rural City Council,Moyston Recreation Reserve,Moyston,3377,-37.299648,142.765968,Tennis (Outdoor)
140,Ararat Rural City Council,Pomonal Recreation Reserve,Pomonal,3381,-37.195245,142.610113,Tennis (Outdoor)
141,Ararat Rural City Council,Streatham Golf Club,Streatham,3351,-37.681405,143.05791,Tennis (Outdoor)
142,Ararat Rural City Council,Tatyoon Recreation Reserve,Tatyoon,3378,-37.52441,142.943444,Tennis (Outdoor)
143,Ararat Rural City Council,Warrak Recreation Reserve,Warrak,3377,-37.255213,143.139315,Tennis (Outdoor)
144,Ararat Rural City Council,Wickliffe Recreation Reserve,Wickliffe,3379,-37.685497,142.722645,Tennis (Outdoor)
145,Ararat Rural City Council,Willaura Recreation Reserve,Willlaura,3379,-37.545101,142.744682,Tennis (Outdoor)
152,Ballarat City Council,Anytime Fitness Ballarat,Ballarat,3350,-37.573219,143.835744,Aerobics
153,Ballarat City Council,Anytime Fitness Mount Clear,Mount Clear,3350,-37.602661,143.867711,Aerobics
154,Ballarat City Council,Ballarat Squash and Raquetball,Wendouree,3355,-37.541994,143.839993,Aerobics
155,Ballarat City Council,Contours Wendouree,Wendouree,3355,-37.54018,143.826133,Aerobics
156,Ballarat City Council,Countours Wendouree,Wendouree,3355,-37.54018,143.826133,Aerobics
157,Ballarat City Council,CrossFit Ballarat,Magpie,3352,-37.63028,143.836995,Aerobics
158,Ballarat City Council,Curves Sebastopol,Sebastopol,3350,-37.587151,143.840496,Aerobics
159,Ballarat City Council,Curves Wendouree,Wendouree,3355,-37.540176,143.826312,Aerobics
160,Ballarat City Council,Fernwood Ballarat,Ballarat,3350,-37.559542,143.858644,Aerobics
161,Ballarat City Council,O'Briens Kickboxing & Boxing Gym,Ballarat North,3350,-37.542919,143.857592,Aerobics
162,Ballarat City Council,On Track Personal Fitness,Ballarat,3350,-37.562484,143.859425,Aerobics
163,Ballarat City Council,Spartans Gym and Supplements,Ballarat North,3350,-37.542901,143.857062,Aerobics
164,Ballarat City Council,Tennis Ballarat,Sebastopol,3356,-37.589433,143.829566,Aerobics
165,Ballarat City Council,UniSports,Mount Helen,3350,-37.625352,143.890766,Aerobics
166,Ballarat City Council,Prince of Wales Park,Ballarat,3350,-37.549886,143.817174,Archery
167,Ballarat City Council,Brown Hill Recreation Reserve,Brown Hill,3350,-37.552298,143.896409,Athletics
168,Ballarat City Council,C E Brown Recreation Reserve,Wendouree,3355,-37.536707,143.842577,Athletics
169,Ballarat City Council,Llanberris Reserve,Ballarat,3350,-37.569035,143.866226,Athletics
170,Ballarat City Council,University of Ballarat Oval,Mount Helen,3350,-37.625006,143.887907,Athletics
171,Ballarat City Council,Alfredton Recreation Reserve,Alfredton,3350,-37.555141,143.799882,Australian Rules Football
172,Ballarat City Council,Ballarat Grammar Oval 2,Wendouree,3355,-37.534015,143.831061,Australian Rules Football
173,Ballarat City Council,Ballarat Secondary College - East Campus,Ballarat East,3350,-37.559416,143.894588,Australian Rules Football
174,Ballarat City Council,Ballarat Secondary College - Wendouree Campus,Wendouree,3355,-37.519558,143.832447,Australian Rules Football
175,Ballarat City Council,Buninyong Recreation Reserve,Buninyong,3357,-37.648825,143.89068,Australian Rules Football
176,Ballarat City Council,C E Brown Recreation Reserve,Wendouree,3355,-37.536707,143.842577,Australian Rules Football
177,Ballarat City Council,City Oval,Ballarat,3350,-37.558181,143.837205,Australian Rules Football
178,Ballarat City Council,Doug Dean Recreation Reserve ,Delacombe,3356,-37.584168,143.816064,Australian Rules Football
179,Ballarat City Council,Eastern Oval,Ballarat,3350,-37.557818,143.863653,Australian Rules Football
180,Ballarat City Council,Eureka Stadium,Ballarat,3350,-37.539132,143.847834,Australian Rules Football
181,Ballarat City Council,Learmonth Recreation Reserve,Learmonth,3352,-37.421732,143.711951,Australian Rules Football
182,Ballarat City Council,Marty Busch Recreation Reserve,Sebastopol,3356,-37.604027,143.843462,Australian Rules Football
183,Ballarat City Council,Mount Clear Recreation Reserve,Mount Clear,3350,-37.606279,143.874694,Australian Rules Football
184,Ballarat City Council,Mount Pleasant Reserve,Mount Pleasant,3350,-37.578352,143.850479,Australian Rules Football
185,Ballarat City Council,Russell Square,Ballarat East,3350,-37.555753,143.883908,Australian Rules Football
186,Ballarat City Council,Western Oval,Ballarat,3350,-37.565202,143.839485,Australian Rules Football
187,Ballarat City Council,White Flat,Ballarat,3350,-37.56872,143.856478,Australian Rules Football
188,Ballarat City Council,Ballarat Ken Kay Badminton Stadium,Wendouree,3355,-37.527544,143.841549,Badminton
189,Ballarat City Council,Prince of Wales Park,Ballarat,3350,-37.549886,143.817174,Baseball
190,Ballarat City Council,Prince of Wales Park,Ballarat,3350,-37.549886,143.817174,Baseball
191,Ballarat City Council,East Ballarat Recreation Centre,Ballarat East,3350,-37.560242,143.892582,Basketball
192,Ballarat City Council,Eastwood Leisure Complex,Ballarat,3350,-37.56538,143.862489,Basketball
193,Ballarat City Council,MARS Minerdome,Wendouree,3355,-37.52842,143.840921,Basketball
194,Ballarat City Council,Wendouree Sports & Events Centre ,Wendouree,3355,-37.535116,143.843576,Basketball
195,Ballarat City Council,Major League Indoor Sports Centre,Ballarat North,3350,-37.542845,143.857234,Beach Volleyball
196,Ballarat City Council,Ballarat Skate Park (Len T Fraser Reserve),Ballarat East,3350,-37.566583,143.868055,BMX
197,Ballarat City Council,C E Brown Recreation Reserve,Wendouree,3355,-37.536707,143.842577,BMX
198,Ballarat City Council,Doug Dean Recreation Reserve ,Delacombe,3356,-37.584168,143.816064,BMX
199,Ballarat City Council,Marty Busch Recreation Reserve,Sebastopol,3356,-37.604027,143.843462,BMX
201,Ballarat City Council,Victoria Park,Ballarat,3350,-37.5636,143.82102,BMX
202,Ballarat City Council,O'Briens Kickboxing & Boxing Gym,Ballarat North,3350,-37.542919,143.857592,Boxing
203,Ballarat City Council,Alfredton Recreation Reserve,Alfredton,3350,-37.555141,143.799882,Cricket
204,Ballarat City Council,Ballarat Grammar Oval 2,Wendouree,3355,-37.534015,143.831061,Cricket
205,Ballarat City Council,Ballarat Grammar Oval 2,Wendouree,3355,-37.534015,143.831061,Cricket
206,Ballarat City Council,Ballarat Secondary College - East Campus,Ballarat East,3350,-37.559416,143.894588,Cricket
207,Ballarat City Council,Ballarat Secondary College - Wendouree Campus,Wendouree,3355,-37.519558,143.832447,Cricket
208,Ballarat City Council,Brown Hill Recreation Reserve,Brown Hill,3350,-37.552298,143.896409,Cricket
209,Ballarat City Council,Buninyong Recreation Reserve,Buninyong,3357,-37.648825,143.89068,Cricket
210,Ballarat City Council,C E Brown Recreation Reserve,Wendouree,3355,-37.536707,143.842577,Cricket
211,Ballarat City Council,C E Brown Recreation Reserve,Wendouree,3355,-37.536707,143.842577,Cricket
212,Ballarat City Council,C E Brown Recreation Reserve,Wendouree,3355,-37.536707,143.842577,Cricket
213,Ballarat City Council,City Oval,Ballarat,3350,-37.558181,143.837205,Cricket
214,Ballarat City Council,Doug Dean Recreation Reserve ,Delacombe,3356,-37.584168,143.816064,Cricket
215,Ballarat City Council,Eastern Oval,Ballarat,3350,-37.557818,143.863653,Cricket
216,Ballarat City Council,Invermay Recreation Reserve,Invermay,3353,-37.523333,143.874412,Cricket
217,Ballarat City Council,Learmonth Recreation Reserve,Learmonth,3352,-37.421732,143.711951,Cricket
218,Ballarat City Council,Marty Busch Recreation Reserve,Sebastopol,3356,-37.604027,143.843462,Cricket
219,Ballarat City Council,Mount Clear Recreation Reserve,Mount Clear,3350,-37.606279,143.874694,Cricket
220,Ballarat City Council,Mount Pleasant Reserve,Mount Pleasant,3350,-37.578352,143.850479,Cricket
221,Ballarat City Council,Russell Square,Ballarat East,3350,-37.555753,143.883908,Cricket
222,Ballarat City Council,Sparrow Ground,Ballarat East,3350,-37.57698,143.884745,Cricket
223,Ballarat City Council,University of Ballarat Oval,Mount Helen,3350,-37.625006,143.887907,Cricket
225,Ballarat City Council,Victoria Park,Ballarat,3350,-37.5636,143.82102,Cricket
226,Ballarat City Council,Wendouree West Recreation Reserve,Wendouree West,3355,-37.525042,143.81885,Cricket
227,Ballarat City Council,Western Oval,Ballarat,3350,-37.565202,143.839485,Cricket
228,Ballarat City Council,White Flat,Ballarat,3350,-37.56872,143.856478,Cricket
229,Ballarat City Council,Major League Indoor Sports Centre,Ballarat North,3350,-37.542845,143.857234,Cricket (Indoor)
230,Ballarat City Council,Ballarat Western Croquet Club,Ballarat,3350,-37.565487,143.839918,Croquet
231,Ballarat City Council,Prince of Wales Park,Ballarat,3350,-37.549886,143.817174,Croquet
236,Ballarat City Council,Marty Busch Recreation Reserve,Sebastopol,3356,-37.604027,143.843462,Cycling
239,Ballarat City Council,Victoria Park,Ballarat,3350,-37.5636,143.82102,Cycling
240,Ballarat City Council,Univeristy of Ballarat Equestrian Centre,Mount Rowan,3352,-37.505685,143.845918,Equestrian
241,Ballarat City Council,Victoria Park,Ballarat,3350,-37.5636,143.82102,Equestrian
242,Ballarat City Council,4U Health and Fitness,Ballarat,3350,-37.546259,143.868684,Fitness / Gymnasium Workouts
243,Ballarat City Council,Anytime Fitness Ballarat,Ballarat,3350,-37.573219,143.835744,Fitness / Gymnasium Workouts
244,Ballarat City Council,Anytime Fitness Mount Clear,Mount Clear,3350,-37.602661,143.867711,Fitness / Gymnasium Workouts
245,Ballarat City Council,Ballarat Aquatic Centre,Ballarat,3350,-37.551132,143.818928,Fitness / Gymnasium Workouts
246,Ballarat City Council,Ballarat Squash and Raquetball,Wendouree,3355,-37.541994,143.839993,Fitness / Gymnasium Workouts
247,Ballarat City Council,Contours Wendouree,Wendouree,3355,-37.54018,143.826133,Fitness / Gymnasium Workouts
248,Ballarat City Council,Countours Wendouree,Wendouree,3355,-37.54018,143.826133,Fitness / Gymnasium Workouts
249,Ballarat City Council,CrossFit Ballarat,Magpie,3352,-37.63028,143.836995,Fitness / Gymnasium Workouts
250,Ballarat City Council,Curves Sebastopol,Sebastopol,3350,-37.587151,143.840496,Fitness / Gymnasium Workouts
251,Ballarat City Council,Curves Wendouree,Wendouree,3355,-37.540176,143.826312,Fitness / Gymnasium Workouts
252,Ballarat City Council,Fernwood Ballarat,Ballarat,3350,-37.559542,143.858644,Fitness / Gymnasium Workouts
253,Ballarat City Council,O'Briens Kickboxing & Boxing Gym,Ballarat North,3350,-37.542919,143.857592,Fitness / Gymnasium Workouts
254,Ballarat City Council,On Track Personal Fitness,Ballarat,3350,-37.562484,143.859425,Fitness / Gymnasium Workouts
255,Ballarat City Council,Spartans Gym and Supplements,Ballarat North,3350,-37.542901,143.857062,Fitness / Gymnasium Workouts
256,Ballarat City Council,Tennis Ballarat,Sebastopol,3356,-37.589433,143.829566,Fitness / Gymnasium Workouts
257,Ballarat City Council,UniSports,Mount Helen,3350,-37.625352,143.890766,Fitness / Gymnasium Workouts
258,Ballarat City Council,Ballarat Golf Course,Ballarat,3350,-37.550372,143.81141,Golf
259,Ballarat City Council,Buninyong Golf Course,Buninyong,3357,-37.649037,143.875501,Golf
260,Ballarat City Council,Midlands Golf Course,Ballarat,3350,-37.527874,143.856983,Golf
261,Ballarat City Council,Mount Xavier Golf Course,Ballarat,3350,-37.562836,143.903691,Golf
262,Ballarat City Council,Ballarat Aquatic Centre,Ballarat,3350,-37.551132,143.818928,Gymnastics
263,Ballarat City Council,Prince of Wales Park,Ballarat,3350,-37.549886,143.817174,Hockey
264,Ballarat City Council,Eastwood Leisure Complex,Ballarat,3350,-37.56538,143.862489,Karate
265,Ballarat City Council,Sebastopol Squash and Raquetball,Sebastopol,3356,-37.593172,143.839209,Karate
266,Ballarat City Council,Ballarat Bowling Club,Ballarat,3350,-37.556997,143.863806,Lawn Bowls
267,Ballarat City Council,Ballarat East Bowling Club,Ballarat,3350,-37.572992,143.861682,Lawn Bowls
268,Ballarat City Council,Ballarat Memorial Bowling Club,Alfredton,3350,-37.554258,143.800463,Lawn Bowls
269,Ballarat City Council,Ballarat North Bowling Club,Ballarat,3350,-37.545093,143.858595,Lawn Bowls
270,Ballarat City Council,Buninyong Bowling Club,Buninyong,3357,-37.652787,143.885981,Lawn Bowls
271,Ballarat City Council,Central Wendouree Bowling Club,Wendouree,3355,-37.542495,143.835769,Lawn Bowls
272,Ballarat City Council,Central Wendouree Bowling Club,Wendouree,3355,-37.542495,143.835769,Lawn Bowls
273,Ballarat City Council,City Bowling Club,Ballarat,3350,-37.5646,143.839889,Lawn Bowls
274,Ballarat City Council,City Bowling Club,Ballarat,3350,-37.5646,143.839889,Lawn Bowls
275,Ballarat City Council,City Oval Bowling Club,Ballarat,3350,-37.559138,143.837172,Lawn Bowls
276,Ballarat City Council,Invermay Bowling Club,Invermay,3353,-37.522275,143.873281,Lawn Bowls
277,Ballarat City Council,Learmonth Bowling Club,Learmonth,3352,-37.42342,143.714907,Lawn Bowls
278,Ballarat City Council,Midlands Golf Course,Ballarat,3350,-37.527874,143.856983,Lawn Bowls
279,Ballarat City Council,Mount Xavier Golf Course,Ballarat,3350,-37.562836,143.903691,Lawn Bowls
280,Ballarat City Council,Sebastopol Bowling Club,Sebastopol,3356,-37.60027,143.842116,Lawn Bowls
281,Ballarat City Council,Sebastopol Bowling Club,Sebastopol,3356,-37.60027,143.842116,Lawn Bowls
282,Ballarat City Council,Victoria Bowling Club,Ballarat,3350,-37.558452,143.882306,Lawn Bowls
283,Ballarat City Council,Victoria Bowling Club,Ballarat,3350,-37.558452,143.882306,Lawn Bowls
284,Ballarat City Council,Webbcona Bowling Club,Wendouree,3355,-37.528303,143.840312,Lawn Bowls
286,Ballarat City Council,Alfredton Recreation Reserve,Alfredton,3350,-37.555141,143.799882,Netball
287,Ballarat City Council,Buninyong Recreation Reserve,Buninyong,3357,-37.648825,143.89068,Netball
288,Ballarat City Council,C E Brown Recreation Reserve,Wendouree,3355,-37.536707,143.842577,Netball
289,Ballarat City Council,City Oval,Ballarat,3350,-37.558181,143.837205,Netball
290,Ballarat City Council,East Ballarat Recreation Centre,Ballarat East,3350,-37.560242,143.892582,Netball
291,Ballarat City Council,Eureka Stadium,Ballarat,3350,-37.539132,143.847834,Netball
292,Ballarat City Council,Learmonth Recreation Reserve,Learmonth,3352,-37.421732,143.711951,Netball
293,Ballarat City Council,Llanberris Netball Centre,Ballarat,3350,-37.567872,143.866464,Netball
294,Ballarat City Council,Marty Busch Recreation Reserve,Sebastopol,3356,-37.604027,143.843462,Netball
295,Ballarat City Council,Mount Clear Recreation Reserve,Mount Clear,3350,-37.606279,143.874694,Netball
296,Ballarat City Council,Llanberris Netball Centre,Ballarat,3350,-37.567872,143.866464,Netball (Indoor)
297,Ballarat City Council,Major League Indoor Sports Centre,Ballarat North,3350,-37.542845,143.857234,Netball (Indoor)
