,LGA Name,Facility Name,Suburb/Town,Pcode,Latitude,Longitude,Sports Played
6,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Aerobics
7,Alpine Shire Council ,Mount Beauty recreation Reserve,Mount Beauty,3699,-36.739256,147.172162,Athletics
8,Alpine Shire Council ,Dederang Recreation reserve,Dederang,3691,-36.475264,147.020525,Australian Rules Football
9,Alpine Shire Council ,Mount Beauty recreation Reserve,Mount Beauty,3699,-36.739256,147.172162,Australian Rules Football
10,Alpine Shire Council,Pioneer Park Recreation Reserve,Bright,3741,-36.737199,146.973353,Australian Rules Football
11,Alpine Shire Council ,RC McNamara Reserve,Myrtleford,3737,-36.567524,146.723777,Australian Rules Football
12,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Badminton
13,Alpine Shire Council ,Porepunkah Recreation Reserve,Porepunkah,3740,-36.698109,146.910729,Baseball
14,Alpine Shire Council ,Bright Community Sports Stadium,Bright,3741,-36.733294,146.963623,Basketball
15,Alpine Shire Council ,Mount Beauty Pool & Stadium,Mount Beauty,3699,-36.740988,147.168502,Basketball
16,Alpine Shire Council ,Myrtleford Indoor Sports Complex,Myrtleford,3737,-36.552593,146.725872,Basketball
17,Alpine Shire Council ,Mount Beauty recreation Reserve,Mount Beauty,3699,-36.739256,147.172162,BMX
18,Alpine Shire Council ,Myrtleford Savoy Sports Club,Myrtleford,3737,-36.553518,146.715794,Bocce
19,Alpine Shire Council ,Alpine Park Wandiligong,Wandiligong,3744,-36.765294,146.977687,Cricket
20,Alpine Shire Council ,Bright p-12 College,Bright,3741,-36.733701,146.962508,Cricket
21,Alpine Shire Council ,Dederang Recreation reserve,Dederang,3691,-36.475264,147.020525,Cricket
22,Alpine Shire Council ,Gapsted Recreation reserve,Gapsted,3737,-36.505019,146.676961,Cricket
23,Alpine Shire Council ,Harrietville Recreation reserve,Harrietville,3741,-36.895455,147.059682,Cricket
24,Alpine Shire Council ,Marian College,Myrtleford,3737,-36.552593,146.725872,Cricket
25,Alpine Shire Council ,Memorial Park,Myrtleford,3737,-36.555836,146.723887,Cricket
26,Alpine Shire Council ,Mount Beauty recreation Reserve,Mount Beauty,3699,-36.739256,147.172162,Cricket
