,School_Name,Address_Line_1,Address_Town,Address_Postcode,LGA_ID,LGA_Name,X,Y
79,Woodford Primary School,8 Victoria Street,Woodford,3281,673,Warrnambool (C),142.484504,-38.316807
80,Werribee Primary School,2 Deutgam Street,Werribee,3030,726,Wyndham (C),144.658736,-37.906865
81,Winters Flat Primary School,3 Roberts Avenue,Castlemaine,3450,543,Mount Alexander (S),144.207491,-37.070164
82,Wooragee Primary School,1011 Beechworth-Wodonga Road,Wooragee,3747,335,Indigo (S),146.730883,-36.29048
83,Wallan Primary School,46-48 Queen Street,Wallan,3756,485,Mitchell (S),144.975036,-37.411465
84,Woolsthorpe Primary School,12 Manifold Street,Woolsthorpe,3276,549,Moyne (S),142.4317633,-38.18741399
85,Yandoit Primary School,74 High Street,Yandoit,3461,291,Hepburn (S),144.0884407,-37.21400151
86,Yarram Primary School,2-14 Wesley Street,Yarram,3971,681,Wellington (S),146.675323,-38.558532
87,Pleasant Street Primary School (Ballarat),101 Pleasant St North,Lake Wendouree,3350,57,Ballarat (C),143.838497,-37.556332
88,Yea Primary School,23 Station Street,Yea,3717,562,Murrindindi (S),145.428298,-37.212727
89,Lancefield Primary School,80 High Street,Lancefield,3435,413,Macedon Ranges (S),144.726424,-37.27495358
90,Coimadai Primary School,86 Bennetts Lane,Coimadai,3340,515,Moorabool (S),144.478308,-37.6137926
91,Birregurra Primary School,58 Beal Street,Birregurra,3242,175,Colac-Otway (S),143.78651,-38.340457
92,Clayton North Primary School,1714 Dandenong Road,Clayton,3168,497,Monash (C),145.122666,-37.911944
93,Milawa Primary School,133 Milawa-Bobinawarrah Road,Milawa,3678,670,Wangaratta (RC),146.432484,-36.444544
94,Lockwood Primary School,190 Wiegards Road,Lockwood,3551,262,Greater Bendigo (C),144.161558,-36.802579
95,Bealiba Primary School,9 Grant Street,Bealiba,3475,167,Central Goldfields (S),143.551897,-36.789942
96,Bairnsdale Primary School,330 - 370 Main Street,Bairnsdale,3875,211,East Gippsland (S),147.6232285,-37.82742322
97,Gordon Primary School,1 Dicker Street,Gordon,3345,515,Moorabool (S),144.105053,-37.58384869
98,Hepburn Primary School,156 Main Road,Hepburn,3461,291,Hepburn (S),144.1327626,-37.30971525
99,Lara Lake Primary School,89 Forest Road South,Lara Lake,3212,275,Greater Geelong (C),144.395642,-38.030405
100,Rosedale Primary School,1-23 Cricket Street,Rosedale,3847,681,Wellington (S),146.7739049,-38.15460171
101,Bright P-12 College,46 Bakers Gully Road,Bright,3741,11,Alpine (S),146.960928,-36.733105
102,Rochester Primary School,2 George Street,Rochester,3561,137,Campaspe (S),144.6979959,-36.35459709
103,Ararat Primary School,70 - 78 Moore Street,Ararat,3377,26,Ararat (RC),142.937307,-37.285942
104,Jamieson Primary School,1 The Sideling,Jamieson,3723,425,Mansfield (S),146.139999,-37.301263
105,Preston South Primary School,56B Hotham Street,Preston,3072,189,Darebin (C),145.007447,-37.747867
106,Omeo Primary School,167 Day Avenue,Omeo,3898,211,East Gippsland (S),147.593082,-37.100217
107,Harrietville Primary School,165 Great Alpine Road,Harrietville,3741,11,Alpine (S),147.064936,-36.887713
108,Mordialloc Beach Primary School,58 Barkly Street,Mordialloc,3195,343,Kingston (C),145.088809,-38.005582
109,Healesville Primary School,2 View Street,Healesville,3777,745,Yarra Ranges (S),145.5160425,-37.65713287
110,Lake Bolac College,90 Montgomery Street,Lake Bolac,3351,26,Ararat (RC),142.837903,-37.720241
111,Toongabbie Primary School,Victoria Street,Toongabbie,3856,381,Latrobe (C),146.625183,-38.056967
112,Waubra Primary School,2110 Sunraysia Highway,Waubra,3352,599,Pyrenees (S),143.634455,-37.353836
113,Great Western Primary School,Stephenson Street,Great Western,3374,581,Northern Grampians (S),142.85173,-37.148513
114,Maffra Primary School,22-28 Church Street,Maffra,3860,681,Wellington (S),146.97677,-37.964002
115,Broken Creek Primary School,413 Quinn Road,Broken Creek,3673,101,Benalla (RC),145.889232,-36.423279
116,Lal Lal Primary School,12 Vaughan Street,Lal Lal,3352,515,Moorabool (S),144.010707,-37.676724
117,Cobden Primary School,Silvester Street,Cobden,3266,183,Corangamite (S),143.078121,-38.327119
118,St Leonards Primary School,1341 Murradoc Road,St Leonards,3223,275,Greater Geelong (C),144.714754,-38.171835
119,Lilydale Primary School,63 - 65 Castella Street,Lilydale,3140,745,Yarra Ranges (S),145.3540681,-37.75367357
120,Bendigo Primary School,Old Violet Street,Bendigo,3550,262,Greater Bendigo (C),144.265244,-36.757017
121,Darraweit Guim Primary School,2 Darraweit Valley Road,Darraweit Guim,3756,413,Macedon Ranges (S),144.8935664,-37.4010281
122,Linton Primary School,28 Adair Street,Linton,3360,249,Golden Plains (S),143.5613088,-37.68406827
123,Invermay Primary School,187 Swinglers Road,Invermay,3352,57,Ballarat (C),143.874583,-37.520527
124,Mitta Mitta Primary School,27 Giltrap Road,Mitta Mitta,3701,667,Towong (S),147.379483,-36.533414
125,Camberwell Primary School,290 Camberwell Road,Camberwell,3124,111,Boroondara (C),145.058048,-37.832684
126,Greenvale Primary School,12-24 Bradford Avenue,Greenvale,3059,327,Hume (C),144.886181,-37.639828
127,Alexandra Primary School,15 Webster Street,Alexandra,3714,562,Murrindindi (S),145.711704,-37.192568
128,Rockbank Primary School,97-105 Westcott Parade,Rockbank,3335,465,Melton (C),144.661899,-37.732147
129,Bannockburn P-12 College,139 Milton Street,Bannockburn,3331,249,Golden Plains (S),144.160668,-38.042004
130,Doreen Primary School,75 Doctors Gully Road,Doreen,3754,571,Nillumbik (S),145.145539,-37.60601
131,Talbot Primary School,2 Rowe Street,Talbot,3371,167,Central Goldfields (S),143.703604,-37.16865
132,Yarra Glen Primary School,35 Symonds Street,Yarra Glen,3775,745,Yarra Ranges (S),145.372413,-37.649705
133,Elmhurst Primary School,48 Byerly Street,Elmhurst,3469,26,Ararat (RC),143.250208,-37.178015
134,Kangaroo Flat Primary School,60-80 Olympic Parade,Kangaroo Flat,3555,262,Greater Bendigo (C),144.234086,-36.787683
135,Westmeadows Primary School,34-46 Riddell Street,Westmeadows,3049,327,Hume (C),144.895697,-37.675649
136,Sunbury Primary School,41 The Heights,Sunbury,3429,327,Hume (C),144.728144,-37.597687
137,Diamond Creek Primary School,17 Clyde Street,Diamond Creek,3089,571,Nillumbik (S),145.1516539,-37.67184929
138,Hesket Primary School,800 Romsey Road,Hesket,3442,413,Macedon Ranges (S),144.6197775,-37.34780909
139,Axedale Primary School,81 High Street,Axedale,3551,262,Greater Bendigo (C),144.50146,-36.786228
140,Vermont Primary School,4-10 Nurlendi Road,Vermont,3133,698,Whitehorse (C),145.194296,-37.837359
141,Tarnagulla Primary School,51 Stanley Street,Tarnagulla,3551,394,Loddon (S),143.828403,-36.771263
142,Balwyn Primary School,86B Balwyn Road,Balwyn,3103,111,Boroondara (C),145.081378,-37.813938
143,Scoresby Primary School,11 Ingrid Street,Scoresby,3179,367,Knox (C),145.227501,-37.89395
144,Carisbrook Primary School,2  Camp Street,Carisbrook,3464,167,Central Goldfields (S),143.812657,-37.052061
145,Wandin Yallock Primary School,105 Beenak Road,Wandin North,3139,745,Yarra Ranges (S),145.43595,-37.790251
146,Yering Primary School,22-24 Melba Highway,Yering,3770,745,Yarra Ranges (S),145.3822185,-37.7053494
147,Dartmoor Primary School,76 Greenham Street,Dartmoor,3304,241,Glenelg (S),141.276732,-37.923017
148,Mickleham Primary School,1880 Mickleham Road,Mickleham,3064,327,Hume (C),144.876546,-37.563495
149,Inglewood Primary School,77 Sullivan Street,Inglewood,3517,394,Loddon (S),143.870446,-36.573945
150,Chewton Primary School,1 Hunter Street,Chewton,3451,543,Mount Alexander (S),144.261164,-37.082327
151,Bolinda Primary School,1 Mullalys Road,Bolinda,3432,413,Macedon Ranges (S),144.7454039,-37.43373498
152,Napoleons Primary School,4721 Colac-Ballarat Road,Napoleons,3352,249,Golden Plains (S),143.826459,-37.67862938
153,Kew Primary School,Peel Street,Kew,3101,111,Boroondara (C),145.033386,-37.803639
154,Haddon Primary School,398 Sago Hill Road,Haddon,3351,249,Golden Plains (S),143.7217144,-37.58863962
155,Panmure Primary School,8759 Princes Highway,Panmure,3265,549,Moyne (S),142.732528,-38.32935021
156,Sorrento Primary School,32 Kerferd Avenue,Sorrento,3943,534,Mornington Peninsula (S),144.740685,-38.341482
157,Alfredton Primary School,89a Cuthberts Road,Alfredton,3350,57,Ballarat (C),143.802104,-37.554797
158,Bridgewater Primary School,34 - 44 Eldon Street,Bridgewater On Loddon,3516,394,Loddon (S),143.945917,-36.603101
159,Hastings Primary School,10 - 20 Hodgins Road,Hastings,3915,534,Mornington Peninsula (S),145.189474,-38.299696
160,Yackandandah Primary School,39 High Street,Yackandandah,3749,335,Indigo (S),146.836458,-36.312095
161,Nagambie Primary School,31 Goulburn Street,Nagambie,3608,643,Strathbogie (S),145.157226,-36.787589
162,Heyfield Primary School,22 Temple Street,Heyfield,3858,681,Wellington (S),146.784936,-37.982114
163,Moorabbin Primary School,61 Worthing Road,Moorabbin,3189,343,Kingston (C),145.039587,-37.94202
164,Mansfield Primary School,4 Apollo Street,Mansfield,3722,425,Mansfield (S),146.084825,-37.055591
165,Middle Indigo Primary School,710 Indigo Creek Road,Indigo Valley,3688,335,Indigo (S),146.72484,-36.156013
166,Briagolong Primary School,2 Church Street,Briagolong,3860,681,Wellington (S),147.067843,-37.842801
167,Lindenow Primary School,140 Henry Street,Lindenow,3865,211,East Gippsland (S),147.453266,-37.800879
168,Broadford Primary School,17-23 Powlett Street,Broadford,3658,485,Mitchell (S),145.046301,-37.20257
169,Murchison Primary School,8 - 10 Impey Street,Murchison,3610,283,Greater Shepparton (C),145.214287,-36.61718
170,Panton Hill Primary School,585 Kangaroo Grd-St Andrews Rd,Panton Hill,3759,571,Nillumbik (S),145.2395564,-37.64160566
171,Glen Park Primary School,265 Ralstons Road,Glen Park,3352,515,Moorabool (S),143.934795,-37.524779
172,Concongella Primary School,61 Concongella School Road,CONCONGELLA,3384,581,Northern Grampians (S),142.822316,-37.049558
173,Bruthen Primary School,31 Great Alpine Road,Bruthen,3885,211,East Gippsland (S),147.833492,-37.704214
174,Swan Hill Primary School,123 Gray Street,Swan Hill,3585,661,Swan Hill (RC),143.54325,-35.346911
175,Porepunkah Primary School,2 Martley Street,Porepunkah,3740,11,Alpine (S),146.911022,-36.699486
176,Leopold Primary School,1 Kensington Road,Leopold,3224,275,Greater Geelong (C),144.464367,-38.187261
177,Inverleigh Primary School,54 High Street,Inverleigh,3321,249,Golden Plains (S),144.0546877,-38.10094228
178,Glen Iris Primary School,170 Glen Iris Road,Glen Iris,3146,111,Boroondara (C),145.065894,-37.860483
179,Trawalla Primary School,11 Trawalla Road,Trawalla,3373,599,Pyrenees (S),143.469859,-37.437731
180,Quarry Hill Primary School,25 Peel Street,Quarry Hill,3550,262,Greater Bendigo (C),144.279976,-36.775117
181,Sebastopol Primary School,9 Warreen Street,Sebastopol,3356,57,Ballarat (C),143.844719,-37.59643401
182,Woodside Primary School,39-41 Prince St,Woodside,3874,681,Wellington (S),146.876739,-38.526332
183,Noorat Primary School,MacKinnon's Bridge Road,Noorat,3265,183,Corangamite (S),142.928735,-38.190751
184,Albert Park Primary School,Bridport Street,Albert Park,3206,590,Port Phillip (C),144.952766,-37.841884
185,Williamstown Primary School,Cnr. Electra & Parker Street,Williamstown,3016,311,Hobsons Bay (C),144.900409,-37.863798
186,Boneo Primary School,582 Boneo Road,Boneo,3939,534,Mornington Peninsula (S),144.887285,-38.41187
187,Queenscliff Primary School,Cnr Stokes & Stevens Street,Queenscliff,3225,608,Queenscliffe (B),144.656211,-38.267224
188,Portland North Primary School,42 School Road,Portland North,3305,241,Glenelg (S),141.572331,-38.317639
189,Timor Primary School,395 Bet Bet Creek Road,Timor,3465,167,Central Goldfields (S),143.711987,-36.984224
190,Apsley Primary School,46 Laidlaw Street,Apsley,3319,689,West Wimmera (S),141.082487,-36.973706
191,Strathfieldsaye Primary School,9 Uxbridge Street,Strathfieldsaye,3551,262,Greater Bendigo (C),144.352908,-36.804355
192,Skye Primary School,395 Ballarto Road,Skye,3977,217,Frankston (C),145.201245,-38.117707
193,Tooborac Primary School,5185 Northern Highway,Tooborac,3522,485,Mitchell (S),144.798145,-37.039779
194,Lucknow Primary School,35 Howitt Avenue,Eastwood,3875,211,East Gippsland (S),147.630748,-37.812667
195,Upper Plenty Primary School,10 Clarkes Road,Upper Plenty,3756,485,Mitchell (S),145.057874,-37.423711
196,Carlton North Primary School,60 Lee Street,Carlton North,3054,735,Yarra (C),144.973028,-37.791064
197,Maldon Primary School,109 High Street,Maldon,3463,543,Mount Alexander (S),144.065814,-36.995039
198,Woori Yallock Primary School,1360 Healesville Road,Woori Yallock,3139,745,Yarra Ranges (S),145.5326881,-37.77737209
199,Moyston Primary School,1349 Ararat-Halls Gap Road,Moyston,3377,26,Ararat (RC),142.76785,-37.301664
200,Buninyong Primary School,202 Simpson Street,Buninyong,3357,57,Ballarat (C),143.886252,-37.654229
201,Marysville Primary School,15 Falls Road,Marysville,3779,562,Murrindindi (S),145.748939,-37.511982
202,Langley Primary School,Crn Kyneton/Heathcote & Parsells Rd,Langley,3444,543,Mount Alexander (S),144.489657,-37.17118
203,Wandong Primary School,39-51 Rail Street,Wandong,3758,485,Mitchell (S),145.027861,-37.360304
204,Cowes Primary School,177 Settlement Road,Cowes,3922,74,Bass Coast (S),145.241315,-38.456278
205,Bullarto Primary School,131 Bullarto South Road,Bullarto,3461,291,Hepburn (S),144.218221,-37.405379
206,Lismore Primary School,77 William Street,Lismore,3324,183,Corangamite (S),143.3392983,-37.95459656
207,Lower Plenty Primary School,126-146 Main Road,Lower Plenty,3093,66,Banyule (C),145.115498,-37.726172
208,Specimen Hill Primary School,Inglewood Street,Golden Square,3555,262,Greater Bendigo (C),144.248335,-36.761874
209,Bolwarra Primary School,249 Princes Highway,Bolwarra,3305,241,Glenelg (S),141.613797,-38.281613
210,Navarre Primary School,High Street,Navarre,3384,581,Northern Grampians (S),143.111337,-36.900737
211,Warracknabeal Primary School,5 Werrigar Street,Warracknabeal,3393,763,Yarriambiack (S),142.391263,-36.257875
212,Moyhu Primary School,2799 Wangaratta-Whitfield Road,Moyhu,3732,670,Wangaratta (RC),146.383087,-36.593173
213,Natte Yallock Primary School,10 School Road,Natte Yallock,3465,599,Pyrenees (S),143.468003,-36.942129
214,Clifton Hill Primary School,185 Gold St,Clifton Hill,3068,735,Yarra (C),144.989245,-37.792308
215,Christmas Hills Primary School,1409 Eltham-yarra Glen Road,Christmas Hills,3775,571,Nillumbik (S),145.304199,-37.653515
216,Tallangatta Primary School,1 Wonga Grove,Tallangatta,3700,667,Towong (S),147.1741969,-36.21479715
217,Kialla Central Primary School,128 Central Kialla Road,Kialla,3631,283,Greater Shepparton (C),145.431154,-36.452703
218,Mount Eliza Primary School,Wooralla Drive,Mount Eliza,3930,534,Mornington Peninsula (S),145.092187,-38.195387
219,San Remo Primary School,22 Bergin Grove,San Remo,3925,74,Bass Coast (S),145.369453,-38.523852
220,Dimboola Primary School,Hindmarsh Street,Dimboola,3414,298,Hindmarsh (S),142.030403,-36.453364
221,Whorouly Primary School,18 Church Street,Whorouly,3735,670,Wangaratta (RC),146.586653,-36.505442
222,Merrijig Primary School,1820 Mount Buller Road,Merrijig,3723,425,Mansfield (S),146.25688,-37.102798
223,Lethbridge Primary School,2 Stephenson Street,Lethbridge,3332,249,Golden Plains (S),144.134564,-37.969062
224,Oxley Primary School,1050 Wangaratta-Whitfield Road,Oxley,3678,670,Wangaratta (RC),146.360637,-36.441561
225,Northcote Primary School,33 Helen Street,Northcote,3070,189,Darebin (C),144.99688,-37.771758
226,North Melbourne Primary School,210 Errol Street,North Melbourne,3051,460,Melbourne (C),144.950637,-37.798733
227,Dandenong Primary School,174-182 Foster Street,Dandenong,3175,267,Greater Dandenong (C),145.219821,-37.987917
228,Malmsbury Primary School,28 Cameron Street,Malmsbury,3446,413,Macedon Ranges (S),144.3869427,-37.187315
229,Williamstown North Primary School,133 Melbourne Road,Williamstown,3016,311,Hobsons Bay (C),144.891757,-37.855902
230,Kerang Primary School,75 - 79 Victoria Street,Kerang,3579,225,Gannawarra (S),143.921138,-35.731693
231,Drouin West Primary School,535 Main Neerim Road,Drouin West,3818,83,Baw Baw (S),145.871719,-38.087115
232,Meredith Primary School,5 Wallace Street,Meredith,3333,249,Golden Plains (S),144.0778091,-37.84271017
233,Edi Upper Primary School,832 Edi-Cheshunt Road,Edi Upper,3678,670,Wangaratta (RC),146.448811,-36.706471
234,Eaglehawk North Primary School,1-9 Bendigo-Pyramid Road,Eaglehawk,3556,262,Greater Bendigo (C),144.237269,-36.707066
235,Mooroopna Primary School,16-18 O'Brien Street,Mooroopna,3629,283,Greater Shepparton (C),145.360292,-36.391363
236,Cairnlea Park Primary School,49 Carmody Drive,Cairnlea,3023,118,Brimbank (C),144.787998,-37.758855
237,Ballan Primary School,8-14 Duncan Street,Ballan,3342,515,Moorabool (S),144.2311016,-37.60168009
238,Mount Pleasant Primary School,401 Cobden Street,Ballarat,3350,57,Ballarat (C),143.857806,-37.578357
239,Tatura Primary School,28-40 Albert Street,Tatura,3616,283,Greater Shepparton (C),145.229923,-36.444966
240,Toolamba Primary School,69-77 Wren Street,Toolamba,3614,283,Greater Shepparton (C),145.344182,-36.490521
241,Harston Primary School,155 Harston Road,Tatura,3616,283,Greater Shepparton (C),145.141754,-36.469859
242,Osbornes Flat Primary School,354 Osbornes Flat Road,Osbornes Flat,3691,335,Indigo (S),146.892571,-36.31716
243,Frankston Primary School,Davey Street,Frankston,3199,217,Frankston (C),145.1240309,-38.14755735
244,Donald Primary School,2B Walker Street,Donald,3480,127,Buloke (S),142.984628,-36.367208
245,Beveridge Primary School,Arrowsmith Street,Beveridge,3753,485,Mitchell (S),144.977755,-37.472062
246,St Kilda Primary School,2B Brighton Road,St Kilda,3182,590,Port Phillip (C),144.989019,-37.870223
247,Cape Clear Primary School,1539 Scarsdale-pitfield Road,Cape Clear,3351,249,Golden Plains (S),143.6082053,-37.79195536
248,Warburton Primary School,16 Horners Road,Warburton,3799,745,Yarra Ranges (S),145.7017044,-37.75580451
249,Tallarook Primary School,52 Main Road,Tallarook,3659,485,Mitchell (S),145.10067,-37.096764
250,Barnawartha Primary School,11-17 Stanely Street,Barnawartha,3688,335,Indigo (S),146.675889,-36.101309
251,Fitzroy North Primary School,3 Fergie Street,Fitzroy North,3068,735,Yarra (C),144.984149,-37.78502
252,Ashby Primary School,1-7 Waratah Street,Geelong West,3218,275,Greater Geelong (C),144.347098,-38.138556
253,Preston Primary School,240 Tyler Street,Preston,3072,189,Darebin (C),145.01031,-37.730548
254,Tooradin Primary School,Bayview Road,Tooradin,3980,161,Casey (C),145.378493,-38.207631
255,Glenferrie Primary School,78 - 98 Manningtree Road,Hawthorn,3122,111,Boroondara (C),145.033974,-37.824048
256,Elmore Primary School,36 Michie Street,Elmore,3558,262,Greater Bendigo (C),144.608912,-36.497198
257,Dookie Primary School,Baldock Street,Dookie,3646,283,Greater Shepparton (C),145.682794,-36.331067
258,Brighton Primary School,59 Wilson Street,Brighton,3186,91,Bayside (C),145.001077,-37.912211
259,Natimuk Primary School,38 Old Noradjuha Road,Natimuk,3409,319,Horsham (RC),141.950496,-36.741235
