,School_Name,Address_Line_1,Address_Town,Address_Postcode,LGA_ID,LGA_Name,X,Y
0,Alberton Primary School,21 Thomson Street,Alberton,3971,681,Wellington (S),146.666601,-38.617713
1,Allansford and District Primary School,Frank Street,Allansford,3277,673,Warrnambool (C),142.590393,-38.386281
2,Avoca Primary School,118 Barnett Street,Avoca,3467,599,Pyrenees (S),143.475649,-37.084502
3,Avenel Primary School,40 Anderson Street,Avenel,3664,643,Strathbogie (S),145.234722,-36.901368
4,Warrandyte Primary School,5-11 Forbes Street,Warrandyte,3113,421,Manningham (C),145.21398,-37.742675
5,Belmont Primary School,51 Mt Pleasant Road,Belmont,3216,275,Greater Geelong (C),144.342099,-38.170672
6,Bacchus Marsh Primary School,56-62 Lerderderg Street,Bacchus Marsh,3340,515,Moorabool (S),144.4431207,-37.67302961
7,Ballarat Primary School (Dana Street),401 Dana Street,Ballarat,3350,57,Ballarat (C),143.853936,-37.56401278
8,Wodonga Primary School,Brockley Street,Wodonga,3690,717,Wodonga (C),146.88982,-36.129214
9,Berwick Primary School,37 Fairholme Boulevard,Berwick,3806,161,Casey (C),145.354417,-38.044094
10,Beaufort Primary School,2/37 Park Road,Beaufort,3373,599,Pyrenees (S),143.3817175,-37.43852098
11,Cheltenham Primary School,231 Charman Road,Cheltenham,3192,91,Bayside (C),145.054635,-37.968608
12,Cudgee Primary School,3 Hallowells Road,Cudgee,3265,549,Moyne (S),142.650844,-38.347938
13,Newport Lakes Primary School,Elizabeth Street,Newport,3015,311,Hobsons Bay (C),144.878345,-37.838424
14,Cavendish Primary School,8-10 Barker Street,Cavendish,3314,626,Southern Grampians (S),142.039893,-37.53087
15,Colac Primary School,53-65 Murray Street East,Colac,3250,175,Colac-Otway (S),143.598336,-38.337224
16,Castlemaine Primary School,Cnr Mostyn & Urquhart Street,Castlemaine,3450,543,Mount Alexander (S),144.222329,-37.066595
17,Campbells Creek Primary School,Main Road,Campbells Creek,3451,543,Mount Alexander (S),144.204662,-37.092935
18,Creswick Primary School,67 Napier Street,Creswick,3363,291,Hepburn (S),143.8915581,-37.42411355
19,California Gully Primary School,4-14 Staley Street,California Gully,3556,262,Greater Bendigo (C),144.249857,-36.733207
20,St Andrews Primary School,Caledonia Street,St Andrews,3761,571,Nillumbik (S),145.269827,-37.602316
21,Warrnambool West Primary School,35 Hoddle Street,Warrnambool,3280,673,Warrnambool (C),142.466796,-38.366338
22,Dromana Primary School,Mcculloch Street,Dromana,3936,534,Mornington Peninsula (S),144.959653,-38.339644
23,Doncaster Primary School,2 - 12 Council Street,Doncaster,3108,421,Manningham (C),145.129673,-37.786804
24,Echuca Primary School,413-431 High Street,Echuca,3564,137,Campaspe (S),144.747463,-36.128198
25,Eltham Primary School,Dalton Street,Eltham,3095,571,Nillumbik (S),145.1478042,-37.72498353
26,Eaglehawk Primary School,Church St,Eaglehawk,3556,262,Greater Bendigo (C),144.254259,-36.720583
27,Elphinstone Primary School,26 Wright Street,Elphinstone,3448,543,Mount Alexander (S),144.3329025,-37.10500363
28,Hallam Primary School,24 Harmer Road,Hallam,3803,161,Casey (C),145.258244,-38.001759
29,Flemington Primary School,Cnr Mt Alexander Rd & Padman Lane,Flemington,3031,506,Moonee Valley (C),144.933923,-37.780674
30,Footscray Primary School,Cnr Geelong Road & Barkly St,Footscray,3011,433,Maribyrnong (C),144.892669,-37.798383
31,Gisborne Primary School,35 Fisher Street,Gisborne,3437,413,Macedon Ranges (S),144.5884416,-37.4908591
32,Sandringham Primary School,17 Lansell Avenue,Sandringham,3191,91,Bayside (C),145.02342,-37.951358
33,Wandiligong Primary School,119 School Road,Wandiligong,3744,11,Alpine (S),146.982923,-36.768862
34,Grovedale Primary School,143 Bailey Street,Grovedale,3216,275,Greater Geelong (C),144.347756,-38.197643
35,Hawthorn West Primary School,Cnr Wood Street & Burwood Road,Hawthorn,3122,111,Boroondara (C),145.018377,-37.820112
36,Heidelberg Primary School,120 Cape Street,Heidelberg,3084,66,Banyule (C),145.067799,-37.754705
37,Hamilton (Gray Street) Primary School,42 Gray Street,Hamilton,3300,626,Southern Grampians (S),142.021384,-37.744914
38,Heathcote Primary School,31 Herriot Street,Heathcote,3523,262,Greater Bendigo (C),144.706851,-36.924012
39,Highton Primary School,218 Roslyn Road,Highton,3216,275,Greater Geelong (C),144.317085,-38.172156
40,Huntly Primary School,101 Brunel Street,Huntly,3551,262,Greater Bendigo (C),144.334396,-36.662544
41,Bellbrae Primary School,50 School Road,Bellbrae,3228,649,Surf Coast (S),144.2630037,-38.33364403
42,Chiltern Primary School,91-101 Albert Road,Chiltern,3683,335,Indigo (S),146.606601,-36.147066
43,Kyneton Primary School,49-79 Edgecombe Street,Kyneton,3444,413,Macedon Ranges (S),144.462694,-37.248889
44,Romsey Primary School,2-56 Station Street,Romsey,3434,413,Macedon Ranges (S),144.7453792,-37.35417523
45,Shelford Primary School,1717 Shelford-Bannockburn Road,Shelford,3329,249,Golden Plains (S),143.9821391,-38.0139946
46,Lockwood South Primary School,710 Calder Alternative Highway,Lockwood South,3551,262,Greater Bendigo (C),144.156748,-36.841602
47,Marong Primary School,2 Leslie Street,Marong,3515,262,Greater Bendigo (C),144.135372,-36.735679
48,Mount Macedon Primary School,641 Mount Macedon Road,Mount Macedon,3441,413,Macedon Ranges (S),144.5841275,-37.40479379
49,Mount Clear Primary School,1206 Geelong Road,Mount Clear,3350,57,Ballarat (C),143.868373,-37.604741
50,Melton Primary School,Unitt Street,Melton,3337,465,Melton (C),144.587015,-37.680455
51,Fitzroy Primary School,319 George Street,Fitzroy,3065,735,Yarra (C),144.981511,-37.799603
52,Newstead Primary School,28 Lyons Street,Newstead,3462,543,Mount Alexander (S),144.06719,-37.105917
53,Newlyn Primary School,2701 Midland Highway,Newlyn,3364,291,Hepburn (S),143.9844266,-37.41202483
54,Burwood East Primary School,Cnr Blackburn And Highbury Rds,Burwood East,3151,698,Whitehorse (C),145.151807,-37.859734
55,New Gisborne Primary School,239 Station Road,New Gisborne,3438,413,Macedon Ranges (S),144.596579,-37.46288785
56,Beeac Primary School,35 Lang Street,Beeac,3251,175,Colac-Otway (S),143.644279,-38.193973
57,Essendon Primary School,38 Raleigh Street,Essendon,3040,506,Moonee Valley (C),144.921042,-37.753095
58,Coburg Primary School,92 Bell Street,Coburg,3058,525,Moreland (C),144.968211,-37.741303
59,Penshurst Primary School,87 Ritchie Street,Penshurst,3289,626,Southern Grampians (S),142.291326,-37.879184
60,Myrniong Primary School,13 Muddy Lane,Myrniong,3341,515,Moorabool (S),144.3463198,-37.61971733
61,Mernda Primary School,25 Everton Drive,Mernda,3754,707,Whittlesea (C),145.0922429,-37.59459504
62,Portland Primary School,45 Palmer Street,Portland,3305,241,Glenelg (S),141.599408,-38.347295
63,Stawell Primary School,14-28 Barnes Street,Stawell,3380,581,Northern Grampians (S),142.773775,-37.056128
64,Rutherglen Primary School,44 Murray Street,Rutherglen,3685,335,Indigo (S),146.460614,-36.056209
65,Riddells Creek Primary School,69-77 Main Road,Riddells Creek,3431,413,Macedon Ranges (S),144.6797752,-37.46122119
66,Rokewood Primary School,38 Aitchison Street,Rokewood,3330,249,Golden Plains (S),143.7228146,-37.90365609
67,Geelong East Primary School,184 Boundary Road,Geelong East,3219,275,Greater Geelong (C),144.382769,-38.17551
68,Sale Primary School,Macalister Street,Sale,3850,681,Wellington (S),147.073643,-38.108303
69,Skipton Primary School,7 Montgomery Street,Skipton,3361,183,Corangamite (S),143.368161,-37.686858
70,South Yarra Primary School,601 Punt Road,South Yarra,3141,460,Melbourne (C),144.985619,-37.841353
71,Stratford Primary School,14 Wellsford Street,Stratford,3862,681,Wellington (S),147.085386,-37.967251
72,Taradale Primary School,98 High Street,Taradale,3447,543,Mount Alexander (S),144.351063,-37.141313
73,Koroit And District Primary School,91 Commercial Road,Koroit,3282,549,Moyne (S),142.368702,-38.292441
74,Tylden Primary School,11 Clowes Street,Tylden,3444,413,Macedon Ranges (S),144.4087844,-37.32496764
75,Thomastown Primary School,6 Spring Street,Thomastown,3074,707,Whittlesea (C),145.011495,-37.682271
76,Wangaratta Primary School,19 Chisholm Street,Wangaratta,3677,670,Wangaratta (RC),146.329419,-36.355275
77,Wahgunyah Primary School,Elizabeth Street,Wahgunyah,3687,335,Indigo (S),146.397925,-36.013651
78,Woodend Primary School,146 High Street,Woodend,3442,413,Macedon Ranges (S),144.5329415,-37.35341833
