,suburb,sa2_code,unemp_rate,year
209,newport,213021344,3.5,2010
210,seabrook,213021345,4.5,2010
211,williamstown,213021346,3.2,2010
212,braybrook,213031347,10.2,2010
213,footscray,213031348,7.4,2010
214,maribyrnong,213031349,3.1,2010
215,yarraville,213031352,3.6,2010
216,bacchus marsh,213041353,4.5,2010
217,hillside,213041355,3.5,2010
218,melton,213041356,8.7,2010
219,melton south,213041357,8.0,2010
220,melton west,213041358,5.7,2010
221,taylors hill,213041360,3.0,2010
222,laverton,213051363,12.3,2010
223,tarneit,213051365,3.9,2010
224,truganina,213051366,4.1,2010
225,wyndham vale,213051369,6.0,2010
226,carrum downs,214011370,4.8,2010
227,frankston,214011371,6.8,2010
228,frankston north,214011372,10.7,2010
229,frankston south,214011373,2.4,2010
230,langwarrin,214011374,2.8,2010
231,seaford,214011375,6.3,2010
232,dromana,214021377,5.0,2010
233,flinders,214021378,1.5,2010
234,mornington,214021380,3.7,2010
235,mount eliza,214021381,1.3,2010
236,mount martha,214021382,1.6,2010
238,somerville,214021385,3.1,2010
239,ararat,215011386,7.2,2010
240,ararat,215011387,3.9,2010
241,horsham,215011388,5.6,2010
242,horsham,215011389,2.9,2010
244,st arnaud,215011391,6.1,2010
245,stawell,215011392,6.1,2010
248,irymple,215021395,4.6,2010
249,merbein,215021396,8.0,2010
250,mildura,215021398,3.9,2010
251,red cliffs,215021399,7.8,2010
253,gannawarra,215031401,4.9,2010
254,kerang,215031402,7.3,2010
255,robinvale,215031403,8.0,2010
256,swan hill,215031404,7.6,2010
257,swan hill,215031405,5.8,2010
258,echuca,216011406,7.5,2010
259,kyabram,216011407,7.2,2010
260,rochester,216011409,5.2,2010
261,rushworth,216011410,6.6,2010
262,cobram,216021411,8.8,2010
264,numurkah,216021413,6.0,2010
265,yarrawonga,216021414,6.4,2010
266,mooroopna,216031415,10.3,2010
268,hamilton,217011421,4.7,2010
269,portland,217011422,6.9,2010
271,camperdown,217031471,5.1,2010
272,colac,217031472,5.2,2010
273,colac colac,217031473,3.6,2010
275,gunbower,216011408,4.1,2010
276,lockington,216011408,4.1,2010
277,mccrae,214021384,7.6,2010
278,rosebud,214021384,7.6,2010
279,somers,214021379,5.2,2010
280,hastings,214021379,5.2,2010
281,sandhurst,214011376,2.6,2010
282,skye,214011376,2.6,2010
283,mount cottrell,213041359,8.6,2010
284,rockbank,213041359,8.6,2010
285,tottenham,213031351,5.2,2010
286,west footscray,213031351,5.2,2010
287,kingsville,213031350,4.8,2010
288,seddon,213031350,4.8,2010
289,derrimut,213011330,7.7,2010
290,deer park,213011330,7.7,2010
291,albion,213011328,9.7,2010
292,ardeer,213011328,9.7,2010
293,huntingdale,212051326,4.7,2010
294,oakleigh,212051326,4.7,2010
295,chadstone,212051319,4.4,2010
296,ashwood,212051319,4.4,2010
297,oakleigh south,212041309,6.1,2010
298,clarinda,212041309,6.1,2010
299,tooradin,212031308,5.2,2010
300,pearcedale,212031308,5.2,2010
301,lyndhurst,212031306,4.0,2010
302,lynbrook,212031306,4.0,2010
303,lynbrook,212031305,9.6,2010
304,hampton park,212031305,9.6,2010
305,cockatoo,212011289,4.3,2010
306,emerald,212011289,4.3,2010
307,garfield,212011288,4.0,2010
308,bunyip,212011288,4.0,2010
309,officer,212011287,2.8,2010
310,beaconsfield,212011287,2.8,2010
311,seville,211051285,2.0,2010
313,tecoma,211051284,4.0,2010
314,upwey,211051284,4.0,2010
315,olinda,211051282,3.3,2010
316,mount dandenong,211051282,3.3,2010
317,silvan,211051279,3.3,2010
318,monbulk,211051279,3.3,2010
319,coldstream,211051278,4.2,2010
320,lilydale,211051278,4.2,2010
321,yarra glen,211051276,5.0,2010
322,healesville,211051276,5.0,2010
323,selby,211051274,4.6,2010
324,belgrave,211051274,4.6,2010
325,warranwood,211031265,2.2,2010
326,croydon hills,211031265,2.2,2010
327,wonga park,211021262,1.8,2010
328,warrandyte,211021262,1.8,2010
329,park orchards,211021261,1.9,2010
330,donvale,211021261,1.9,2010
332,rowville,211011256,3.1,2010
333,scoresby,211011254,4.3,2010
334,knoxfield,211011254,4.3,2010
335,somerton,210051249,13.7,2010
336,roxburgh park,210051249,13.7,2010
337,westmeadows,210051245,6.2,2010
338,gladstone park,210051245,6.2,2010
339,coolaroo,210051243,27.7,2010
340,campbellfield,210051243,27.7,2010
341,essendon west,210011230,3.3,2010
342,niddrie,210011230,3.3,2010
343,diamond creek,209031215,1.8,2010
344,wattle glen,209031215,1.8,2010
345,north warrandyte,209031214,1.5,2010
346,research,209031214,1.5,2010
347,yarrambat,209031213,1.4,2010
348,plenty,209031213,1.4,2010
349,st andrews,209031212,2.5,2010
350,panton hill,209031212,2.5,2010
351,yallambie,209011203,2.5,2010
352,viewbank,209011203,2.5,2010
353,briar hill,209011202,3.1,2010
354,montmorency,209011202,3.1,2010
355,eaglemont,209011201,1.1,2010
356,ivanhoe east,209011201,1.1,2010
357,rosanna,209011198,2.7,2010
358,heidelberg,209011198,2.7,2010
359,glen iris,208041194,2.8,2010
360,malvern,208041194,2.8,2010
361,parkdale,208031193,4.4,2010
362,mordialloc,208031193,4.4,2010
363,heatherton,208031191,4.6,2010
364,moorabbin,208031191,4.6,2010
365,aspendale,208031189,5.2,2010
366,edithvale,208031189,5.2,2010
367,highett,208031188,5.2,2010
368,cheltenham,208031188,5.2,2010
369,bonbeach,208031186,7.9,2010
370,chelsea,208031186,7.9,2010
371,patterson lakes,208031185,5.3,2010
372,carrum,208031185,5.3,2010
373,waterways,208031183,2.7,2010
374,aspendale gardens,208031183,2.7,2010
375,glen huntly,208021182,4.2,2010
376,ormond,208021182,4.2,2010
377,mckinnon,208021174,3.5,2010
378,bentleigh,208021174,3.5,2010
379,black rock,208011173,2.4,2010
380,sandringham,208011173,2.4,2010
381,highett,208011171,4.8,2010
382,cheltenham,208011171,4.8,2010
383,mont albert,207031167,2.9,2010
384,surrey hills,207031167,2.9,2010
385,canterbury,207011155,2.2,2010
386,surrey hills,207011155,2.2,2010
387,princes hill,206071140,4.4,2010
388,carlton north,206071140,4.4,2010
389,windsor,206061136,3.7,2010
390,prahran,206061136,3.7,2010
391,aberfeldie,206031114,2.6,2010
392,essendon,206031114,2.6,2010
393,fairfield,206021110,3.8,2010
394,alphington,206021110,3.8,2010
395,loch sport,205051100,4.7,2010
396,longford,205051100,4.7,2010
397,glengarry,205041098,4.3,2010
398,yallourn north,205041098,4.3,2010
399,newborough,205041095,9.5,2010
400,moe,205041095,9.5,2010
401,inverloch,205031093,5.7,2010
402,wonthaggi,205031093,5.7,2010
403,omeo,205021082,3.8,2010
404,bruthen,205021082,3.8,2010
405,indigo valley,204031070,4.7,2010
406,chiltern,204031070,4.7,2010
407,mount beauty,204031069,3.9,2010
408,bright,204031069,3.9,2010
409,broadford,204011056,4.5,2010
410,kilmore,204011056,4.5,2010
411,queenscliff,203031052,3.2,2010
412,point lonsdale,203031052,3.2,2010
413,barwon heads,203031050,3.7,2010
414,ocean grove,203031050,3.7,2010
415,anglesea,203031049,3.4,2010
416,lorne,203031049,3.4,2010
417,bell park,203021047,8.9,2010
418,north geelong,203021047,8.9,2010
419,moolap,203021045,10.9,2010
420,newcomb,203021045,10.9,2010
421,hamlyn heights,203021040,6.4,2010
422,geelong west,203021040,6.4,2010
423,norlane,203021038,19.5,2010
424,corio,203021038,19.5,2010
425,ascot,202011025,5.0,2010
426,white hills,202011025,5.0,2010
427,golden square,202011022,8.0,2010
428,kangaroo flat,202011022,8.0,2010
429,spring gully,202011021,7.2,2010
430,flora hill,202011021,7.2,2010
431,kennington,202011020,6.0,2010
432,east bendigo,202011020,6.0,2010
433,eaglehawk,202011019,11.6,2010
434,california gully,202011019,11.6,2010
435,clunes,201021010,7.3,2010
436,creswick,201021010,7.3,2010
437,miners rest,201011008,10.5,2010
438,wendouree,201011008,10.5,2010
1756,alfredton,201011001,2.6,2011
1757,ballarat east,201011002,6.3,2011
1758,buninyong,201011005,2.9,2011
1759,delacombe,201011006,5.6,2011
1760,smythes creek,201011007,2.8,2011
1761,bacchus marsh,201021009,3.4,2011
1762,daylesford,201021011,5.2,2011
1763,gordon,201021012,3.3,2011
1764,avoca,201031013,6.7,2011
1765,beaufort,201031014,6.9,2011
1766,maryborough,201031016,10.2,2011
1767,maryborough,201031017,9.8,2011
1768,bendigo,202011018,8.2,2011
1769,maiden gully,202011023,1.9,2011
1770,strathfieldsaye,202011024,1.5,2011
1771,castlemaine,202021027,4.6,2011
1772,castlemaine,202021028,4.2,2011
1773,heathcote,202021029,6.6,2011
1774,kyneton,202021030,3.2,2011
1775,woodend,202021031,2.0,2011
1777,bannockburn,203011034,2.5,2011
1778,winchelsea,203011036,3.2,2011
1779,belmont,203021037,5.1,2011
1780,geelong,203021039,5.9,2011
1781,grovedale,203021041,3.4,2011
1782,highton,203021042,2.3,2011
1783,lara,203021043,3.2,2011
1784,leopold,203021044,3.1,2011
1785,newtown,203021046,3.0,2011
1786,clifton springs,203031048,4.1,2011
1787,portarlington,203031051,6.4,2011
1788,torquay,203031053,2.1,2011
1789,alexandra,204011054,4.1,2011
1790,euroa,204011055,4.3,2011
1791,mansfield,204011057,3.6,2011
1792,nagambie,204011058,5.0,2011
1793,seymour,204011059,12.2,2011
1795,yea,204011062,5.2,2011
1796,benalla,204021063,7.1,2011
1797,benalla,204021064,3.6,2011
1798,rutherglen,204021065,4.0,2011
1799,wangaratta,204021066,6.7,2011
1800,wangaratta,204021067,3.0,2011
1801,beechworth,204031068,4.0,2011
1802,myrtleford,204031071,5.7,2011
1803,towong,204031072,4.4,2011
1804,west wodonga,204031073,4.8,2011
1805,wodonga,204031074,6.7,2011
1806,yackandandah,204031075,2.4,2011
1807,drouin,205011076,3.8,2011
1809,trafalgar,205011078,3.2,2011
1810,warragul,205011079,3.2,2011
1811,bairnsdale,205021081,5.8,2011
1812,lakes entrance,205021084,6.4,2011
1813,orbost,205021085,6.4,2011
1814,paynesville,205021086,4.3,2011
1815,foster,205031087,3.0,2011
1816,korumburra,205031089,3.3,2011
1817,leongatha,205031090,2.7,2011
1819,churchill,205041094,4.5,2011
1820,morwell,205041096,12.0,2011
1821,traralgon,205041097,4.0,2011
1822,maffra,205051101,3.7,2011
1823,rosedale,205051102,3.5,2011
1824,sale,205051103,4.7,2011
1825,yarram,205051104,3.8,2011
1826,brunswick,206011105,5.4,2011
1827,brunswick east,206011106,4.5,2011
1828,brunswick west,206011107,4.8,2011
1829,coburg,206011108,5.8,2011
1830,pascoe vale south,206011109,3.0,2011
1831,northcote,206021111,4.2,2011
1832,thornbury,206021112,5.3,2011
1833,ascot vale,206031113,6.2,2011
1834,flemington,206031115,9.2,2011
1835,moonee ponds,206031116,2.5,2011
1836,carlton,206041117,6.3,2011
1837,docklands,206041118,1.1,2011
1838,east melbourne,206041119,1.2,2011
1839,kensington,206041121,3.9,2011
1840,melbourne,206041122,2.2,2011
1841,north melbourne,206041123,6.2,2011
1842,parkville,206041124,2.6,2011
1843,southbank,206041126,2.1,2011
1844,albert park,206051128,1.8,2011
1845,elwood,206051129,2.5,2011
1846,port melbourne,206051130,2.8,2011
1847,south melbourne,206051132,4.1,2011
1848,st kilda,206051133,3.7,2011
1849,st kilda east,206051134,3.8,2011
1850,armadale,206061135,2.1,2011
1851,toorak,206061138,1.5,2011
1852,abbotsford,206071139,4.5,2011
1853,collingwood,206071141,9.8,2011
1854,fitzroy,206071142,8.6,2011
1855,fitzroy north,206071143,4.5,2011
1856,richmond,206071144,4.1,2011
1857,ashburton,207011146,5.2,2011
1858,balwyn,207011147,3.6,2011
1859,balwyn north,207011148,3.3,2011
1860,camberwell,207011149,2.6,2011
1861,hawthorn,207011151,3.2,2011
1862,hawthorn east,207011152,3.1,2011
1863,kew,207011153,2.8,2011
1864,kew east,207011154,3.8,2011
1865,bulleen,207021156,5.4,2011
1866,doncaster,207021157,5.6,2011
1867,templestowe,207021159,3.3,2011
1868,templestowe lower,207021160,4.0,2011
1869,blackburn,207031161,4.5,2011
1870,blackburn south,207031162,5.1,2011
1871,box hill,207031163,6.6,2011
1872,box hill north,207031164,5.1,2011
1873,burwood,207031165,7.1,2011
1874,burwood east,207031166,4.3,2011
1875,beaumaris,208011168,1.9,2011
1876,brighton,208011169,2.3,2011
1877,brighton east,208011170,2.5,2011
1878,hampton,208011172,4.2,2011
1879,carnegie,208021176,3.6,2011
1880,elsternwick,208021179,3.6,2011
1881,hughesdale,208021180,5.1,2011
1882,murrumbeena,208021181,3.0,2011
1883,chelsea heights,208031187,5.5,2011
1884,mentone,208031190,4.7,2011
1885,malvern east,208041195,2.6,2011
1886,greensborough,209011197,3.0,2011
1887,heidelberg west,209011199,10.8,2011
1888,ivanhoe,209011200,2.8,2011
1889,watsonia,209011204,4.4,2011
1890,kingsbury,209021205,2.6,2011
1891,eltham,209031209,1.8,2011
1892,hurstbridge,209031210,3.0,2011
1893,kinglake,209031211,4.6,2011
1894,lalor,209041219,10.2,2011
1895,thomastown,209041223,10.4,2011
1896,wallan,209041224,4.5,2011
1897,whittlesea,209041225,3.8,2011
1898,airport west,210011226,4.3,2011
1899,keilor,210011228,2.6,2011
1900,keilor east,210011229,3.4,2011
1901,strathmore,210011231,1.8,2011
1902,gisborne,210021232,2.1,2011
1903,macedon,210021233,1.9,2011
1904,riddells creek,210021234,2.6,2011
1905,romsey,210021235,3.8,2011
1906,coburg north,210031236,6.0,2011
1907,fawkner,210031237,7.9,2011
1908,pascoe vale,210031239,3.9,2011
1909,sunbury,210041240,4.2,2011
1910,broadmeadows,210051242,22.1,2011
1911,meadow heights,210051247,19.0,2011
1912,melbourne airport,210051248,1.0,2011
1913,tullamarine,210051250,5.0,2011
1914,bayswater,211011251,5.2,2011
1915,lysterfield,211011255,2.1,2011
1916,wantirna,211011259,3.1,2011
1917,wantirna south,211011260,3.3,2011
1918,bayswater north,211031263,4.6,2011
1919,ringwood,211031266,6.1,2011
1920,ringwood east,211031267,4.3,2011
1921,ringwood north,211031268,2.1,2011
1922,forest hill,211041269,3.5,2011
1923,mitcham,211041270,3.2,2011
1924,nunawading,211041271,3.5,2011
1925,vermont,211041272,2.9,2011
1926,vermont south,211041273,2.1,2011
1927,chirnside park,211051275,3.6,2011
1928,kilsyth,211051277,4.5,2011
1929,montrose,211051280,2.6,2011
1930,mooroolbark,211051281,4.0,2011
1931,mount evelyn,211051283,3.6,2011
1933,koo wee rup,212011290,4.1,2011
1934,doveton,212021295,17.3,2011
1935,hallam,212021297,8.6,2011
1936,narre warren north,212021299,1.6,2011
1937,cranbourne,212031300,8.7,2011
1938,cranbourne east,212031301,3.7,2011
1939,cranbourne north,212031302,6.5,2011
1940,cranbourne south,212031303,3.2,2011
1941,cranbourne west,212031304,7.8,2011
1942,clayton south,212041310,4.9,2011
1943,dandenong,212041311,18.2,2011
1944,dandenong north,212041312,10.3,2011
1945,dingley village,212041313,2.0,2011
1946,keysborough,212041314,5.8,2011
1947,noble park north,212041316,7.2,2011
1948,springvale,212041317,8.1,2011
1949,springvale south,212041318,7.9,2011
1950,clayton,212051320,3.4,2011
1951,mulgrave,212051325,3.7,2011
1952,wheelers hill,212051327,2.3,2011
1953,cairnlea,213011329,6.3,2011
1954,delahey,213011331,9.9,2011
1955,keilor downs,213011332,6.9,2011
1956,kings park,213011333,12.5,2011
1957,sunshine,213011336,13.1,2011
1958,sunshine north,213011337,14.0,2011
1959,sunshine west,213011338,12.7,2011
1960,sydenham,213011339,5.3,2011
1961,taylors lakes,213011340,3.2,2011
1962,altona,213021341,4.9,2011
1963,altona meadows,213021342,6.4,2011
1964,altona north,213021343,9.0,2011
1965,newport,213021344,3.7,2011
1966,seabrook,213021345,4.5,2011
1967,williamstown,213021346,3.5,2011
1968,braybrook,213031347,12.6,2011
1969,footscray,213031348,8.4,2011
1970,maribyrnong,213031349,3.9,2011
1971,yarraville,213031352,4.1,2011
1972,bacchus marsh,213041353,5.8,2011
1973,hillside,213041355,4.0,2011
1974,melton,213041356,10.4,2011
1975,melton south,213041357,9.9,2011
1976,melton west,213041358,7.0,2011
1977,taylors hill,213041360,3.5,2011
1978,laverton,213051363,12.3,2011
1979,tarneit,213051365,5.0,2011
1980,truganina,213051366,4.9,2011
1981,wyndham vale,213051369,7.0,2011
1982,carrum downs,214011370,6.1,2011
1983,frankston,214011371,9.0,2011
1984,frankston north,214011372,13.5,2011
1985,frankston south,214011373,2.7,2011
1986,langwarrin,214011374,3.4,2011
1987,seaford,214011375,7.3,2011
1988,dromana,214021377,6.2,2011
1989,flinders,214021378,1.5,2011
1990,mornington,214021380,4.5,2011
1991,mount eliza,214021381,1.5,2011
1992,mount martha,214021382,2.1,2011
1994,somerville,214021385,3.7,2011
1995,ararat,215011386,4.6,2011
1996,ararat,215011387,2.8,2011
1997,horsham,215011388,3.8,2011
1998,horsham,215011389,1.8,2011
2000,st arnaud,215011391,4.1,2011
2001,stawell,215011392,4.1,2011
2004,irymple,215021395,3.0,2011
2005,merbein,215021396,5.6,2011
2006,mildura,215021398,2.7,2011
2007,red cliffs,215021399,5.2,2011
2009,gannawarra,215031401,3.1,2011
2010,kerang,215031402,5.0,2011
2011,robinvale,215031403,4.7,2011
2012,swan hill,215031404,4.8,2011
2013,swan hill,215031405,3.4,2011
2014,echuca,216011406,6.1,2011
2015,kyabram,216011407,5.5,2011
2016,rochester,216011409,3.8,2011
2017,rushworth,216011410,5.4,2011
2018,cobram,216021411,6.6,2011
2020,numurkah,216021413,5.1,2011
2021,yarrawonga,216021414,5.2,2011
2022,mooroopna,216031415,8.0,2011
2024,hamilton,217011421,6.8,2011
2025,portland,217011422,9.2,2011
2027,camperdown,217031471,6.8,2011
2028,colac,217031472,7.0,2011
2029,colac colac,217031473,5.0,2011
2031,gunbower,216011408,2.9,2011
2032,lockington,216011408,2.9,2011
2033,mccrae,214021384,9.1,2011
2034,rosebud,214021384,9.1,2011
2035,somers,214021379,6.7,2011
2036,hastings,214021379,6.7,2011
2037,sandhurst,214011376,3.0,2011
2038,skye,214011376,3.0,2011
2039,mount cottrell,213041359,10.1,2011
2040,rockbank,213041359,10.1,2011
2041,tottenham,213031351,6.5,2011
2042,west footscray,213031351,6.5,2011
2043,kingsville,213031350,5.3,2011
2044,seddon,213031350,5.3,2011
2045,derrimut,213011330,8.8,2011
2046,deer park,213011330,8.8,2011
2047,albion,213011328,12.9,2011
2048,ardeer,213011328,12.9,2011
2049,huntingdale,212051326,3.6,2011
2050,oakleigh,212051326,3.6,2011
2051,chadstone,212051319,3.9,2011
2052,ashwood,212051319,3.9,2011
2053,oakleigh south,212041309,4.8,2011
2054,clarinda,212041309,4.8,2011
2055,tooradin,212031308,4.2,2011
2056,pearcedale,212031308,4.2,2011
2057,lyndhurst,212031306,3.2,2011
2058,lynbrook,212031306,3.2,2011
2059,lynbrook,212031305,8.3,2011
2060,hampton park,212031305,8.3,2011
2061,cockatoo,212011289,3.6,2011
2062,emerald,212011289,3.6,2011
2063,garfield,212011288,3.3,2011
2064,bunyip,212011288,3.3,2011
2065,officer,212011287,2.8,2011
2066,beaconsfield,212011287,2.8,2011
2067,seville,211051285,2.5,2011
2069,tecoma,211051284,3.9,2011
2070,upwey,211051284,3.9,2011
2071,olinda,211051282,2.8,2011
2072,mount dandenong,211051282,2.8,2011
2073,silvan,211051279,3.2,2011
2074,monbulk,211051279,3.2,2011
2075,coldstream,211051278,3.8,2011
2076,lilydale,211051278,3.8,2011
2077,yarra glen,211051276,4.9,2011
2078,healesville,211051276,4.9,2011
2079,selby,211051274,4.2,2011
2080,belgrave,211051274,4.2,2011
2081,warranwood,211031265,2.2,2011
2082,croydon hills,211031265,2.2,2011
2083,wonga park,211021262,1.7,2011
2084,warrandyte,211021262,1.7,2011
2085,park orchards,211021261,1.8,2011
2086,donvale,211021261,1.8,2011
2088,rowville,211011256,3.1,2011
2089,scoresby,211011254,4.5,2011
2090,knoxfield,211011254,4.5,2011
2091,somerton,210051249,11.4,2011
2092,roxburgh park,210051249,11.4,2011
2093,westmeadows,210051245,4.8,2011
2094,gladstone park,210051245,4.8,2011
2095,coolaroo,210051243,22.3,2011
2096,campbellfield,210051243,22.3,2011
2097,essendon west,210011230,2.7,2011
2098,niddrie,210011230,2.7,2011
2099,diamond creek,209031215,1.9,2011
2100,wattle glen,209031215,1.9,2011
2101,north warrandyte,209031214,1.5,2011
