,suburb,sa2_code,unemp_rate,year
0,alfredton,201011001,2.9,2010
1,ballarat east,201011002,7.8,2010
2,buninyong,201011005,3.3,2010
3,delacombe,201011006,6.5,2010
4,smythes creek,201011007,3.6,2010
5,bacchus marsh,201021009,4.8,2010
6,daylesford,201021011,6.3,2010
7,gordon,201021012,4.4,2010
8,avoca,201031013,8.3,2010
9,beaufort,201031014,8.5,2010
10,maryborough,201031016,13.3,2010
11,maryborough,201031017,11.5,2010
12,bendigo,202011018,12.8,2010
13,maiden gully,202011023,3.1,2010
14,strathfieldsaye,202011024,2.1,2010
15,castlemaine,202021027,7.7,2010
16,castlemaine,202021028,6.6,2010
17,heathcote,202021029,9.5,2010
18,kyneton,202021030,5.1,2010
19,woodend,202021031,3.0,2010
21,bannockburn,203011034,3.4,2010
22,winchelsea,203011036,3.9,2010
23,belmont,203021037,7.0,2010
24,geelong,203021039,7.5,2010
25,grovedale,203021041,4.5,2010
26,highton,203021042,3.0,2010
27,lara,203021043,4.5,2010
28,leopold,203021044,3.9,2010
29,newtown,203021046,3.6,2010
30,clifton springs,203031048,5.4,2010
31,portarlington,203031051,9.5,2010
32,torquay,203031053,2.8,2010
33,alexandra,204011054,4.2,2010
34,euroa,204011055,4.2,2010
35,mansfield,204011057,3.5,2010
36,nagambie,204011058,4.5,2010
37,seymour,204011059,10.8,2010
39,yea,204011062,4.8,2010
40,benalla,204021063,7.5,2010
41,benalla,204021064,4.0,2010
42,rutherglen,204021065,4.0,2010
43,wangaratta,204021066,6.4,2010
44,wangaratta,204021067,3.2,2010
45,beechworth,204031068,3.9,2010
46,myrtleford,204031071,4.6,2010
47,towong,204031072,3.5,2010
48,west wodonga,204031073,4.5,2010
49,wodonga,204031074,6.2,2010
50,yackandandah,204031075,2.1,2010
51,drouin,205011076,4.3,2010
53,trafalgar,205011078,3.4,2010
54,warragul,205011079,3.5,2010
55,bairnsdale,205021081,6.4,2010
56,lakes entrance,205021084,7.1,2010
57,orbost,205021085,6.9,2010
58,paynesville,205021086,5.0,2010
59,foster,205031087,3.4,2010
60,korumburra,205031089,3.8,2010
61,leongatha,205031090,2.9,2010
63,churchill,205041094,5.9,2010
64,morwell,205041096,14.7,2010
65,traralgon,205041097,4.8,2010
66,maffra,205051101,4.1,2010
67,rosedale,205051102,4.4,2010
68,sale,205051103,5.2,2010
69,yarram,205051104,4.9,2010
70,brunswick,206011105,5.9,2010
71,brunswick east,206011106,4.9,2010
72,brunswick west,206011107,5.6,2010
73,coburg,206011108,6.4,2010
74,pascoe vale south,206011109,3.2,2010
75,northcote,206021111,4.8,2010
76,thornbury,206021112,5.9,2010
77,ascot vale,206031113,7.3,2010
78,flemington,206031115,10.9,2010
79,moonee ponds,206031116,2.5,2010
80,carlton,206041117,6.4,2010
81,docklands,206041118,1.3,2010
82,east melbourne,206041119,1.5,2010
83,kensington,206041121,4.1,2010
84,melbourne,206041122,2.5,2010
85,north melbourne,206041123,6.9,2010
86,parkville,206041124,2.8,2010
87,southbank,206041126,2.2,2010
88,albert park,206051128,1.9,2010
89,elwood,206051129,3.2,2010
90,port melbourne,206051130,3.0,2010
91,south melbourne,206051132,4.8,2010
92,st kilda,206051133,4.5,2010
93,st kilda east,206051134,4.4,2010
94,armadale,206061135,2.2,2010
95,toorak,206061138,1.7,2010
96,abbotsford,206071139,5.6,2010
97,collingwood,206071141,11.3,2010
98,fitzroy,206071142,9.6,2010
99,fitzroy north,206071143,5.3,2010
100,richmond,206071144,4.8,2010
101,ashburton,207011146,5.6,2010
102,balwyn,207011147,3.5,2010
103,balwyn north,207011148,3.2,2010
104,camberwell,207011149,2.7,2010
105,hawthorn,207011151,3.2,2010
106,hawthorn east,207011152,2.9,2010
107,kew,207011153,2.7,2010
108,kew east,207011154,3.9,2010
109,bulleen,207021156,4.9,2010
110,doncaster,207021157,6.0,2010
111,templestowe,207021159,3.6,2010
112,templestowe lower,207021160,4.4,2010
113,blackburn,207031161,5.0,2010
114,blackburn south,207031162,5.3,2010
115,box hill,207031163,7.0,2010
116,box hill north,207031164,5.7,2010
117,burwood,207031165,7.4,2010
118,burwood east,207031166,5.5,2010
119,beaumaris,208011168,1.7,2010
120,brighton,208011169,2.3,2010
121,brighton east,208011170,2.3,2010
122,hampton,208011172,5.0,2010
123,carnegie,208021176,3.7,2010
124,elsternwick,208021179,4.0,2010
125,hughesdale,208021180,4.2,2010
126,murrumbeena,208021181,3.7,2010
127,chelsea heights,208031187,5.5,2010
128,mentone,208031190,4.3,2010
129,malvern east,208041195,2.8,2010
130,greensborough,209011197,2.6,2010
131,heidelberg west,209011199,10.2,2010
132,ivanhoe,209011200,2.4,2010
133,watsonia,209011204,3.7,2010
134,kingsbury,209021205,2.2,2010
135,eltham,209031209,1.6,2010
136,hurstbridge,209031210,2.7,2010
137,kinglake,209031211,4.5,2010
138,lalor,209041219,8.2,2010
139,thomastown,209041223,8.5,2010
140,wallan,209041224,4.2,2010
141,whittlesea,209041225,3.3,2010
142,airport west,210011226,4.8,2010
143,keilor,210011228,3.3,2010
144,keilor east,210011229,4.3,2010
145,strathmore,210011231,2.5,2010
146,gisborne,210021232,2.8,2010
147,macedon,210021233,2.4,2010
148,riddells creek,210021234,3.3,2010
149,romsey,210021235,4.7,2010
150,coburg north,210031236,6.9,2010
151,fawkner,210031237,9.8,2010
152,pascoe vale,210031239,4.6,2010
153,sunbury,210041240,4.4,2010
154,broadmeadows,210051242,26.1,2010
155,meadow heights,210051247,23.1,2010
156,melbourne airport,210051248,1.0,2010
157,tullamarine,210051250,6.3,2010
158,bayswater,211011251,5.7,2010
159,lysterfield,211011255,2.0,2010
160,wantirna,211011259,3.6,2010
161,wantirna south,211011260,3.4,2010
162,bayswater north,211031263,4.5,2010
163,ringwood,211031266,6.5,2010
164,ringwood east,211031267,4.7,2010
165,ringwood north,211031268,2.5,2010
166,forest hill,211041269,3.9,2010
167,mitcham,211041270,3.5,2010
168,nunawading,211041271,3.7,2010
169,vermont,211041272,2.9,2010
170,vermont south,211041273,2.0,2010
171,chirnside park,211051275,3.6,2010
172,kilsyth,211051277,4.2,2010
173,montrose,211051280,3.5,2010
174,mooroolbark,211051281,4.6,2010
175,mount evelyn,211051283,3.7,2010
177,koo wee rup,212011290,5.6,2010
178,doveton,212021295,20.4,2010
179,hallam,212021297,9.4,2010
180,narre warren north,212021299,2.1,2010
181,cranbourne,212031300,10.1,2010
182,cranbourne east,212031301,3.9,2010
183,cranbourne north,212031302,6.7,2010
184,cranbourne south,212031303,3.3,2010
185,cranbourne west,212031304,9.8,2010
186,clayton south,212041310,6.0,2010
187,dandenong,212041311,19.0,2010
188,dandenong north,212041312,11.1,2010
189,dingley village,212041313,2.8,2010
190,keysborough,212041314,6.4,2010
191,noble park north,212041316,8.8,2010
192,springvale,212041317,10.4,2010
193,springvale south,212041318,10.4,2010
194,clayton,212051320,4.3,2010
195,mulgrave,212051325,4.3,2010
196,wheelers hill,212051327,2.6,2010
197,cairnlea,213011329,5.1,2010
198,delahey,213011331,7.8,2010
199,keilor downs,213011332,5.9,2010
200,kings park,213011333,10.6,2010
201,sunshine,213011336,10.1,2010
202,sunshine north,213011337,11.5,2010
203,sunshine west,213011338,10.6,2010
204,sydenham,213011339,4.6,2010
205,taylors lakes,213011340,2.7,2010
206,altona,213021341,4.2,2010
207,altona meadows,213021342,5.5,2010
208,altona north,213021343,7.8,2010
