,coordinates,cost_text,desc,name,rooms
https://www.domain.com.au/20a-carrier-street-benalla-vic-3672-15991789,"[-36.5470604, 145.984078]",$450 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",20a Carrier Street Benalla VIC 3672,"['3 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/126-128-faithful-street-benalla-vic-3672-15991775,"[-36.5421505, 145.9661596]",$500 Per Week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",126-128 Faithful Street Benalla VIC 3672,"['6 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/40-gay-street-benalla-vic-3672-12981632,"[-36.5424309, 145.9979175]",$28pw - $55pw,"Shed Sizes;
* 3m x 3m - $28pw
* 3m x 6m - $41pw
* 3m x 9m - $55pw
$100 key deposit and 2 weeks rent required upfront
Access 24hrs a day, Well Maintained, Secure Facility 
Call Shen to Book your Shed today (03) 5762 2210",40 Gay Street Benalla VIC 3672,[]
https://www.domain.com.au/4-mathieson-court-benalla-vic-3672-16054905,"[-36.5486257, 145.9699935]",$350 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",4 Mathieson Court Benalla VIC 3672,"['2 Beds', '1 Bath', '1 Parking']"
https://www.domain.com.au/18-arundel-street-benalla-vic-3672-16042009,"[-36.5507049, 145.9746939]",$480.00 Per Week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",18 Arundel Street Benalla VIC 3672,"['3 Beds', '2 Baths']"
https://www.domain.com.au/21-hannah-street-benalla-vic-3672-12981626,"[-36.5434371, 145.9840153]",Prices Starting From $155 pcm,"Current Vacancies
5m x 3.5m - $40 per week
3m x 3m - $35 per week
4.5m x 6m - $50 per week
Containers - $40 per week
Minimum storage of one month with the first 2 weeks rent payable up front and a $100 key deposit. Call the office today for access to a site map.",21 Hannah Street Benalla VIC 3672,[]
https://www.domain.com.au/58-saleyards-road-benalla-vic-3672-12981625,"[-36.5380049, 145.9927626]",$26pw - $53pw,"Benalla's newest self storage facility
STAGE 3 NOW COMPLETE
Shed Sizes;
* 2.7m x 4m - $26pw AVAILABLE IN STAGE 3
* 3m x 3.6m - $26pw
* 3m x 6m - $40pw
* 3.6m x 6m - $43pw
* 3.6m x 8m - $53pw AVAILABLE IN STAGE 3
$100 key deposit and 2 weeks rent required upfront
CCTV surveillance for extra peace of mind
Large 10mt spacing between storage blocks for ease of trailer/ truck access
Access 24hrs a day",58 Saleyards Road Benalla VIC 3672,[]
https://www.domain.com.au/31-williams-street-myrtleford-vic-3737-14789376,"[-36.5516835, 146.7216373]",From $260 per night," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",31 Williams Street Myrtleford VIC 3737,"['3 Beds', '1 Bath', '2 Parking']"
https://www.domain.com.au/5-standish-street-myrtleford-vic-3737-13780949,"[-36.5675873, 146.7179266]",$220 per night,"Valli - This lovely family owned property offers all the luxuries of a home away from home. Perfect location for a family holiday or weekend away in the beautiful North East Victoria. Located with Ovens River walk/bike trail at your front door, 5 minutes walk to the CBD, approx. 15 minutes drive to Lake Buffalo, 85 minutes drive to Mt Hotham, 60 minute drive to Falls Creek and 45 minute drive to",5 Standish Street Myrtleford VIC 3737,[]
https://www.domain.com.au/24-prince-street-myrtleford-vic-3737-13737244,"[-36.552705, 146.7248167]","$1,400","Iris Cottage is an adorable character cottage with all the modern facilities you need for a comfortable and enjoyable stay, including ducted heating/cooling, 2 bathrooms, WIFI, Netflix and off-street parking. The property is securely fenced and while pets are welcome to stay, they are not permitted inside the main house. All entrances to the cottage have handrails and there is a ramp for",24 Prince Street Myrtleford VIC 3737,"['3 Beds', '2 Baths', '1 Parking']"
