FID,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,SHAPE,SE_ANNO_CAD_DATA
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f3b,86,22239,North Melbourne Railway Station (West Melbourne),-37.8063,144.9415,POINT (-37.80630999 144.94151016),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f3c,87,22240,Footscray Railway Station (Footscray),-37.8014,144.902,POINT (-37.801413 144.90201996),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f3d,88,22241,Sunshine Railway Station (Sunshine),-37.7885,144.8329,POINT (-37.78853598 144.832878),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f3e,89,22244,Watergardens Railway Station (Sydenham),-37.7011,144.7742,POINT (-37.70112897 144.77418),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f3f,90,22247,Richmond Railway Station (Richmond),-37.8241,144.9902,POINT (-37.82407401 144.99016416),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f40,91,22248,Caulfield Railway Station (Caulfield East),-37.8775,145.0425,POINT (-37.87745904 145.04252508),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f41,92,22249,Clayton Railway Station (Clayton),-37.9247,145.1205,POINT (-37.92468303 145.12053384),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f42,93,22250,Dandenong Railway Station (Dandenong),-37.99,145.2097,POINT (-37.98996804 145.20972492),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f43,94,22251,Berwick Railway Station (Berwick),-38.0404,145.3457,POINT (-38.040408 145.34571492),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f44,95,22252,Pakenham Railway Station (Pakenham),-38.0806,145.4864,POINT (-38.08061397 145.486368),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f45,96,22253,Essendon Railway Station (Essendon),-37.756,144.9162,POINT (-37.75601196 144.91619784),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f46,97,22254,Broadmeadows Railway Station (Broadmeadows),-37.683,144.9196,POINT (-37.68304896 144.91961316),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f47,98,22257,Sherwood Park Railway Station (Warrnambool),-38.3864,142.5389,POINT (-38.38639203 142.53887088),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f48,99,43469,Wendouree Railway Station (Wendouree),-37.5397,143.8201,POINT (-37.53971604 143.82006804),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f49,100,44951,Creswick Railway Station (Creswick),-37.4246,143.8881,POINT (-37.42460496 143.88812388),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f4a,101,44952,Clunes Railway Station (Clunes),-37.3031,143.7816,POINT (-37.30314096 143.78157684),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f4b,102,44953,Maryborough Railway Station (Maryborough),-37.0509,143.7424,POINT (-37.05090804 143.742402),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f4c,103,45918,Stawell Railway Station (Stawell),-37.0592,142.7735,POINT (-37.05923997 142.77353796),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f4d,104,47482,Talbot Railway Station (Talbot),-37.1729,143.7056,POINT (-37.17289899 143.70563988),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f4e,105,47641,Waurn Ponds Railway Station (Waurn Ponds),-38.2158,144.3068,POINT (-38.21581404 144.306819),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f4f,106,47642,Epsom Railway Station (Epsom),-36.7063,144.321,POINT (-36.70634196 144.32104008),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f50,107,47647,Wyndham Vale Railway Station (Manor Lakes),-37.8729,144.6087,POINT (-37.87288596 144.60873192),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f51,108,47648,Tarneit Railway Station (Tarneit),-37.8322,144.6947,POINT (-37.83216798 144.69471396),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f52,109,48804,Cobblebank Railway Station (Cobblebank),-37.7125,144.6041,POINT (-37.71254601 144.60410808),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f53,110,52011,Caroline Springs Railway Station (Ravenhall),-37.7661,144.7357,POINT (-37.76614497 144.73574784),
